1`(11,Agriculture,45,729,700,155,0,131,0,123,0,Yes)++,,
1`(26,Agriculture,48,712,725,135,154,42,123,118,114,No)++,,No = 7
1`(67,Agriculture,51,650,700,151,117,41,106,129,112,Yes)++,,Yes = 6
1`(148,Agriculture,44,662,704,144,143,106,98,44,135,No)++,,
1`(158,Agriculture,44,640,752,135,138,145,115,44,130,Yes)++,,
1`(159,Agriculture,57,738,715,134,127,129,122,127,40,No)++,,
1`(167,Agriculture,46,768,707,151,122,111,0,90,0,No)++,,
1`(354,Agriculture,58,721,715,128,152,90,115,0,0,No)++,,
1`(377,Agriculture,52,734,727,142,0,152,0,45,0,Yes)++,,
1`(392,Agriculture,55,572,808,70,55,75,62,45,64,No)++,,
1`(457,Agriculture,54,700,737,137,152,135,107,125,0,Yes)++,,
1`(461,Agriculture,58,713,720,125,111,149,118,85,132,Yes)++,,
1`(465,Agriculture,55,572,808,70,55,75,62,45,64,No),,
