Application Status,Merit Score,Admission Test,Admission Test 2,particular_test_total2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,912.455,60,60,1100,844,857,No
Application Fee Received,936,59,0,0,858,882,No
Application Fee Received,970,64,0,0,772,926,No
Application Fee Received,821,55,0,0,835,766,No
Application Fee Received,833,72,0,0,879,793,No
Application Fee Received,738,40,0,0,807,698,No
Application Fee Received,703,0,0,0,756,703,No
Application Fee Received,1021.909,70,70,1100,854,951,No
Application Fee Received,842.545,15,15,1100,746,827,No
Application Fee Received,966,55,0,0,908,916,No
Application Fee Received,828,72,0,0,843,756,No
Application Fee Received,1052.636,73,73,1100,960,989,Yes
Application Fee Received,979,55,55,1100,874,924,No
Application Fee Received,910,0,0,1100,945,910,No
Application Fee Received,971,52,0,0,862,919,No
Application Fee Received,996,71,0,0,722,925,No
Application Fee Received,1018,59,0,0,970,959,No
Application Fee Received,976.364,66,66,1100,911,910,No
Application Fee Received,930.667,51,0,0,774,874,No
Application Fee Received,931,56,0,0,787,875,No
Application Fee Received,955,48,0,0,641,907,No
Application Fee Received,857,44,0,0,719,813,No
Application Fee Received,856,52,0,0,866,804,No
Application Fee Received,899,54,0,0,985,850,No
Application Fee Received,1002,68,0,0,951,944,No
Application Fee Received,662,52,52,100,670,610,No
Application Fee Received,1025.273,77,77,1100,816,948,No
Application Fee Received,875,63,0,0,801,812,No
Application Fee Received,1001,57,0,0,871,929,No
Application Fee Received,1068.818,73,73,1100,998,980,Yes
Application Fee Received,983,55,0,0,946,928,No
Application Fee Received,805,54,0,0,822,751,No
Application Fee Received,754,44,0,0,698,754,No
Application Fee Received,903,47,0,0,820,856,No
Application Fee Received,1016,64,0,0,957,952,No
Application Fee Received,855,48,0,0,873,807,No
Application Fee Received,931,56,0,0,885,875,No
Application Fee Received,982.889,80,0,0,852,894,No
Application Fee Received,782,40,0,0,685,742,No
Application Fee Received,805,49,0,0,795,761,No
Application Fee Received,954,65,0,0,719,894,No
Application Fee Received,1040.545,79,79,1100,937,961,Yes
Application Fee Received,1014.545,54,54,1100,869,960,No
Application Fee Received,1011,59,0,0,866,952,No
Application Fee Received,970,55,0,0,964,915,No
Application Fee Received,811.636,48,48,1100,846,763,No
Application Fee Received,1002,60,0,0,953,957,No
Application Fee Received,1004.556,59,0,0,889,944,No
Application Fee Received,948,85,0,0,850,868,No
Application Fee Received,951.556,50,0,0,858,896,No
Admission Fee Challan Received,964,66,0,0,959,964,Yes
Application Fee Received,921,59,0,0,893,867,No
Application Fee Received,954,56,0,0,832,903,No
Application Fee Received,915.111,92,0,0,862,844,No
Admission Fee Challan Received,1053,71,0,1100,961,982,Yes
Application Fee Received,985,53,0,0,922,932,No
Application Fee Received,934,0,0,0,956,934,No
Application Fee Received,842.119,39,0,0,846,808,No
Application Fee Received,1036.333,66,0,1100,956,968,Yes
Application Fee Received,976,42,0,0,849,934,No
Application Fee Received,881,42,0,0,862,839,No
Application Fee Received,927,51,0,0,723,876,No
Application Fee Received,1016,40,0,0,847,976,Yes
Application Fee Received,871.792,36,0,0,903,840,No
Application Fee Received,898,56,0,0,860,842,No
Application Fee Received,689,0,0,0,660,689,No
Application Fee Received,805,48,0,0,826,757,No
Application Fee Received,1026,77,77,1100,935,960,Yes
Application Fee Received,998,57,0,0,973,946,No
Application Fee Received,970,64,0,0,772,926,No
Application Fee Received,844,45,0,0,771,799,No
Application Fee Received,919,40,0,0,853,879,No
Application Fee Received,758,52,0,0,891,706,No
Application Fee Received,1039,82,0,0,982,962,Yes
Application Fee Received,925,62,0,0,919,863,No
Application Fee Received,1003,58,0,0,993,945,No
Application Fee Received,853.739,51,0,0,760,753,No
Application Fee Received,925.111,55,0,0,945,864,No
Application Fee Received,1022.727,66,66,1100,957,961,Yes
Application Fee Received,971,75,0,0,868,871,No
Application Fee Received,881,50,0,0,892,831,No
Application Fee Received,911,56,0,0,875,855,No
Application Fee Received,945,51,0,0,901,894,No
Application Fee Received,894,0,0,0,865,894,No
Application Fee Received,943,53,0,0,926,890,No
Application Fee Received,1015,74,0,0,972,951,No
Application Fee Received,787.667,51,0,0,678,731,No
Application Fee Received,720,43,0,0,731,677,No
Application Fee Received,975.818,76,76,1100,813,899,No
Application Fee Received,992,62,0,0,909,930,No
Application Fee Received,775,47,0,0,875,728,No
Admission Fee Challan Received,933,43,0,0,905,890,No
Application Fee Received,948,59,0,0,731,889,No
Application Fee Received,1092.444,58,0,0,883,1028,Yes
Application Fee Received,1008,76,0,0,906,932,No
Application Fee Received,912.455,60,60,1100,844,857,No
Application Fee Received,728,0,0,0,636,728,No
Application Fee Received,897,52,0,0,709,850,No
Application Fee Received,889,52,0,0,878,842,No
Application Fee Received,957,63,0,0,956,962,No
Application Fee Received,829,59,0,0,857,770,No
