Application Status,Merit Score,ssc_obtained,Terminal Degree,Offered
Application Fee Received,858,727,863,No
Application Fee Received,907,837,912,Yes
Application Fee Received,841,856,841,No
Application Fee Received,860,647,860,No
Application Fee Received,675,717,675,No
Application Fee Received,683,769,688,No
Application Fee Received,691,585,691,No
Application Fee Received,523,702,508,No
Application Fee Received,689,692,689,No
Admission Fee Challan Received,904,882,904,Yes
Application Fee Received,714,745,694,No
Application Fee Received,726,780,731,No
Application Fee Received,884,818,884,No
Application Fee Received,756,717,756,No
Application Fee Received,803.899,647,808,No
Application Fee Received,703,881,703,No
Application Fee Received,906,911,906,Yes
Application Fee Received,698,807,698,No
Admission Fee Challan Received,982,934,982,Yes
Application Fee Received,823,828,823,No
Application Fee Received,714,889,694,No
Application Fee Received,659,649,659,No
Application Fee Received,748,826,748,No
Application Fee Received,756,843,756,No
Application Fee Received,801,765,801,No
Application Fee Received,635,697,635,No
Application Fee Received,756,717,756,No
Application Fee Received,803.899,647,808,No
Application Fee Received,839,805,839,No
Application Fee Received,594,592,594,No
Application Fee Received,886,780,886,No
Application Fee Received,727,717,732,No
Application Fee Received,702,697,707,No
Application Fee Received,871,748,871,No
Application Fee Received,848,909,848,No
Application Fee Received,896,879,896,No
Application Fee Received,610,670,610,No
Application Fee Received,752,720,757,No
Application Fee Received,706,714,706,No
Application Fee Received,598,647,598,No
Application Fee Received,814,890,814,No
Application Fee Received,613,748,613,No
Application Fee Received,799,813,804,No
Application Fee Received,739,840,739,No
Application Fee Received,758,679,758,No
Application Fee Received,751,822,751,No
Application Fee Received,623,840,628,No
Application Fee Received,845,832,845,No
Application Fee Received,711,849,711,No
Application Fee Received,800,810,800,No
Application Fee Received,804,756,804,No
Application Fee Received,837,846,837,No
Application Fee Received,773,780,773,No
Application Fee Received,890,895,890,No
Application Fee Received,876,774,876,No
Application Fee Received,674,744,674,No
Application Fee Received,768,607,768,No
Application Fee Received,559,612,559,No
Application Fee Received,922,870,922,Yes
Application Fee Received,724.808,865,765,No
Application Fee Received,802,868,802,No
Application Fee Received,785,882,785,No
Application Fee Received,904,899,904,Yes
Application Fee Received,784,820,784,No
Application Fee Received,773,777,773,No
Application Fee Received,704,844,704,No
Application Fee Received,820,733,820,No
Application Fee Received,853,675,853,No
Application Fee Received,862,843,862,No
Application Fee Received,779,648,779,No
Application Fee Received,588,638,588,No
Application Fee Received,632,728,632,No
Application Fee Received,596,734,606,No
Application Fee Received,674,706,674,No
Application Fee Received,589,848,589,No
Application Fee Received,814,895,814,No
Application Fee Received,823,933,823,No
Application Fee Received,839,862,839,No
Application Fee Received,876,723,876,No
Application Fee Received,723,806,723,No
Application Fee Received,883,834,883,No
Application Fee Received,505,670,530,No
Application Fee Received,605,798,605,No
Application Fee Received,740,647,740,No
Application Fee Received,644,788,644,No
Application Fee Received,872,816,872,No
Application Fee Received,792,714,772,No
Application Fee Received,844,810,844,No
Application Fee Received,631,627,631,No
Application Fee Received,659,649,659,No
Application Fee Received,748,826,748,No
Application Fee Received,758,761,758,No
Application Fee Received,850,868,850,No
Application Fee Received,653,679,653,No
Application Fee Received,689,640,689,No
Application Fee Received,730,821,730,No
Application Fee Received,637,855,642,No
Application Fee Received,681,707,681,No
Application Fee Received,764,772,769,No
Application Fee Received,721,654,721,No
Application Fee Received,588,763,588,No
Application Fee Received,835,827,835,No
Application Fee Received,630,645,630,No
Application Fee Received,816,749,816,No
Application Fee Received,701,655,701,No
Application Fee Received,733,595,733,No
Application Fee Received,811,840,811,No
Application Fee Received,809,864,809,No
Application Fee Received,629,680,634,No
Application Fee Received,622,736,622,No
Application Fee Received,680,738,680,No
Application Fee Received,765,763,765,No
Application Fee Received,767,779,767,No
Application Fee Received,880,771,880,No
Application Fee Received,867,880,867,No
Application Fee Received,1100,1050,1100,Yes
Application Fee Received,925,931,925,Yes
Application Fee Received,897,876,907,No
Application Fee Received,763,791,763,No
Application Fee Received,839,787,839,No
Application Fee Received,665,742,665,No
Application Fee Received,883,849,883,No
Application Fee Received,790,868,790,No
Application Fee Received,592,824,582,No
Application Fee Received,611,636,611,No
Application Fee Received,748,807,748,No
Application Fee Received,531,637,531,No
Application Fee Received,886,924,866,No
Application Fee Received,633,678,633,No
Application Fee Received,808,791,808,No
Application Fee Received,757,763,757,No
Application Fee Received,774,784,774,No
Application Fee Received,800,718,800,No
Application Fee Received,758,645,758,No
Application Fee Received,899,871,899,No
Application Fee Received,585,672,585,No
Application Fee Received,818,826,818,No
Application Fee Received,820,861,820,No
Application Fee Received,657,673,662,No
Application Fee Received,717,742,717,No
Application Fee Received,809,945,809,No
Application Fee Received,606,689,606,No
Application Fee Received,917,885,917,Yes
Application Fee Received,841,859,841,No
Application Fee Received,863,868,868,No
Application Fee Received,888,816,888,No
Application Fee Received,786,753,791,No
Application Fee Received,814,821,814,No
Application Fee Received,862,754,862,No
Application Fee Received,803,829,803,No
Application Fee Received,688,594,688,No
Admission Fee Challan Received,934,913,934,Yes
Application Fee Received,755,651,755,No
Application Fee Received,903,903,903,No
Application Fee Received,801,796,801,No
Application Fee Received,710,772,720,No
Application Fee Received,742,709,742,No
Application Fee Received,884,818,884,No
Application Fee Received,610,670,610,No
Application Fee Received,657,673,662,No
Application Fee Received,948,969,953,Yes
Admission Fee Challan Received,0,878,741,No
Application Fee Received,957,930,962,Yes
Application Fee Received,995,863,995,Yes
Application Fee Received,932,906,932,Yes
Application Fee Received,829.423,750,814,No
Application Fee Received,879.043,691,879,No
Application Fee Received,744,870,759,No
Application Fee Received,792.5,731,797,No
Admission Fee Challan Printed,896,941,896,Yes
Application Fee Received,795,900,800,No
Application Fee Received,517,762,522,No
Application Fee Received,875,929,880,No
Application Fee Received,578.846,570,583,No
Application Fee Received,777,930,782,No
Application Fee Received,937,848,957,Yes
Application Fee Received,789,876,789,No
Application Fee Received,743,685,743,No
Application Fee Received,822,653,822,No
Application Fee Received,722,864,727,No
Admission Fee Challan Received,779,842,779,No
Application Fee Received,884,936,884,No
Application Fee Received,578.846,570,583,No
Application Fee Received,670,726,670,No
Application Fee Received,879.043,691,879,No
Application Fee Received,844,763,844,No
Application Fee Received,734,627,739,No
Application Fee Received,624,747,624,No
Application Fee Received,824,723,824,No
Application Fee Received,517,762,522,No
Application Fee Received,795,900,800,No
Application Fee Received,776,882,776,No
Application Fee Received,784,912,784,No
Application Fee Received,778,727,778,No
Application Fee Received,865,814,865,No
Application Fee Received,837,822,837,No
Application Fee Received,864,938,864,No
Admission Fee Challan Received,911,900,911,Yes
Application Fee Received,698,793,698,No
Application Fee Received,824,893,824,No
Application Fee Received,833,921,833,No
Application Fee Received,790,797,790,No
Application Fee Received,829,844,829,No
Application Fee Received,901,891,901,No
Application Fee Received,553,613,553,No
Application Fee Received,841,895,841,No
Application Fee Received,763,831,763,No
Application Fee Received,730,813,730,No
Admission Fee Challan Printed,919,818,919,Yes
Application Fee Received,820,853,820,No
Application Fee Received,749,742,749,No
Application Fee Received,683,906,683,No
Admission Fee Challan Printed,896,941,896,Yes
Application Fee Received,662,762,662,No
Application Fee Received,820,781,820,No
Application Fee Received,634.02,606,619,No
Application Fee Received,770,637,770,No
