Application Status,Merit Score,Admission Test,Admission Test 2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,873,48,0,769,825,No
Application Fee Received,951.364,56,56,843,895,No
Application Fee Received,966.75,18,18,821,953,No
Application Fee Received,928,54,0,951,884,No
Application Fee Received,994,70,70,1011,929,No
Application Fee Received,1026,63,0,996,963,Yes
Application Fee Received,962,49,0,975,913,No
Application Fee Received,999.881,53,0,980,958,No
Application Fee Received,1035,54,0,982,981,Yes
Application Fee Received,834,60,0,971,784,No
Application Fee Received,902,51,0,806,856,No
Admission Fee Challan Received,1040,74,0,969,971,Yes
Application Fee Received,992.455,70,70,840,922,No
Application Fee Received,760,0,0,850,765,No
Application Fee Received,1003,62,0,973,946,No
Application Fee Received,956.454,62,0,949,874,No
Application Fee Received,942.222,47,0,924,895,No
Application Fee Received,1008.818,71,71,942,942,No
Application Fee Received,1064.273,67,67,861,1002,Yes
Application Fee Received,1069.182,70,70,860,999,Yes
Application Fee Received,755,46,0,882,709,No
Application Fee Received,796,49,0,903,732,No
Application Fee Received,845,53,0,824,792,No
Application Fee Received,903.25,25,25,869,878,No
Application Fee Received,814,0,0,798,814,No
Application Fee Received,717,0,0,819,717,No
Application Fee Received,982.818,64,64,962,928,No
Application Fee Received,899,59,0,720,840,No
Application Fee Received,866,56,0,922,815,No
Application Fee Received,907,55,0,710,852,No
Application Fee Received,755,58,0,718,697,No
Application Fee Received,881,0,0,829,881,No
Application Fee Received,842,54,0,827,788,No
Application Fee Received,976.386,413,0,882,899,No
Application Fee Received,930,44,0,890,886,No
Application Fee Received,976,47,0,922,914,No
Application Fee Received,766,50,0,840,716,No
Application Fee Received,1027,81,0,826,946,No
Application Fee Received,1040,75,75,894,970,Yes
Application Fee Received,960.273,77,77,873,883,No
Application Fee Received,810,27,0,808,783,No
Application Fee Received,895,29,0,766,871,No
Application Fee Received,997,44,0,926,953,No
Application Fee Received,936.727,72,72,889,864,No
Application Fee Received,947,56,0,891,891,No
Application Fee Received,1037.273,62,62,972,975,Yes
Application Fee Received,1069.273,71,71,933,978,Yes
Application Fee Received,838,52,0,899,786,No
Application Fee Received,1044.818,69,69,936,980,Yes
Application Fee Received,1005,85,0,937,920,No
Application Fee Received,918,50,0,913,868,No
Application Fee Received,850,60,0,647,790,No
Application Fee Received,970,60,0,722,910,No
Application Fee Received,873,44,0,813,829,No
Application Fee Received,960,56,0,901,904,No
Application Fee Received,833,56,0,869,777,No
Application Fee Received,851,56,0,740,795,No
Application Fee Received,951.909,42,42,681,909,No
Application Fee Received,1013,45,0,883,968,No
Application Fee Received,716.923,45,0,761,676,No
Application Fee Received,876,46,0,934,830,No
Application Fee Received,961,51,33,845,910,No
Application Fee Received,1034.111,55,0,874,978,Yes
Application Fee Received,913,44,0,1001,869,No
Application Fee Received,830,61,17,751,769,No
Admission Fee Challan Received,1054,65,0,850,989,Yes
Application Fee Received,998.364,56,56,837,942,No
Application Fee Received,942,56,0,937,891,No
Application Fee Received,840,55,0,882,740,No
Application Fee Received,987.308,82,82,832,909,No
Application Fee Received,890,44,0,758,876,No
Application Fee Received,883,51,0,857,832,No
Application Fee Received,1015,71,0,952,954,No
Application Fee Received,1043.636,69,69,883,974,Yes
Application Fee Received,884,52,0,903,832,No
Application Fee Received,920.727,37,37,899,888,No
Application Fee Received,849,56,0,779,793,No
Application Fee Received,804,62,0,706,742,No
Application Fee Received,863,56,0,802,807,No
Application Fee Received,937,52,0,894,890,No
Application Fee Received,882,0,0,870,882,No
Application Fee Received,760,53,0,819,707,No
Application Fee Received,953,58,0,859,895,No
Application Fee Received,960,50,0,815,890,No
Application Fee Received,997,52,0,909,950,No
Application Fee Received,959.545,50,50,912,909,No
Application Fee Received,937,55,0,829,882,No
Application Fee Received,876,49,0,831,827,No
Application Fee Received,968.545,84,84,758,884,No
Application Fee Received,829,51,0,741,778,No
Admission Fee Challan Received,1091,60,0,963,991,Yes
Application Fee Received,930,53,0,903,877,No
Application Fee Received,933,61,0,924,872,No
Application Fee Received,880,2,0,771,780,No
Application Fee Received,865.091,44,44,867,821,No
Application Fee Received,953,50,0,762,903,No
Application Fee Received,650.667,51,0,648,599,No
Application Fee Received,855,58,0,805,802,No
Application Fee Received,943.091,39,39,819,904,No
Application Fee Received,976,46,0,933,930,No
Application Fee Received,991,53,0,972,938,No
Application Fee Received,855,53,0,731,802,No
Application Fee Received,899,48,0,788,851,No
Application Fee Received,949.889,53,0,890,891,No
Application Fee Received,978,59,0,894,919,No
Application Fee Received,1043,73,0,944,975,Yes
Application Fee Received,805,59,0,751,746,No
Application Fee Received,704,64,0,758,645,No
Application Fee Received,758,56,0,836,702,No
Application Fee Received,955.727,47,47,835,888,No
Application Fee Received,1037,53,0,935,984,Yes
Application Fee Received,973,64,0,901,889,No
Application Fee Received,972,63,0,824,909,No
Application Fee Received,876,0,0,918,876,No
Application Fee Received,913,50,0,921,863,No
Application Fee Received,805,58,0,813,747,No
Application Fee Received,752,52,0,716,700,No
Application Fee Received,750,46,0,784,704,No
Application Fee Received,974,63,0,876,911,No
Application Fee Received,901,0,0,805,906,No
Application Fee Received,908.364,61,61,823,847,No
Application Fee Received,962,70,0,895,892,No
Application Fee Received,858,58,0,838,822,No
Application Fee Received,1013.909,65,65,919,948,No
Application Fee Received,821,46,0,792,775,No
Application Fee Received,746,0,0,782,746,No
Application Fee Received,921,50,0,824,871,No
Application Fee Received,965,54,0,837,891,No
Application Fee Received,896,54,0,816,842,No
Application Fee Received,865,55,0,821,790,No
Application Fee Received,1086.636,71,71,1008,1015,Yes
Admission Fee Challan Received,1038,53,0,944,985,Yes
Application Fee Received,993.909,55,55,869,938,No
Application Fee Received,804,52,0,805,752,No
Application Fee Received,898,54,0,810,844,No
Application Fee Received,959,56,0,817,903,No
Application Fee Received,966,60,0,844,886,No
Application Fee Received,867,50,0,904,817,No
Application Fee Received,939,50,0,895,889,No
Application Fee Received,795,50,0,806,745,No
Application Fee Received,745,0,0,856,745,No
Application Fee Received,1044,73,0,894,971,Yes
Application Fee Received,881,50,0,818,831,No
Application Fee Received,851,51,0,836,800,No
Application Fee Received,952,59,0,940,893,No
Application Fee Received,1022,59,0,903,963,Yes
Application Fee Received,796,61,0,951,735,No
Application Fee Received,899.091,49,49,931,850,No
Application Fee Received,1010,62,62,957,964,No
Application Fee Received,1011,56,0,970,945,No
Admission Fee Challan Received,1053,60,0,1005,993,Yes
Application Fee Received,788,45,0,791,743,No
Application Fee Received,1012,56,0,885,956,No
Application Fee Received,902,0,0,880,902,No
Application Fee Received,956,66,0,912,895,No
Application Fee Received,1024.636,60,60,828,964,No
Application Fee Received,948,61,0,903,887,No
Application Fee Received,584,45,0,572,539,No
Application Fee Received,810,52,0,617,758,No
Application Fee Received,850,50,0,822,800,No
Application Fee Received,884,0,0,669,884,No
Application Fee Received,726,45,0,667,681,No
Application Fee Received,796,50,0,737,746,No
Application Fee Received,927,64,0,839,863,No
Application Fee Received,871,0,0,842,871,No
Application Fee Received,1029,60,60,961,969,Yes
Application Fee Received,737,51,0,687,686,No
Application Fee Received,831.111,92,0,778,780,No
Application Fee Received,1042,69,0,924,973,Yes
Application Fee Received,757,0,0,817,757,No
Application Fee Received,1039,71,71,982,968,Yes
Application Fee Received,955,100,100,835,855,No
Application Fee Received,976.091,69,69,813,907,No
Application Fee Received,734.909,34,34,777,700,No
Application Fee Received,970,52,0,908,918,No
Application Fee Received,949,111,43,849,949,No
Application Fee Received,819,46,0,733,773,No
Application Fee Received,970.182,48,48,909,922,No
Application Fee Received,737,54,0,716,693,No
Application Fee Received,1006.727,82,82,804,929,No
Application Fee Received,684,54,0,810,635,No
Application Fee Received,940,52,0,921,888,No
Application Fee Received,914,57,0,800,857,No
Admission Fee Challan Received,956,56,0,926,900,No
Application Fee Received,966,44,0,861,922,No
Application Fee Received,788,0,0,854,788,No
Application Fee Received,917,53,0,846,864,No
Application Fee Received,963,57,0,903,906,No
Application Fee Received,865,59,0,899,811,No
Application Fee Received,956,66,0,953,890,No
Application Fee Received,1003,73,0,930,940,No
Application Fee Received,847,66,0,790,781,No
Application Fee Received,976,68,0,898,908,No
