Application Status,Merit Score,ssc_obtained,Terminal Degree,Offered
Application Fee Received,712,868,712,No
Application Fee Received,828,829,828,No
Application Fee Received,769,899,769,No
Application Fee Received,890,967,890,No
Application Fee Received,774,971,784,No
Application Fee Received,729,756,734,No
Application Fee Received,888,827,888,No
Application Fee Received,838,901,838,No
Application Fee Received,681,866,681,No
Application Fee Received,760,850,765,No
Application Fee Received,765,856,765,No
Application Fee Received,839,738,839,No
Application Fee Received,719,854,719,No
Application Fee Received,754,899,759,No
Application Fee Received,904.615,960,845,No
Application Fee Received,631,708,631,No
Application Fee Received,709,882,709,No
Application Fee Received,871,715,876,No
Application Fee Received,555,613,555,No
Application Fee Received,697,718,697,No
Application Fee Received,881,829,881,No
Application Fee Received,788,827,788,No
Application Fee Received,904,952,904,No
Application Fee Received,694,889,694,No
Application Fee Received,599,734,599,No
Application Fee Received,690,798,690,No
Application Fee Received,876,774,876,No
Application Fee Received,828,915,828,No
Application Fee Received,669,711,669,No
Application Fee Received,891,891,891,Yes
Application Fee Received,834,738,834,No
Application Fee Received,699,928,699,No
Application Fee Received,793,806,793,No
Application Fee Received,686,859,686,No
Application Fee Received,863,862,863,No
Application Fee Received,702,856,702,No
Application Fee Received,795,740,795,No
Application Fee Received,909,681,909,Yes
Application Fee Received,501,671,506,No
Application Fee Received,667.941,821,672,No
Application Fee Received,808,773,788,No
Application Fee Received,794,764,799,No
Application Fee Received,830,934,830,No
Application Fee Received,910,845,910,Yes
Application Fee Received,710,876,710,No
Application Fee Received,813,836,813,No
Application Fee Received,882,753,882,No
Application Fee Received,639,810,649,No
Application Fee Received,866.538,882,871,No
Application Fee Received,684,689,689,No
Application Fee Received,718,798,718,No
Application Fee Received,787.871,795,792,No
Application Fee Received,686,566,686,No
Application Fee Received,769,714,769,No
Application Fee Received,682,695,682,No
Application Fee Received,910,926,915,Yes
Application Fee Received,594,509,594,No
Application Fee Received,793,779,793,No
Application Fee Received,742,706,742,No
Application Fee Received,712,687,712,No
Application Fee Received,882,870,882,No
Application Fee Received,707,819,707,No
Application Fee Received,763,697,768,No
Application Fee Received,895,859,895,No
Application Fee Received,618,636,618,No
Application Fee Received,730,760,740,No
Application Fee Received,667,608,672,No
Application Fee Received,822,798,822,No
Application Fee Received,848,802,848,No
Application Fee Received,623,733,623,No
Application Fee Received,836,840,836,No
Application Fee Received,770,846,770,No
Application Fee Received,659,787,659,No
Application Fee Received,799,705,799,No
Admission Fee Challan Received,902,924,902,Yes
Admission Fee Challan Received,925,889,925,Yes
Application Fee Received,794,774,794,No
Application Fee Received,802,731,802,No
Application Fee Received,851,895,831,No
Application Fee Received,703,821,703,No
Application Fee Received,753,620,753,No
Application Fee Received,809,660,809,No
Application Fee Received,677,765,677,No
Application Fee Received,595.769,603,600,No
Application Fee Received,863,879,863,No
Application Fee Received,776,887,776,No
Application Fee Received,778.25,712,778,No
Application Fee Received,841,693,841,No
Application Fee Received,863,921,863,No
Application Fee Received,866,843,846,No
Application Fee Received,895,805,895,No
Application Fee Received,803,754,803,No
