Application Status,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_4_obtained,Offered
Application Fee Received,501,538,57,154,77,No
Application Fee Received,738,685,114,0,0,No
Application Fee Received,899,789,145,138,103,No
Application Fee Received,785,773,133,129,153,No
Application Fee Received,806,856,132,139,171,Yes
Admission Fee Challan Received,975,913,187,169,148,Yes
Admission Fee Challan Received,980,958,163,172,167,Yes
Admission Fee Challan Received,960,979,193,171,167,Yes
Application Fee Received,785,773,133,129,153,No
Application Fee Received,806,856,132,139,171,Yes
Application Fee Received,689,740,86,124,152,No
Application Fee Received,794,649,134,80,0,No
Application Fee Received,648,578,113,116,0,No
Application Fee Received,916,836,149,155,126,No
Application Fee Received,792,584,137,121,91,No
Application Fee Received,866,681,132,131,111,No
Application Fee Received,820,740,128,121,134,No
Application Fee Received,826,575,133,142,83,No
Application Fee Received,625,726,135,157,111,Yes
Application Fee Received,731,970,174,146,181,Yes
Application Fee Received,537,812,112,171,175,No
Application Fee Received,718,542,90,117,61,No
Application Fee Received,741,612,154,109,105,No
Application Fee Received,597,591,147,74,83,No
Application Fee Received,864,868,161,136,157,Yes
Application Fee Received,500,550,84,100,69,No
Application Fee Received,814,729,134,122,135,No
Application Fee Received,734,599,105,92,84,No
Application Fee Received,700,783,112,111,153,No
Application Fee Received,689,711,163,99,153,No
Application Fee Received,614,524,123,70,75,No
Admission Fee Challan Printed,765,653,0,0,0,No
Admission Fee Challan Received,798,813,144,43,143,Yes
Application Fee Received,674,547,0,0,0,No
Application Fee Received,681,614,120,123,112,No
Application Fee Received,745,608,113,152,115,No
Application Fee Received,637,589,108,134,106,No
Admission Fee Challan Received,795,849,154,145,152,Yes
Application Fee Received,833,506,68,130,101,No
Application Fee Received,748,754,150,132,121,No
Application Fee Received,594,595,136,0,0,No
Application Fee Received,929,723,162,106,127,No
Application Fee Received,638,570,121,0,0,No
Application Fee Received,695,682,135,118,123,No
Application Fee Received,542,619,119,140,76,No
Admission Fee Challan Printed,802,807,153,0,0,No
Application Fee Received,675,674,107,115,40,No
Application Fee Received,659,611,140,0,0,No
Application Fee Received,839,748,101,136,144,No
Application Fee Received,873,766,0,0,0,No
Application Fee Received,734,557,0,0,0,No
Application Fee Received,802,848,153,152,171,Yes
Application Fee Received,771,780,133,40,132,Yes
Application Fee Received,620,648,139,129,102,No
Application Fee Received,786,666,134,29,123,No
Application Fee Received,604,555,96,77,99,No
Application Fee Received,731,802,158,156,121,Yes
Application Fee Received,646,529,122,72,84,No
Application Fee Received,651,583,128,124,94,No
Application Fee Received,660,809,120,113,181,No
Application Fee Received,754,803,138,44,144,No
Application Fee Received,895,892,185,138,0,No
Application Fee Received,749,577,133,128,70,No
Application Fee Received,821,661,129,132,98,No
Application Fee Received,654,569,110,94,93,No
Application Fee Received,638,531,125,99,72,No
Application Fee Received,821,790,133,120,128,Yes
Application Fee Received,798,728,132,0,0,No
Application Fee Received,799,699,105,109,111,No
Application Fee Received,729,590,127,98,90,No
Application Fee Received,628,563,110,133,71,No
Application Fee Received,874,689,115,105,117,No
Application Fee Received,771,760,109,136,145,No
Application Fee Received,760,733,131,117,130,No
Application Fee Received,734,677,107,94,141,No
Application Fee Received,572,539,73,108,104,No
Application Fee Received,822,800,131,123,147,No
Application Fee Received,571,641,78,34,0,No
Application Fee Received,824,795,155,145,111,No
Application Fee Received,856,738,145,33,119,No
Application Fee Received,813,907,157,154,165,Yes
Application Fee Received,740,691,133,42,108,No
Application Fee Received,809,841,137,109,45,Yes
Application Fee Received,834,658,136,119,135,No
Application Fee Received,796,756,0,0,0,No
Application Fee Received,658,646,81,102,108,No
Application Fee Received,824,531,130,90,69,No
Application Fee Received,706,780,158,135,131,No
Application Fee Received,690,639,114,122,102,No
Admission Fee Challan Received,906,687,119,140,148,No
Admission Fee Challan Received,749,732,0,0,0,No
Application Fee Received,729,763,131,157,146,No
Application Fee Received,756,628,0,0,0,No
Application Fee Received,709,553,152,89,27,No
Application Fee Received,695,750,130,0,0,No
Admission Fee Challan Printed,765,653,0,0,0,No
Admission Fee Challan Received,798,813,144,43,143,Yes
Application Fee Received,781,733,134,152,140,No
Application Fee Received,659,677,76,126,126,No
Application Fee Received,892,872,153,181,136,Yes
Application Fee Received,598,622,91,130,0,No
Application Fee Received,687,692,0,0,0,No
Application Fee Received,760,654,119,122,97,No
Application Fee Received,562,642,103,83,114,No
Application Fee Received,636,653,84,116,151,No
Application Fee Received,589,475,73,76,73,No
Application Fee Received,679,759,154,31,110,No
Admission Fee Challan Received,913,882,153,159,146,Yes
Application Fee Received,568,576,0,0,0,No
Application Fee Received,790,874,161,143,0,No
Application Fee Received,887,875,159,155,152,Yes
Application Fee Received,825,699,148,120,98,No
Application Fee Received,856,793,126,142,160,No
Application Fee Received,785,640,94,88,127,No
Application Fee Received,820,825,0,0,0,No
Application Fee Received,686,623,100,43,101,No
Application Fee Received,785,697,129,148,126,No
Application Fee Received,587,604,103,45,112,No
Application Fee Received,729,566,118,115,81,No
Application Fee Received,787,679,120,125,0,No
Application Fee Received,746,751,139,136,24,No
Application Fee Received,862,670,141,130,75,No
Application Fee Received,651,696,119,79,127,No
Application Fee Received,661,648,109,114,127,No
Application Fee Received,669,893,0,0,0,No
Application Fee Received,679,594,144,117,84,No
Application Fee Received,679,565,89,70,127,No
Application Fee Received,613,602,120,84,122,No
Application Fee Received,630,556,114,85,80,No
Application Fee Received,777,680,62,122,133,No
Application Fee Received,573,610,69,132,135,No
Application Fee Received,751,731,151,0,0,No
Application Fee Received,651,724,113,139,144,No
Application Fee Received,800,671,134,94,132,No
Application Fee Received,735,668,142,115,107,No
Application Fee Received,705,652,133,124,111,No
Application Fee Received,639,525,122,83,72,No
Application Fee Received,749,695,158,67,147,No
Application Fee Received,542,803,120,120,34,No
Application Fee Received,591,692,143,110,84,No
Application Fee Received,944,752,133,82,147,No
Application Fee Received,884,712,151,0,0,No
Application Fee Received,848,830,152,138,139,Yes
Application Fee Received,845,774,109,138,148,No
Application Fee Received,738,719,79,112,150,No
Admission Fee Challan Received,690,624,137,92,117,No
Application Fee Received,749,714,0,0,0,No
Application Fee Received,755,688,140,118,126,No
Application Fee Received,702,872,143,135,186,Yes
Application Fee Received,640,702,105,154,122,No
Application Fee Received,787,669,168,140,38,No
Admission Fee Challan Received,866,866,157,152,143,Yes
Application Fee Received,807,542,130,67,63,No
Application Fee Received,639,483,66,61,110,No
Application Fee Received,735,749,123,109,144,No
Application Fee Received,596,564,136,39,94,No
Application Fee Received,717,591,127,73,94,No
Application Fee Received,736,556,114,97,75,No
Application Fee Received,874,703,161,39,104,No
Application Fee Received,602,584,104,114,70,No
Application Fee Received,614,664,113,113,33,No
Application Fee Received,747,802,0,0,0,No
Application Fee Received,831,818,173,173,173,Yes
Application Fee Received,725,498,104,112,85,No
Application Fee Received,723,787,100,155,183,No
Application Fee Received,834,784,167,154,116,Yes
Application Fee Received,743,732,124,139,118,No
Application Fee Received,751,674,151,0,0,No
Application Fee Received,803,809,168,148,145,Yes
Application Fee Received,563,579,0,0,0,No
Application Fee Received,665,613,141,105,82,No
Application Fee Received,641,596,91,32,103,No
Admission Fee Challan Received,886,880,142,166,179,Yes
Application Fee Received,883,799,145,45,130,Yes
Application Fee Received,630,556,114,85,80,No
Application Fee Received,777,680,62,122,133,No
Application Fee Received,691,683,112,143,158,No
Application Fee Received,811,820,151,0,0,Yes
Application Fee Received,758,583,89,124,125,No
Application Fee Received,651,702,94,134,108,No
Application Fee Received,702,872,143,135,186,Yes
Application Fee Received,572,539,73,108,104,No
Application Fee Received,695,750,130,0,0,No
Admission Fee Challan Received,960,979,193,171,167,Yes
Admission Fee Challan Received,980,958,163,172,167,Yes
Application Fee Received,781,733,134,152,140,No
Application Fee Received,596,564,136,39,94,No
Application Fee Received,679,759,154,31,110,No
Application Fee Received,866,681,132,131,111,No
Application Fee Received,873,766,0,0,0,No
Application Fee Received,679,594,144,117,84,No
Application Fee Received,831,818,173,173,173,Yes
Application Fee Received,729,763,131,157,146,No
Application Fee Received,749,695,158,67,147,No
Admission Fee Challan Received,814,860,149,147,175,No
