Application Status,Merit Score,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_5_obtained,Offered
Application Fee Received,63.182,57,868,712,166,No
Application Fee Received,60.182,50,676,690,0,No
Application Fee Received,64.618,58,787,729,120,No
Application Fee Received,69.455,52,844,812,149,No
Application Fee Received,68.091,55,720,785,178,No
Application Fee Received,63.236,54,875,701,44,No
Application Fee Received,53.873,61,648,578,0,No
Application Fee Received,56.691,50,636,642,44,No
Application Fee Received,55.891,54,862,620,0,No
Application Fee Received,67.793,50,652,799,0,No
Application Fee Received,68.182,46,632,811,150,No
Application Fee Received,69.782,54,694,811,175,No
Admission Fee Challan Received,79.582,63,801,921,159,Yes
Application Fee Received,51.164,42,744,593,99,No
Application Fee Received,64.2,57,625,726,104,No
Application Fee Received,71.873,71,763,793,0,No
Application Fee Received,48.4,42,640,560,125,No
Admission Fee Challan Received,79.345,56,775,942,185,Yes
Admission Fee Challan Received,72.055,65,726,812,179,No
Application Fee Received,65.127,62,667,725,139,No
Application Fee Received,49.091,40,654,565,32,No
Application Fee Received,46.491,39,718,542,104,No
Application Fee Received,70.473,52,903,826,0,No
Application Fee Received,56.291,52,708,631,98,No
Application Fee Received,59.255,57,604,658,0,No
Application Fee Received,75.018,50,564,899,161,Yes
Application Fee Received,57.709,58,619,634,109,No
Application Fee Received,68.673,59,776,782,44,No
Application Fee Received,61.527,52,537,703,131,No
Application Fee Received,48.091,51,716,521,0,No
Application Fee Received,68.2,65,839,739,127,No
Application Fee Received,50.764,52,613,555,0,No
Application Fee Received,68.782,53,777,805,37,No
Application Fee Received,47.527,46,631,532,0,No
Admission Fee Challan Received,73.927,54,864,868,164,Yes
Application Fee Received,63.818,54,814,729,48,No
Application Fee Received,60.036,54,559,677,125,No
Application Fee Received,57.309,0,793,793,0,No
Application Fee Received,69.382,60,937,794,139,No
Application Fee Received,56.836,50,648,644,0,No
Application Fee Received,67.982,49,915,800,0,No
Application Fee Received,74.255,52,564,883,181,Yes
Application Fee Received,69.073,53,766,804,150,No
Application Fee Received,80.164,75,777,896,0,Yes
Application Fee Received,59.113,49,539,683,54,No
Application Fee Received,67.691,57,808,774,147,No
Application Fee Received,55.527,50,760,626,73,No
Application Fee Received,63.115,57,677,716,65,No
Application Fee Received,80.818,67,818,907,169,Yes
Application Fee Received,52.418,41,745,608,40,No
Application Fee Received,64.992,0,766,893,85,No
Application Fee Received,66.055,47,819,779,160,No
Application Fee Received,55.055,0,897,757,141,No
Admission Fee Challan Received,80.982,70,875,921,167,Yes
Application Fee Received,69.018,56,740,795,163,No
Application Fee Received,66.327,48,797,780,117,No
Application Fee Received,50.875,45,761,560,0,No
Application Fee Received,65.491,50,538,763,123,No
Application Fee Received,59.2,54,748,649,0,No
Application Fee Received,51.927,40,546,604,158,No
Application Fee Received,60.178,58,821,672,58,No
Application Fee Received,54.745,53,720,607,118,No
Application Fee Received,62.364,58,896,698,40,No
Application Fee Received,53.018,40,613,619,0,No
Application Fee Received,47.527,50,603,516,41,No
Application Fee Received,63.018,42,538,751,46,No
Application Fee Received,50.345,39,629,585,0,No
Application Fee Received,70.806,52,857,835,75,No
Application Fee Received,57.891,52,722,658,103,No
Application Fee Received,65.055,50,780,757,0,No
Application Fee Received,64.964,63,866,720,100,No
Application Fee Received,58.855,47,670,685,164,No
Admission Fee Challan Received,76.117,47,847,903,143,Yes
Application Fee Received,54.8,50,573,616,75,No
Application Fee Received,63.862,49,637,748,0,No
Application Fee Received,63.115,57,677,716,65,No
Application Fee Received,80.818,67,818,907,169,Yes
Application Fee Received,62.873,58,753,705,101,No
Application Fee Received,55.236,50,684,622,124,No
Application Fee Received,63.255,53,779,724,0,No
Application Fee Received,65.727,49,714,769,130,No
Application Fee Received,80.8,76,872,907,0,Yes
Application Fee Received,59.418,40,694,707,158,No
Application Fee Received,69.891,56,802,807,0,No
Application Fee Received,63.455,58,635,713,150,No
Application Fee Received,62.555,21,768,801,149,No
Application Fee Received,64.036,46,663,754,140,No
Application Fee Received,53.891,52,567,598,103,No
Application Fee Received,59.448,52,754,679,0,No
Application Fee Received,68.436,48,708,814,177,No
Application Fee Received,62.291,42,606,741,129,No
Application Fee Received,38.429,52,532,390,0,No
Application Fee Received,57.927,50,787,659,0,No
Application Fee Received,65.382,48,765,767,156,No
Application Fee Received,58.4,52,650,660,0,No
Application Fee Received,76.982,62,840,868,141,Yes
Application Fee Received,52.236,51,675,583,66,No
Admission Fee Challan Received,77.6,60,875,902,43,Yes
Application Fee Received,62.782,59,766,701,40,No
Application Fee Received,65.6,59,737,627,109,No
Application Fee Received,66.727,50,735,780,184,No
Application Fee Received,49.164,44,604,555,87,No
Application Fee Received,58.473,32,646,529,31,No
Application Fee Received,71.491,48,788,851,156,No
Application Fee Received,57.782,54,807,646,0,No
Application Fee Received,58.618,48,481,674,0,No
Application Fee Received,69.036,51,660,809,163,No
Application Fee Received,70.806,52,857,835,75,No
Application Fee Received,57.891,52,722,658,103,No
Application Fee Received,59.345,64,758,645,0,No
Application Fee Received,59.273,40,651,705,0,No
Application Fee Received,53.436,49,778,600,77,No
Application Fee Received,70.382,57,809,811,112,No
Application Fee Received,66.533,51,770,759,168,No
Application Fee Received,65.491,42,777,785,148,No
Application Fee Received,74.582,58,843,846,156,Yes
Application Fee Received,66.345,51,849,772,0,No
Application Fee Received,49.564,46,540,560,78,No
Application Fee Received,67.814,60,679,777,0,No
Application Fee Received,69.782,58,838,822,157,No
Application Fee Received,64.15,24,961,814,154,No
Admission Fee Challan Printed,61.345,46,846,722,0,No
Application Fee Received,62.339,57,711,683,107,No
Application Fee Received,62.145,58,798,695,0,No
Application Fee Received,68.073,56,810,782,39,No
Application Fee Received,64.964,51,773,753,129,No
Application Fee Received,73.436,53,777,864,40,No
Application Fee Received,67.127,64,672,747,0,No
Application Fee Received,57.582,61,840,624,108,No
Application Fee Received,70.161,48,650,817,0,No
Application Fee Received,52.055,41,691,603,99,No
Application Fee Received,81.727,81,844,901,0,Yes
Application Fee Received,74.345,51,845,882,164,Yes
Application Fee Received,71.218,43,911,861,42,No
Application Fee Received,70.109,48,924,832,132,No
Application Fee Received,73.4,59,882,847,149,No
Application Fee Received,22.152,58,754,837,180,No
Admission Fee Challan Received,71.831,53,777,841,88,No
Admission Fee Challan Received,73.891,72,939,818,0,Yes
Application Fee Received,68.182,50,822,800,161,No
Application Fee Received,59.727,55,779,670,116,No
Admission Fee Challan Received,77.943,49,908,927,0,Yes
Application Fee Received,49.273,50,672,540,82,No
Application Fee Received,74.636,59,892,864,161,Yes
Application Fee Received,67.345,48,741,794,0,No
