Application Status,Merit Score,Admission Test,ssc_obtained,Terminal Degree,Offered
Application Fee Received,54.964,53,711,610,No
Application Fee Received,58.109,60,794,649,No
Application Fee Received,53.873,61,648,578,No
Application Fee Received,66.291,50,866,774,No
Application Fee Received,64.2,57,625,726,No
Admission Fee Challan Received,65.127,62,667,725,No
Application Fee Received,55.8,55,577,621,No
Application Fee Received,52.382,47,818,571,No
Application Fee Received,48.364,0,915,665,No
Application Fee Received,46.145,46,625,513,No
Application Fee Received,59.255,57,604,658,No
Application Fee Received,68.905,25,869,878,Yes
Application Fee Received,48.091,51,716,521,No
Application Fee Received,50.836,0,545,699,No
Application Fee Received,49.309,50,687,678,No
Application Fee Received,60.036,54,559,677,No
Admission Fee Challan Received,69.382,60,937,794,No
Admission Fee Challan Received,68.109,50,589,799,Yes
Application Fee Received,64.013,44,706,764,No
Application Fee Received,64.145,52,750,739,No
Application Fee Received,55.055,0,897,757,No
Application Fee Received,63.164,54,756,720,No
Application Fee Received,66.327,48,797,780,No
Application Fee Received,50.875,45,761,560,No
Application Fee Received,56.739,21,898,726,No
Application Fee Received,59.086,21,805,754,No
Application Fee Received,63,47,647,742,No
Application Fee Received,55.274,58,716,605,No
Application Fee Received,61.309,52,716,700,No
Application Fee Received,62.364,58,896,698,No
Application Fee Received,50.291,50,631,554,No
Application Fee Received,47.527,50,603,516,No
Application Fee Received,50.291,50,647,554,No
Application Fee Received,63.021,0,882,871,No
Application Fee Received,56.145,48,843,645,No
Application Fee Received,29.382,40,738,299,No
Application Fee Received,55.236,50,684,622,No
Application Fee Received,45.564,42,466,511,No
Application Fee Received,63.255,53,779,724,No
Application Fee Received,54.018,45,530,619,No
Admission Fee Challan Received,68.691,66,697,768,Yes
Application Fee Received,73.491,46,891,884,Yes
Application Fee Received,64,48,839,748,No
Application Fee Received,57.047,57,696,627,No
Application Fee Received,53.891,52,567,598,No
Application Fee Received,62.291,42,606,741,No
Application Fee Received,38.429,52,532,390,No
Application Fee Received,61.2,46,847,715,No
Application Fee Received,46.982,44,682,525,No
Application Fee Received,52.236,51,675,583,No
Application Fee Received,66.309,57,794,755,No
Application Fee Received,83.927,61,918,989,Yes
Application Fee Received,52.145,52,620,574,No
Application Fee Received,57.4,59,737,627,No
Application Fee Received,48.618,50,666,531,No
Application Fee Received,68.562,50,673,810,Yes
Application Fee Received,55.745,46,751,650,No
Application Fee Received,58.236,53,736,660,No
Application Fee Received,59.709,76,718,617,No
Application Fee Received,43.855,48,600,603,No
Application Fee Received,53.436,49,778,600,No
Application Fee Received,52.527,43,536,604,No
Application Fee Received,55.274,58,716,605,No
Application Fee Received,61.309,52,716,700,No
Application Fee Received,55.764,45,805,643,No
Application Fee Received,50.018,53,562,542,No
Application Fee Received,47.44,65,628,563,No
Application Fee Received,62.855,47,775,735,No
Application Fee Received,52.818,43,595,608,No
Application Fee Received,68.562,50,673,810,Yes
Application Fee Received,55.745,46,751,650,No
Application Fee Received,60.727,48,819,703,No
Application Fee Received,55.036,57,534,600,No
Application Fee Received,68.564,53,861,797,Yes
Application Fee Received,55.8,51,872,627,No
Application Fee Received,73.4,59,882,847,Yes
Application Fee Received,68.182,50,822,800,Yes
Application Fee Received,63,47,525,737,No
Admission Fee Challan Received,52.873,48,584,580,No
Application Fee Received,55.933,35,468,672,No
Application Fee Received,49.6,0,783,687,No
Application Fee Received,62.655,62,740,691,No
Application Fee Received,52.291,48,548,587,No
Application Fee Received,69.018,48,834,817,Yes
Application Fee Received,61.673,56,896,704,No
Admission Fee Challan Received,68.691,62,788,774,No
Application Fee Received,60.473,54,716,693,No
Application Fee Received,63.382,22,873,809,No
Application Fee Received,58.382,49,537,668,No
Application Fee Received,53.236,48,524,600,No
Application Fee Received,56.982,50,658,646,No
Admission Fee Challan Received,68.349,55,743,793,Yes
Application Fee Received,67.067,56,747,768,Yes
Application Fee Received,56.873,52,690,639,No
Application Fee Received,56.533,50,564,639,No
Application Fee Received,62.291,58,714,702,No
Application Fee Received,57.564,58,848,612,No
Application Fee Received,78.182,60,986,913,Yes
Application Fee Received,46.327,0,782,617,No
Application Fee Received,55.764,45,560,643,No
Application Fee Received,49.509,49,475,546,No
Application Fee Received,64.673,51,863,749,No
Application Fee Received,57.818,48,779,663,No
Application Fee Received,57.341,44,760,654,No
Application Fee Received,64.309,47,679,760,No
Admission Fee Challan Received,70.818,73,910,773,No
Application Fee Received,57.182,55,602,635,No
Application Fee Received,57.782,50,781,662,No
Admission Fee Challan Received,65.145,57,750,719,Yes
Application Fee Received,58.236,53,736,660,No
Application Fee Received,59.709,76,718,617,No
Application Fee Received,61.345,66,672,662,No
Admission Fee Challan Received,67.491,40,823,828,Yes
Application Fee Received,60.691,50,828,697,No
Application Fee Received,60.964,51,677,703,No
Application Fee Received,56.455,47,677,657,No
Application Fee Received,60.836,54,888,688,No
Application Fee Received,56.091,47,800,642,No
Application Fee Received,71.8,55,791,836,Yes
Application Fee Received,52.818,47,752,597,No
Application Fee Received,60.418,41,777,718,No
Application Fee Received,72.329,35,921,903,No
Application Fee Received,62.036,52,718,710,No
Application Fee Received,54.727,54,587,604,No
Admission Fee Challan Received,66.4,52,831,770,Yes
Application Fee Received,59.255,49,679,680,No
Application Fee Received,65.618,43,862,789,Yes
Application Fee Received,63.545,49,806,739,No
Application Fee Received,65.103,51,612,759,No
Application Fee Received,57.273,50,508,650,No
Application Fee Received,54.018,41,650,630,No
Application Fee Received,63.582,43,837,756,No
Application Fee Received,62.171,0,600,854,No
Application Fee Received,70.836,64,775,803,Yes
Application Fee Received,52.218,32,785,630,No
Application Fee Received,62.891,53,921,719,No
Application Fee Received,72.673,71,861,804,Yes
Application Fee Received,63.018,54,704,698,No
Application Fee Received,50.273,47,603,567,No
Application Fee Received,58.945,50,679,673,No
Application Fee Received,55.533,0,583,763,No
Application Fee Received,58.891,53,756,664,No
Application Fee Received,67.764,49,904,797,No
Application Fee Received,59.345,52,635,673,No
Application Fee Received,62.655,50,651,724,No
Application Fee Received,55.509,47,576,614,No
