Application Status,Merit Score,Admission Test,Admission Test 2,particular_test_total2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,951.364,56,56,1100,843,895,No
Application Fee Received,963,0,0,0,882,943,No
Application Fee Received,1003.954,41,41,1100,927,962,No
Application Fee Received,987,56,0,0,990,936,No
Application Fee Received,995,48,0,,1000,947,No
Application Fee Received,902,51,0,0,806,856,No
Application Fee Received,1040,74,0,,969,971,Yes
Application Fee Received,43,42,0,,852,1,No
Application Fee Received,846,50,0,0,861,796,No
Admission Fee Challan Received,771,60,0,0,726,701,No
Application Fee Received,896,65,0,,916,836,No
Application Fee Received,934,55,0,,840,879,No
Application Fee Received,1039,70,0,,977,974,Yes
Application Fee Received,999.091,59,59,1100,840,945,No
Application Fee Received,935,56,0,,804,884,No
Application Fee Received,763,44,0,0,854,719,No
Application Fee Received,850.111,55,0,,798,789,No
Application Fee Received,924.222,94,0,0,883,872,No
Application Fee Received,795.099,9,0,,576,710,No
Admission Fee Challan Received,0,46,0,0,950,990,Yes
Application Fee Received,1058.182,67,67,1100,971,991,Yes
Application Fee Received,982.818,64,64,1100,962,928,No
Application Fee Received,907,55,0,0,710,852,No
Application Fee Received,755,58,0,0,718,697,No
Application Fee Received,842,54,0,0,827,788,No
Application Fee Received,951.455,65,65,1100,861,886,No
Application Fee Received,1031.091,73,73,1100,937,958,Yes
Application Fee Received,922,54,0,,864,868,No
Application Fee Received,976,0,0,,973,976,No
Application Fee Received,976.889,35,0,,908,943,No
Application Fee Received,976,47,0,,922,914,No
Application Fee Received,810,27,0,0,808,783,No
Application Fee Received,895,29,0,,766,871,No
Application Fee Received,915,45,0,,773,870,No
Application Fee Received,851,0,0,0,758,851,No
Application Fee Received,838,52,0,,899,786,No
Application Fee Received,961,35,0,0,941,926,No
Admission Fee Challan Received,1032.455,65,65,100,967,972,Yes
Application Fee Received,1005,85,0,0,937,920,No
Application Fee Received,850,60,0,,647,790,No
Application Fee Received,960,56,0,,901,904,No
Application Fee Received,939.091,59,59,1100,848,890,No
Application Fee Received,951.909,42,42,1100,681,909,No
Application Fee Received,984.273,63,63,1100,887,931,No
Application Fee Received,1013,45,0,,883,968,No
Application Fee Received,901,50,0,,797,831,No
Application Fee Received,971,0,0,,890,971,No
Application Fee Received,895.273,57,57,1100,872,848,No
Application Fee Received,853,55,0,0,827,798,No
Application Fee Received,736,53,0,,915,683,No
Application Fee Received,54,53,0,,798,1,No
Application Fee Received,933,40,0,0,880,893,No
Application Fee Received,892,57,0,0,858,835,No
Application Fee Received,1019,61,0,,951,963,No
Application Fee Received,802,58,0,0,921,744,No
Application Fee Received,883,51,0,,857,832,No
Application Fee Received,1002,66,0,0,964,936,No
Application Fee Received,804,62,0,,706,742,No
Admission Fee Challan Received,1033.667,78,74,1100,963,972,Yes
Application Fee Received,953,58,0,,859,895,No
