Att,Qui,Mid,At_v,C_v,File1,File5,File6,File7,File8,File9,File10,Forum11,Quiz1,File12,Workshop1,Workshop2,Total_v,Fin
2,8,25,1,60,4,0,2,1,0,0,0,0,3,10,1,38,24,20
2,9,25,0,105,6,6,5,4,3,8,3,2,18,13,3,48,39,34
2,0,20,0,22,0,0,0,0,0,0,1,0,0,1,0,15,14,7
2,7,24,0,20,2,0,3,0,0,0,0,0,0,6,0,15,17,10
2,9,26,0,101,2,5,8,8,6,11,3,4,2,19,0,51,26,25
2,9,25,3,72,2,4,2,3,0,1,2,3,7,9,12,29,18,19
2,10,20,1,48,1,4,4,0,5,0,1,0,3,9,0,20,22,14
0,0,0,0,93,0,0,1,0,0,0,0,0,0,0,0,22,23,16
2,7,21,0,13,0,0,0,0,0,0,1,0,0,10,0,16,1,4
2,9,25,0,63,0,0,2,1,0,0,1,1,5,6,1,36,27,17
2,10,28,0,134,7,1,2,2,0,3,1,0,5,10,1,35,24,30
2,9,21,0,58,2,0,1,0,0,0,1,0,1,8,0,15,19,15
2,8,20,0,44,0,0,0,0,0,0,0,0,0,6,0,18,16,10
2,6,17,0,11,1,1,1,4,2,0,0,6,3,8,0,1,0,4
2,9,20,0,118,0,1,5,1,1,2,3,1,5,8,1,26,21,20
1,0,20,0,76,4,1,4,6,1,1,6,1,1,4,3,36,16,19
2,10,15,1,82,0,0,0,1,0,0,1,0,0,11,0,23,24,17
2,9,9,0,2,0,0,0,0,0,0,0,0,0,6,0,17,0,2
2,8,15,0,20,5,1,3,3,0,1,1,0,0,10,0,14,9,11
2,7,20,0,98,0,0,2,1,1,2,0,1,6,7,0,36,19,18
2,8,22,0,15,0,0,0,0,0,0,0,0,1,7,0,15,0,3
2,4,18,0,60,3,1,0,7,0,2,3,0,8,12,7,122,21,26
2,10,23,0,77,0,0,1,1,1,1,0,1,3,12,2,33,19,16
2,9,20,2,31,1,0,5,2,0,0,4,0,2,9,0,22,18,12
2,10,17,0,5,0,0,0,0,0,0,0,0,0,8,0,15,0,2
2,6,21,2,88,3,3,2,1,5,3,0,0,0,14,0,14,14,17
2,7,18,0,85,0,6,2,3,7,2,0,2,2,12,0,26,33,20
2,8,18,1,17,4,1,1,3,0,2,1,0,0,6,0,6,15,11
2,6,14,0,19,0,1,2,1,0,0,0,0,1,7,1,28,0,5
2,9,12,1,12,0,0,0,0,0,0,0,0,0,6,0,15,19,8
2,9,14,0,30,1,1,2,1,1,1,1,1,0,11,0,15,3,7
2,6,18,0,36,0,0,0,0,0,0,0,0,0,6,0,18,20,11
2,8,21,0,40,0,1,0,1,0,0,3,0,2,9,3,34,9,10
2,9,16,0,17,0,0,0,0,0,0,0,0,0,6,0,16,0,3
2,7,22,0,46,2,1,7,2,1,0,1,1,9,10,2,21,20,15
2,10,17,0,18,0,0,4,2,0,0,1,0,0,8,0,15,18,9
2,8,15,0,95,0,0,1,0,0,0,1,0,5,8,1,43,24,20
1,8,14,0,23,0,1,0,0,2,0,0,0,3,11,0,27,2,6
2,8,20,0,47,0,0,1,2,0,0,0,0,0,7,2,36,26,15
2,8,21,0,173,1,4,6,1,1,1,8,1,22,14,2,89,37,37
2,9,23,0,57,1,2,2,1,1,0,1,0,4,9,3,25,20,15
2,7,15,0,17,0,2,0,0,0,0,0,0,0,7,1,21,22,10
2,8,17,1,30,1,4,3,1,1,2,0,1,0,7,0,17,21,12
2,9,20,0,62,7,3,2,1,0,3,1,0,3,14,3,32,21,23
2,6,14,0,19,1,1,1,1,1,1,2,1,2,6,0,23,1,6
2,8,20,0,34,0,0,0,0,0,0,1,0,5,7,0,17,21,11
2,9,21,0,68,0,0,1,0,0,0,1,0,1,7,0,24,35,18
2,9,10,0,33,0,0,0,0,0,0,0,0,1,6,1,19,13,9
