column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h
true,1,1,1,1,1,2,data_2
true,1,1,1,1,2,1,data_3
true,1,1,1,1,2,2,data_4
false,1,1,1,1,3,1,data_5
false,1,1,1,1,4,1,data_7
true,1,1,1,2,1,1,data_9
true,1,1,1,2,2,2,data_12
false,1,1,1,2,4,2,data_16
true,1,1,2,1,2,2,data_28
false,1,1,2,1,4,2,data_32
true,1,1,2,2,2,2,data_36
false,1,1,2,2,4,1,data_39
false,1,1,2,2,4,2,data_40
true,1,1,2,3,1,1,data_41
true,1,1,2,3,1,2,data_42
true,1,1,2,3,3,1,data_45
true,1,1,2,3,3,2,data_46
true,1,2,1,1,3,1,data_53
true,1,2,1,2,2,1,data_59
true,1,2,1,2,2,2,data_60
false,1,2,1,2,3,1,data_61
true,1,2,1,3,1,1,data_65
true,1,2,1,3,1,2,data_66
true,1,2,1,3,2,1,data_67
true,1,2,1,3,2,2,data_68
true,1,2,1,3,3,2,data_70
false,1,2,1,3,4,1,data_71
true,1,2,2,1,3,1,data_77
false,1,2,2,1,4,2,data_80
true,1,2,2,2,1,1,data_81
true,1,2,2,2,2,1,data_83
true,1,2,2,2,2,2,data_84
true,1,2,2,3,1,1,data_89
true,1,2,2,3,2,1,data_91
true,1,2,2,3,2,2,data_92
false,1,3,1,1,2,1,data_99
false,1,3,1,1,4,1,data_103
false,1,3,1,2,3,2,data_110
false,1,3,1,2,4,1,data_111
false,1,3,1,3,1,1,data_113
false,1,3,1,3,3,1,data_117
false,1,3,2,1,1,1,data_121
false,1,3,2,1,1,2,data_122
false,1,3,2,1,2,1,data_123
false,1,3,2,1,4,2,data_128
false,1,3,2,2,3,2,data_134
false,1,3,2,2,4,2,data_136
false,1,3,2,3,4,1,data_143
true,2,1,1,1,1,1,data_145
true,2,1,1,1,1,2,data_146
false,2,1,1,1,4,1,data_151
false,2,1,1,1,4,2,data_152
true,2,1,1,2,1,1,data_153
true,2,1,1,2,1,2,data_154
true,2,1,1,3,2,2,data_164
true,2,1,1,3,3,2,data_166
false,2,1,1,3,4,1,data_167
true,2,1,2,1,2,2,data_172
false,2,1,2,2,4,1,data_183
true,2,1,2,3,1,2,data_186
true,2,2,1,1,3,2,data_198
false,2,2,1,1,4,2,data_200
true,2,2,1,2,1,2,data_202
false,2,2,1,2,2,1,data_203
true,2,2,1,3,1,1,data_209
true,2,2,1,3,2,2,data_212
false,2,2,1,3,3,1,data_213
false,2,2,1,3,3,2,data_214
false,2,2,1,3,4,2,data_216
true,2,2,2,1,2,2,data_220
true,2,2,2,2,1,2,data_226
true,2,2,2,2,3,1,data_229
true,2,2,2,2,3,2,data_230
false,2,2,2,3,4,1,data_239
true,2,3,1,1,3,1,data_245
false,2,3,1,2,1,1,data_249
false,2,3,1,2,2,1,data_251
false,2,3,1,2,2,2,data_252
false,2,3,1,2,3,2,data_254
false,2,3,1,3,3,1,data_261
false,2,3,2,1,1,2,data_266
false,2,3,2,1,2,2,data_268
false,2,3,2,1,4,1,data_271
false,2,3,2,2,3,1,data_277
false,2,3,2,2,4,2,data_280
false,2,3,2,3,1,1,data_281
false,2,3,2,3,2,1,data_283
false,2,3,2,3,4,2,data_288
true,3,1,1,1,1,1,data_289
true,3,1,1,1,2,1,data_291
true,3,1,1,1,3,1,data_293
false,3,1,1,2,4,2,data_304
true,3,1,1,3,1,2,data_306
false,3,1,1,3,4,2,data_312
true,3,1,2,1,2,1,data_315
true,3,1,2,2,3,2,data_326
false,3,1,2,2,4,2,data_328
true,3,1,2,3,1,1,data_329
true,3,2,1,1,2,2,data_340
false,3,2,1,1,4,1,data_343
true,3,2,1,2,3,1,data_349
true,3,2,1,3,1,2,data_354
true,3,2,2,1,2,2,data_364
true,3,2,2,1,3,2,data_366
true,3,2,2,2,1,2,data_370
true,3,2,2,3,1,1,data_377
true,3,2,2,3,3,2,data_382
false,3,2,2,3,4,1,data_383
true,3,3,1,1,3,2,data_390
true,3,3,1,1,4,1,data_391
false,3,3,1,2,4,2,data_400
false,3,3,1,3,1,1,data_401
false,3,3,1,3,2,1,data_403
false,3,3,1,3,2,2,data_404
false,3,3,1,3,4,1,data_407
false,3,3,2,1,1,1,data_409
false,3,3,2,1,1,2,data_410
false,3,3,2,2,2,2,data_420
false,3,3,2,2,3,2,data_422
false,3,3,2,3,1,1,data_425
false,3,3,2,3,3,2,data_430
false,3,3,2,3,4,2,data_432
