Application Status,Admission Test 2,ssc_obtained,Terminal Degree,Document Verified,English Marks,Offered
Challan Printed,0,763,832,0,145,No
Challan Printed,0,821,659,0,132,No
Admission Fee Challan Received,0,818,734,1,136,No
Challan Printed,0,740,772,0,157,No
Application Fee Received,0,677,575,0,93,No
Application Fee Received,0,474,617,0,0,No
Application Fee Received,0,734,896,0,159,No
Challan Printed,0,698,732,0,48,No
Application Fee Received,65,893,967,1,173,Yes
Challan Printed,0,705,665,0,72,No
Application Fee Received,0,663,595,0,0,No
Application Received,0,687,802,0,0,No
Challan Printed,0,761,671,0,145,No
Challan Printed,0,859,835,0,160,No
Challan Printed,0,943,785,0,152,No
Application Fee Received,0,902,830,0,155,No
Challan Printed,0,521,588,0,102,No
Application Fee Received,0,825,840,0,126,No
Challan Printed,0,727,601,0,132,No
Application Fee Received,0,573,732,0,86,No
Application Fee Received,0,689,623,0,125,No
Application Fee Received,0,833,747,0,159,No
Application Fee Received,0,654,680,0,0,No
Admission Fee Challan Received,0,846,857,1,177,Yes
Application Fee Received,0,801,812,1,160,Yes
Application Fee Received,0,523,639,0,69,No
Application Fee Received,0,831,763,1,147,No
Admission Fee Challan Received,0,810,842,1,170,Yes
Application Fee Received,0,943,785,0,152,No
Application Fee Received,0,826,630,0,149,No
Application Fee Received,0,593,517,0,93,No
Application Fee Received,0,769,721,0,121,No
Application Fee Received,0,808,658,0,125,No
Application Fee Received,0,789,637,0,126,No
Application Fee Received,54,880,882,1,173,Yes
Application Fee Received,0,770,550,0,82,No
Application Fee Received,0,807,759,0,123,No
Application Fee Received,0,780,731,0,117,No
Application Fee Received,0,651,574,0,105,No
Application Fee Received,0,753,606,1,132,No
Application Fee Received,0,620,648,0,129,No
Application Fee Received,0,776,581,0,133,No
Application Fee Received,0,684,731,0,155,No
Application Fee Received,0,805,701,0,104,No
Application Fee Received,0,654,572,0,123,No
Admission Fee Challan Received,0,876,789,1,160,Yes
Application Fee Received,0,929,723,0,162,No
Application Received,0,866,804,0,136,No
Application Fee Received,0,825,798,0,47,No
Application Fee Received,0,704,660,0,151,No
Challan Printed,41,949,820,0,163,No
Challan Printed,0,881,711,0,128,No
Challan Printed,0,661,688,0,139,No
Application Fee Received,66,829,838,0,0,No
Application Fee Received,0,718,596,0,122,No
Challan Printed,33,877,837,0,148,No
Application Fee Received,0,800,524,1,136,No
Application Fee Received,0,594,671,0,114,No
Application Fee Received,0,903,887,0,162,No
Application Fee Received,0,743,687,0,145,No
Admission Fee Challan Received,0,696,879,1,153,Yes
Admission Fee Challan Received,0,809,841,1,109,Yes
Application Fee Received,0,708,645,0,99,No
Application Fee Received,0,716,721,0,134,No
Application Fee Received,0,659,677,0,76,No
Application Fee Received,0,810,929,1,179,Yes
Application Fee Received,0,697,852,0,138,No
Application Fee Received,0,814,681,0,154,No
Application Fee Received,0,889,738,0,144,No
Application Fee Received,0,629,771,0,137,No
Application Fee Received,0,866,963,0,0,No
Admission Fee Challan Received,0,816,903,1,150,Yes
Admission Fee Challan Received,0,864,892,1,158,Yes
Admission Fee Challan Received,0,853,879,1,171,Yes
Application Fee Received,0,751,636,0,136,No
Application Fee Received,0,697,785,1,126,No
Application Fee Received,0,718,722,0,0,No
Application Fee Received,0,705,677,0,125,No
Application Fee Received,0,600,634,0,0,No
Admission Fee Challan Received,0,945,911,1,164,Yes
Application Fee Received,0,594,792,1,99,No
Application Fee Received,0,681,614,0,123,No
Application Fee Received,0,859,640,0,100,No
Application Fee Received,0,823,760,0,122,No
Application Fee Received,0,507,604,0,50,No
Application Fee Received,0,709,730,0,83,No
Application Fee Received,0,666,690,0,101,No
Application Fee Received,0,684,576,0,118,No
Application Fee Received,0,765,493,0,36,No
Application Fee Received,0,667,724,0,0,No
Admission Fee Challan Received,88,868,942,1,159,Yes
Challan Printed,0,914,924,0,179,No
Application Fee Received,43,815,907,1,175,Yes
Application Fee Received,0,653,560,0,101,No
Application Fee Received,0,935,862,0,161,No
Application Fee Received,0,772,688,0,115,No
Application Fee Received,0,808,800,0,139,No
Application Fee Received,0,839,690,0,122,No
Application Fee Received,0,765,474,0,65,No
Application Fee Received,0,657,689,0,106,No
Application Fee Received,0,637,557,0,93,No
Application Fee Received,0,749,686,0,128,No
Challan Printed,0,515,578,0,0,No
Challan Printed,0,798,776,0,148,No
Application Fee Received,0,838,794,0,158,No
Application Fee Received,0,857,770,1,140,No
Application Fee Received,0,840,624,1,124,No
Application Fee Received,0,833,685,0,132,No
Application Fee Received,0,726,737,0,122,No
Application Fee Received,0,840,796,1,133,No
Challan Printed,0,597,660,0,0,No
Application Fee Received,0,778,684,0,145,No
Application Fee Received,0,809,623,0,101,No
Challan Printed,0,799,858,0,148,No
Challan Printed,0,832,597,0,105,No
Application Fee Received,0,697,635,0,130,No
Application Fee Received,0,639,542,0,82,No
Challan Printed,0,673,571,0,89,No
Challan Printed,0,877,949,0,172,No
Application Fee Received,0,632,764,0,124,No
Application Fee Received,0,687,648,0,97,No
Admission Fee Challan Received,0,960,903,1,150,Yes
Application Fee Received,0,786,666,0,150,No
Application Fee Received,0,668,793,0,0,No
Application Fee Received,0,731,654,0,91,No
Application Fee Received,0,638,588,0,143,No
Application Fee Received,0,729,632,0,127,No
Challan Printed,0,681,622,0,0,No
Application Fee Received,0,648,713,0,131,No
Challan Printed,0,502,753,0,89,No
Admission Fee Challan Received,0,940,816,1,146,Yes
Application Fee Received,0,800,809,0,0,No
Challan Printed,0,809,561,0,0,No
Application Fee Received,0,669,563,0,142,No
Application Fee Received,0,781,733,0,152,No
Application Fee Received,0,609,727,0,85,No
Challan Printed,0,843,736,0,146,No
Admission Fee Challan Received,0,857,841,1,157,Yes
Application Fee Received,0,767,752,1,164,No
Challan Printed,0,725,613,0,103,No
Application Fee Received,0,723,581,0,95,No
Application Fee Received,0,676,649,0,131,No
Application Fee Received,0,697,537,0,0,No
Admission Fee Challan Received,0,761,824,1,153,Yes
Application Fee Received,0,769,684,0,132,No
Challan Printed,0,804,825,0,140,No
Application Fee Received,0,736,775,0,128,No
Challan Printed,0,553,448,0,82,No
Application Fee Received,0,681,529,0,71,No
Application Fee Received,0,711,652,0,159,No
Application Fee Received,0,689,711,0,163,No
Application Received,0,637,644,0,76,No
Admission Fee Challan Received,87,941,982,1,185,Yes
Application Fee Received,0,614,751,0,131,No
Application Fee Received,0,608,554,0,73,No
Application Fee Received,53,887,833,1,135,Yes
Application Fee Received,0,502,536,0,84,No
Application Fee Received,0,651,611,0,128,No
Application Fee Received,0,620,892,0,175,No
Application Fee Received,0,874,689,0,124,No
Challan Printed,0,896,880,0,177,No
Application Fee Received,0,711,495,0,97,No
Application Fee Received,0,747,668,0,149,No
Application Fee Received,0,651,599,0,111,No
Application Fee Received,0,691,640,0,91,No
Application Fee Received,0,653,502,0,84,No
Application Fee Received,0,697,672,0,115,No
Application Fee Received,0,714,608,0,81,No
Application Fee Received,57,956,905,0,187,No
Admission Fee Challan Printed,87,961,982,1,189,Yes
Application Fee Received,0,732,682,0,0,No
Application Fee Received,0,661,648,0,111,No
Application Fee Received,0,651,702,0,94,No
Application Fee Received,0,549,522,0,91,No
Application Fee Received,0,721,642,0,114,No
Application Fee Received,0,819,694,0,121,No
Application Fee Received,0,750,660,0,109,No
Application Fee Received,0,723,691,0,0,No
Application Fee Received,0,704,660,0,0,No
Application Fee Received,0,681,529,0,0,No
Application Fee Received,0,935,862,0,0,No
Application Fee Received,0,653,560,0,0,No
Application Fee Received,0,718,596,0,0,No
Challan Printed,0,515,578,0,0,No
Challan Printed,0,0,0,0,,No
Application Fee Received,0,841,771,1,155,No
Application Fee Received,0,751,618,0,133,No
Application Fee Received,0,827,562,0,107,No
Challan Printed,0,519,587,0,61,No
Challan Printed,0,892,898,0,179,No
Application Fee Received,0,907,786,1,155,No
Application Fee Received,0,680,579,0,110,No
Application Fee Received,0,749,695,0,158,No
Challan Printed,0,659,645,0,0,No
Application Fee Received,0,743,625,0,127,No
Application Fee Received,0,871,791,1,156,Yes
Admission Fee Challan Received,0,610,507,1,114,No
Application Fee Received,0,866,760,0,134,No
Application Fee Received,0,722,661,0,110,No
Application Fee Received,0,888,816,0,129,No
Application Fee Received,0,803,661,0,111,No
Application Fee Received,0,806,583,0,111,No
Application Fee Received,0,809,662,0,104,No
Application Fee Received,0,802,727,0,170,No
Application Fee Received,0,784,740,0,120,No
Application Fee Received,0,730,552,0,100,No
Application Fee Received,0,605,497,0,68,No
Application Fee Received,0,813,750,1,158,No
Admission Fee Challan Received,39,669,812,1,147,Yes
Challan Printed,0,706,544,0,105,No
Application Fee Received,0,582,657,0,100,No
Application Fee Received,0,815,719,0,138,No
Application Fee Received,0,743,543,0,0,No
Application Fee Received,19,682,626,0,102,No
Admission Fee Challan Received,0,881,795,1,174,Yes
Application Fee Received,0,650,727,0,164,No
Application Fee Received,0,629,640,0,131,No
Application Fee Received,0,781,612,0,112,No
Application Fee Received,0,532,471,0,86,No
Application Fee Received,0,596,564,0,114,No
Application Fee Received,0,640,597,0,110,No
Application Fee Received,0,552,781,0,102,No
Application Fee Received,0,513,451,0,73,No
Application Fee Received,0,867,754,0,154,No
Application Fee Received,0,690,740,0,91,No
Application Fee Received,0,603,719,0,103,No
