application_status,NTS,ssc_obtained,FA/FSC,Document Verified,Offered
NotComplete,0,637,667,No,No
Complete,59,1050,1100,Yes,Yes
NotComplete,60,916,825,No,No
Complete,59,803,783,No,No
NotComplete,44,813,1050,No,No
Complete,42,745,614,No,No
Complete,0,685,689,Yes,No
NotComplete,60,814,771,No,No
Complete,54,738,726,No,No
Complete,49,811,841,Yes,No
Complete,47,401,638,No,No
NotComplete,50,828,727,No,No
Complete,48,629,583,No,No
NotComplete,46,635,801,No,No
Complete,56,766,654,No,No
NotComplete,60,668,750,No,No
NotComplete,32,692,579,No,No
Complete,59,926,828,No,No
Complete,41,764,645,No,No
Complete,55,799,850,Yes,Yes
Complete,58,751,595,No,No
Complete,51,615,601,No,No
Complete,47,671,601,No,No
Complete,54,766,893,Yes,Yes
Complete,46,920,773,Yes,No
Complete,36,648,743,No,No
Complete,50,687,628,No,No
NotComplete,47,727,601,No,No
NotComplete,50,807,911,No,No
Complete,47,573,732,No,No
Complete,44,713,796,No,No
Complete,50,761,700,No,No
NotComplete,51,853,662,No,No
Complete,38,657,757,No,No
Complete,50,721,735,No,No
Complete,63,831,808,No,No
NotComplete,48,765,767,No,No
NotComplete,60,923,888,No,No
NotComplete,0,0,0,No,No
Complete,58,675,766,No,No
Complete,49,766,491,No,No
Complete,48,573,541,No,No
Complete,50,808,691,No,No
Complete,52,903,796,No,No
Complete,57,756,691,No,No
Complete,46,811,784,No,No
Complete,56,681,829,Yes,No
Complete,44,826,630,No,No
Complete,1,683,562,No,No
Complete,58,787,729,No,No
Complete,48,811,754,No,No
Complete,54,903,813,Yes,No
NotComplete,58,815,809,No,No
Complete,52,694,622,No,No
NotComplete,43,705,615,No,No
Complete,51,835,802,Yes,No
NotComplete,50,770,550,No,No
Complete,45,672,595,No,No
Complete,41,574,747,No,No
Complete,50,762,794,No,No
Complete,49,785,662,No,No
Complete,43,635,599,No,No
NotComplete,52,654,478,No,No
Complete,49,753,606,Yes,No
Complete,60,847,815,Yes,Yes
Complete,56,563,555,No,No
Complete,52,641,727,No,No
Complete,65,628,692,No,No
Complete,52,877,916,No,No
Complete,44,929,723,No,No
Complete,52,815,737,No,No
NotComplete,64,801,780,No,No
Complete,31,825,798,No,No
NotComplete,0,667,640,No,No
Complete,60,663,699,No,No
NotComplete,0,631,651,No,No
Complete,51,881,711,No,No
Complete,63,764,814,Yes,Yes
Complete,59,647,734,No,No
Complete,53,829,727,No,No
Complete,50,804,733,No,No
NotComplete,43,682,693,No,No
Complete,33,745,788,No,No
Complete,60,813,804,Yes,No
Complete,7,551,747,No,No
Complete,53,805,723,No,No
Complete,52,705,686,No,No
Complete,44,702,581,No,No
NotComplete,54,630,707,No,No
Complete,54,866,631,No,No
Complete,50,576,707,No,No
Complete,56,687,703,No,No
NotComplete,50,728,623,No,No
NotComplete,56,756,804,No,No
Complete,60,836,727,No,No
Complete,50,748,620,No,No
Complete,59,706,722,No,No
Complete,52,808,643,No,No
NotComplete,66,885,903,No,No
Complete,36,673,566,No,No
Complete,45,479,533,No,No
NotComplete,42,565,771,No,No
Complete,48,672,807,No,No
Complete,41,591,533,No,No
NotComplete,54,705,677,No,No
Complete,54,600,634,No,No
Complete,55,661,732,No,No
Complete,54,706,635,No,No
Complete,56,782,758,No,No
Complete,40,694,707,No,No
Complete,48,852,820,Yes,No
Complete,50,681,614,No,No
Complete,52,862,682,No,No
Complete,47,666,690,No,No
Complete,53,902,855,No,No
Complete,58,716,605,No,No
NotComplete,48,818,662,No,No
Complete,53,765,765,No,No
Complete,53,532,588,No,No
Complete,51,845,882,Yes,Yes
Complete,48,843,836,No,No
Complete,47,863,761,No,No
Complete,61,840,624,Yes,No
