Application Status,Admission Test,ssc_obtained,Terminal Degree,Document Verified,Offered
NotComplete,0,594,702,0,No
Complete,0,759,633,1,No
Complete,48,866,720,0,No
Complete,52,672,672,0,No
Complete,71,867,966,0,No
Complete,87,932,962,1,No
Complete,40,482,509,0,No
Complete,50,763,818,0,No
Complete,44,677,579,0,No
Complete,52,686,631,0,No
Complete,50,521,588,1,Yes
Complete,47,727,601,0,No
Complete,67,862,903,1,Yes
Complete,43,889,805,1,Yes
Complete,44,741,653,0,No
Complete,54,778,601,0,No
Complete,66,861,922,1,Yes
Complete,53,557,561,1,Yes
Complete,41,779,655,1,Yes
Complete,62,794,674,0,No
Complete,50,724,774,1,Yes
NotComplete,51,769,721,0,No
NotComplete,50,827,826,0,No
Complete,46,723,784,0,No
Complete,56,749,728,1,Yes
Complete,39,812,590,0,No
Complete,58,815,809,1,Yes
Complete,46,853,570,1,No
Complete,52,694,622,1,No
Complete,50,770,550,0,No
Complete,50,825,664,1,Yes
Complete,44,732,587,0,No
Complete,67,651,574,0,No
Complete,52,736,658,0,No
NotComplete,48,650,610,0,No
Complete,45,620,648,1,Yes
Complete,65,832,786,1,Yes
Complete,60,847,815,1,Yes
Complete,35,809,803,0,No
Complete,49,812,740,1,Yes
Complete,42,727,580,0,No
Complete,43,805,739,0,No
Complete,60,812,626,0,No
Complete,53,791,742,1,Yes
Complete,53,876,789,1,Yes
Complete,64,840,836,1,Yes
Complete,42,826,646,1,Yes
Complete,44,929,723,1,Yes
Complete,72,916,975,1,Yes
Complete,51,706,609,1,Yes
NotComplete,51,881,711,0,No
Complete,0,548,671,0,No
NotComplete,57,871,822,0,No
Complete,72,894,973,1,Yes
Complete,62,913,961,1,Yes
Complete,54,630,707,0,No
Complete,60,836,727,1,Yes
Complete,58,635,868,0,No
NotComplete,48,672,807,0,No
Complete,54,910,859,0,No
Complete,52,776,783,1,Yes
NotComplete,51,613,550,0,No
Complete,54,706,635,0,No
NotComplete,57,945,911,0,No
Complete,50,681,614,1,Yes
Complete,42,843,690,0,No
Complete,43,507,604,0,No
Complete,52,862,682,0,No
Complete,47,666,690,1,No
Complete,51,698,560,0,No
Complete,42,547,601,1,Yes
Complete,53,902,855,0,No
Complete,42,772,688,1,Yes
NotComplete,60,916,946,0,No
Complete,48,818,662,0,No
Complete,47,652,483,0,No
Complete,39,578,497,0,No
Complete,40,662,697,1,Yes
Complete,53,907,864,1,Yes
Complete,29,574,547,0,No
Complete,73,924,841,0,No
Complete,55,845,634,0,No
NotComplete,26,724,564,0,No
Complete,55,861,780,1,Yes
NotComplete,57,806,714,0,No
Complete,50,697,677,0,No
Complete,54,744,880,1,Yes
NotComplete,39,686,487,0,No
Complete,50,657,483,0,No
Complete,32,582,545,1,No
Complete,51,809,623,1,Yes
Complete,60,590,734,0,No
Complete,62,706,742,1,Yes
Complete,48,1000,947,1,Yes
Complete,56,816,668,1,Yes
Complete,41,832,597,1,Yes
Complete,46,673,571,0,No
Complete,44,641,557,1,No
Complete,57,850,839,1,Yes
Complete,50,632,764,0,No
Complete,46,758,607,1,Yes
NotComplete,61,786,666,0,No
Complete,52,668,793,0,No
Complete,44,739,811,1,Yes
NotComplete,40,731,654,0,No
Complete,41,672,717,1,Yes
Complete,40,627,519,1,No
NotComplete,51,716,521,0,No
Complete,50,669,643,1,Yes
Complete,53,718,666,1,Yes
Complete,51,860,819,1,Yes
Complete,54,876,804,1,Yes
Complete,45,850,837,1,Yes
Complete,41,733,665,0,No
NotComplete,73,853,933,0,No
Complete,62,856,828,0,No
NotComplete,41,725,613,0,No
Complete,47,689,722,1,Yes
Complete,73,891,935,1,Yes
Complete,61,769,684,1,Yes
Complete,46,914,879,0,No
Complete,44,777,653,1,Yes
Complete,49,818,603,0,No
NotComplete,52,581,516,0,No
Complete,35,721,639,0,No
Complete,64,806,955,1,Yes
Complete,73,977,899,0,No
Complete,40,631,516,0,No
Complete,57,659,644,1,Yes
Complete,55,695,675,1,Yes
Complete,54,974,913,1,Yes
Complete,34,669,626,0,No
Complete,62,920,912,1,Yes
Complete,69,882,945,1,Yes
Complete,52,837,739,1,Yes
Complete,51,527,825,0,No
Complete,40,832,824,0,No
Complete,59,874,689,1,Yes
Complete,61,896,880,1,Yes
Complete,43,534,650,0,No
Complete,48,747,668,1,No
Complete,45,679,664,1,No
Complete,57,759,899,1,Yes
NotComplete,50,697,672,0,No
NotComplete,35,729,648,0,No
Complete,54,836,721,1,Yes
Complete,62,941,922,1,Yes
Complete,56,841,874,1,Yes
Complete,73,676,544,1,Yes
NotComplete,50,549,522,0,No
Complete,52,630,596,0,No
Complete,44,760,577,1,Yes
Complete,49,570,595,1,No
Complete,59,725,868,1,Yes
Complete,49,907,786,1,Yes
Complete,47,735,661,1,Yes
Complete,60,749,695,1,Yes
Complete,62,917,750,0,No
Complete,41,859,772,1,Yes
Complete,57,761,725,1,Yes
Complete,54,612,741,1,Yes
Complete,62,793,753,1,Yes
NotComplete,50,721,733,0,No
Complete,50,734,603,1,Yes
Complete,63,744,707,1,Yes
Complete,42,644,520,0,No
Complete,45,821,755,1,Yes
Complete,51,747,825,1,Yes
NotComplete,50,759,487,0,No
NotComplete,59,802,727,0,No
Complete,45,629,616,1,Yes
NotComplete,76,718,617,0,No
Complete,54,784,740,0,No
Complete,42,730,552,1,No
Complete,68,949,905,1,Yes
Complete,40,625,569,1,Yes
Complete,55,874,846,0,No
Complete,77,771,909,1,Yes
Complete,40,517,603,0,No
NotComplete,47,806,837,0,No
Complete,40,863,646,0,No
Complete,43,581,520,0,No
Complete,42,655,667,1,Yes
Complete,57,738,635,1,Yes
Complete,41,672,772,1,Yes
Complete,44,563,600,0,No
Complete,44,881,684,1,Yes
Complete,52,859,751,1,Yes
Complete,49,830,662,1,Yes
Complete,78,779,926,1,Yes
NotComplete,64,776,648,0,No
NotComplete,33,747,738,0,No
Complete,82,887,974,1,No
Complete,53,763,836,1,Yes
Complete,60,616,537,0,No
Complete,54,748,647,0,No
Complete,44,825,683,0,No
Complete,49,895,687,1,Yes
Complete,57,704,641,1,Yes
Complete,46,646,703,0,No
Complete,50,781,749,0,No
Complete,44,770,648,1,No
Complete,31,680,511,1,No
NotComplete,36,757,660,0,No
Complete,44,883,607,1,Yes
Complete,63,909,957,1,Yes
Complete,48,726,670,1,Yes
Complete,29,643,641,0,No
NotComplete,38,709,683,0,No
Complete,44,725,775,0,No
Complete,51,592,594,0,No
NotComplete,57,873,809,0,No
Complete,42,654,620,1,Yes
NotComplete,54,553,583,0,No
Complete,48,907,807,1,Yes
Complete,49,763,708,1,Yes
Complete,68,885,941,1,Yes
Complete,47,725,723,0,No
Complete,49,844,808,1,Yes
Complete,38,629,723,0,No
Complete,41,748,583,0,No
Complete,42,817,874,1,Yes
Complete,47,732,629,1,Yes
Complete,40,859,669,0,No
Complete,50,664,567,0,No
Complete,47,759,664,0,No
Complete,42,631,552,0,No
Complete,50,641,671,1,Yes
NotComplete,47,819,798,0,No
Complete,43,712,640,1,Yes
NotComplete,48,729,622,0,No
Complete,67,860,836,1,Yes
Complete,37,645,701,0,No
Complete,40,838,754,0,No
Complete,41,683,622,1,Yes
Complete,45,617,583,0,No
Complete,45,749,657,1,No
Complete,48,718,782,1,Yes
Complete,55,835,711,1,Yes
Complete,52,837,816,1,Yes
Complete,41,788,631,0,No
Complete,77,929,849,0,No
Complete,47,737,661,0,No
NotComplete,50,696,612,0,No
Complete,56,696,648,1,Yes
Complete,63,842,781,1,Yes
NotComplete,47,683,574,0,No
Complete,47,846,621,1,Yes
Complete,79,851,890,0,No
Complete,49,733,741,0,No
NotComplete,46,899,817,0,No
Complete,58,979,957,0,No
Complete,49,793,865,1,Yes
Complete,53,930,823,0,No
Complete,48,923,847,0,No
Complete,83,809,538,0,No
Complete,43,848,733,1,Yes
Complete,49,564,547,0,No
Complete,45,674,645,1,Yes
Complete,47,814,802,0,No
