Application Status,Merit Score,Admission Test,Admission Test 2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,63.018,50,0,670,709,No
Application Fee Received,66.745,53,0,802,772,No
Application Fee Received,62.345,47,0,697,728,No
Application Fee Received,62.851,40,0,597,754,No
Application Fee Received,54.764,52,52,670,610,No
Application Fee Received,64.618,50,0,672,756,No
Application Fee Received,69.055,54,0,721,801,No
Application Fee Received,63.545,61,0,714,706,No
Application Fee Received,69.975,54,0,777,818,No
Application Fee Received,51.491,40,0,647,598,No
Application Fee Received,47.891,46,0,672,532,No
Application Fee Received,75.636,68,23,993,853,Yes
Application Fee Received,66.127,55,0,809,758,No
Application Fee Received,53.782,46,0,748,613,No
Application Fee Received,51.491,40,0,594,598,No
Application Fee Received,69.636,62,0,906,787,No
Admission Fee Challan Received,72.055,53,0,832,845,Yes
Application Fee Received,58.927,19,19,813,763,No
Application Fee Received,64.927,41,2,716,780,No
Application Fee Received,67.073,55,0,814,771,No
Application Fee Received,49.055,42,0,612,559,No
Application Fee Received,64.691,54,0,612,741,No
Application Fee Received,62.473,60,0,819,694,No
Application Fee Received,68.873,52,0,715,804,No
Application Fee Received,66.713,70,0,865,765,No
Application Fee Received,61.036,51,0,714,699,No
Application Fee Received,61.782,54,0,743,701,No
Application Fee Received,67.551,55,0,667,782,No
Application Fee Received,55.545,49,0,661,629,No
Application Fee Received,49.309,0,0,646,678,No
Application Fee Received,61.733,50,0,554,711,No
Application Fee Received,63.418,54,0,726,712,No
Application Fee Received,56.044,50,0,705,617,No
Application Fee Received,59.891,50,0,761,686,No
Application Fee Received,66.655,50,0,648,779,No
Application Fee Received,66.909,56,0,921,766,No
Application Fee Received,69.103,54,0,835,806,No
Admission Fee Challan Printed,53.818,44,0,802,619,No
Application Fee Received,62.127,43,0,854,736,No
Application Fee Received,57.418,50,0,675,652,No
Application Fee Received,68.091,55,0,748,765,No
Application Fee Received,70.202,59,0,867,800,No
Application Fee Received,70.145,50,0,645,827,No
Application Fee Received,48.982,12,12,805,640,No
Application Fee Received,76.491,53,0,909,906,Yes
Application Fee Received,64.185,40,0,834,777,No
Application Fee Received,63.091,46,0,645,741,No
Application Fee Received,57.364,57,0,865,612,No
Application Fee Received,61.868,4,4,850,819,No
Application Fee Received,51.6,50,0,708,577,No
Application Fee Received,29.536,13,13,800,374,No
Application Fee Received,52.491,49,0,629,587,No
Application Fee Received,61.109,47,0,721,711,No
Application Fee Received,72.327,50,0,725,867,Yes
Application Fee Received,57.873,45,0,518,672,No
Admission Fee Challan Received,71.6,50,0,783,847,Yes
