Application Status,Merit Score,Admission Test,ssc_obtained,Terminal Degree,Offered
Application Fee Received,49.382,40,600,569,No
Application Fee Received,55.036,53,732,611,No
Admission Fee Challan Received,66.109,44,811,788,Yes
Application Fee Received,57.964,48,531,665,No
Application Fee Received,63.018,50,670,709,No
Application Fee Received,58.182,48,747,668,No
Application Fee Received,62.851,40,597,754,No
Application Fee Received,63.764,57,724,720,No
Application Fee Received,54.764,52,670,610,No
Application Fee Received,64.691,50,720,757,No
Application Fee Received,63.545,61,714,706,No
Admission Fee Challan Received,51.491,40,647,598,No
Application Fee Received,47.891,46,672,532,No
Application Fee Received,47.164,50,679,511,No
Admission Fee Challan Received,66.127,55,809,758,Yes
Admission Fee Challan Received,53.782,46,748,613,No
Application Fee Received,51.491,40,594,598,No
Application Fee Received,64.145,52,840,739,No
Application Fee Received,64.691,54,612,741,No
Application Fee Received,62.473,60,819,694,No
Application Fee Received,60.982,58,650,679,No
Admission Fee Challan Received,69.836,51,738,820,Yes
Application Fee Received,55.236,46,735,633,No
Application Fee Received,63.262,44,526,763,No
Application Fee Received,62.4,40,650,748,No
Application Fee Received,43.491,0,644,608,No
Application Fee Received,64.473,34,662,793,No
Application Fee Received,72.6,67,895,814,Yes
Application Fee Received,57.455,44,642,674,No
Application Fee Received,62.127,43,854,736,No
Application Fee Received,68.091,55,748,765,Yes
Application Fee Received,54.77,40,565,648,No
Application Fee Received,63.582,55,806,723,No
Admission Fee Challan Received,70.202,59,867,800,Yes
Admission Fee Challan Received,70.145,50,645,827,Yes
Application Fee Received,58.345,47,697,673,No
Application Fee Received,61.945,57,731,695,No
Application Fee Received,53.2,46,798,605,No
Application Fee Received,63.618,53,826,729,No
Application Fee Received,63.091,46,645,741,No
Application Fee Received,62.145,46,694,728,No
Application Fee Received,49.309,48,650,551,No
Application Fee Received,51.6,50,708,577,No
Application Fee Received,52.491,49,629,587,No
Application Fee Received,61.109,47,721,711,No
Application Fee Received,46.909,40,641,535,No
Application Fee Received,58.236,41,696,688,No
