Application Status,Merit Score,Admission Test,Admission Test 2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,828,72,0,843,756,No
Application Fee Received,1052.636,73,73,960,989,Yes
Application Fee Received,852,51,0,765,801,No
Application Fee Received,971,52,0,862,919,No
Application Fee Received,996,71,0,722,925,No
Application Fee Received,943,54,0,731,889,No
Application Fee Received,827,57,0,841,770,No
Application Fee Received,927,50,50,945,877,No
Application Fee Received,931,45,0,780,886,No
Application Fee Received,974,65,0,946,909,No
Application Fee Received,1018,59,0,970,959,No
Application Fee Received,929,51,0,883,878,No
Application Fee Received,799,54,0,805,755,No
Application Fee Received,926,55,0,748,871,No
Application Fee Received,865,51,0,702,819,No
Application Fee Received,906,62,0,868,844,No
Application Fee Received,857,44,0,719,813,No
Application Fee Received,948,1,0,909,848,No
Application Fee Received,856,52,0,866,804,No
Application Fee Received,701.444,40,0,712,657,No
Application Fee Received,982,50,0,896,932,No
Application Fee Received,961,65,0,879,896,No
Application Fee Received,828,0,0,865,808,No
Application Fee Received,1025.273,77,77,816,948,No
Application Fee Received,949,46,0,929,903,No
Application Fee Received,935,42,0,902,893,No
Application Fee Received,859,60,0,813,804,No
Application Fee Received,940,29,29,930,911,No
Application Fee Received,875,63,0,801,812,No
Application Fee Received,978,64,0,908,919,No
Application Fee Received,1001,57,0,871,929,No
Application Fee Received,1068.818,73,73,998,980,Yes
Application Fee Received,1021,63,63,803,921,No
Application Fee Received,983,55,0,946,928,No
Application Fee Received,971,0,0,925,971,No
Application Fee Received,58,57,0,912,1,No
Application Fee Received,734,46,0,594,688,No
Admission Fee Challan Received,1027,74,0,966,953,Yes
Application Fee Received,936,54,0,840,887,No
Application Fee Received,1039,82,0,982,962,Yes
Application Fee Received,795.077,47,0,807,753,No
Application Fee Received,864,59,0,800,805,No
Application Fee Received,848,53,0,855,795,No
Application Fee Received,662,57,0,790,605,No
Application Fee Received,912.455,60,60,844,857,No
Application Fee Received,971.455,66,66,802,910,No
Application Fee Received,805,54,0,822,751,No
Application Fee Received,754,44,0,698,754,No
Application Fee Received,855,48,0,873,807,No
Application Fee Received,982.889,80,0,852,894,No
Admission Fee Challan Received,1032,48,0,837,984,Yes
Application Fee Received,860,56,0,756,804,No
Application Fee Received,984,47,0,895,890,No
Application Fee Received,863,0,0,697,863,No
Admission Fee Challan Printed,1072,51,0,937,1001,Yes
Application Fee Received,973,56,0,979,917,No
Application Fee Received,971.556,50,0,928,916,No
Application Fee Received,794.808,70,0,865,765,No
Application Fee Received,1040.545,79,79,937,961,Yes
Application Fee Received,1014.545,54,54,869,960,No
Application Fee Received,970,55,0,964,915,No
Application Fee Received,969,67,0,866,902,No
Admission Fee Challan Received,1033,61,0,893,972,Yes
Application Fee Received,1002,60,0,953,957,No
Application Fee Received,926,0,0,899,926,No
Application Fee Received,1004,50,0,843,954,No
Application Fee Received,1019.727,72,72,883,947,No
Application Fee Received,927,0,0,891,927,No
Application Fee Received,954,56,0,832,903,No
Application Fee Received,915.111,92,0,862,844,No
Application Fee Received,1018,57,0,891,961,No
Application Fee Received,807,47,0,886,740,No
Application Fee Received,722,0,0,776,722,No
Application Fee Received,948.909,50,50,964,898,No
Application Fee Received,1009.727,72,72,918,942,No
Application Fee Received,934,0,0,956,934,No
Application Fee Received,979.364,73,73,874,911,No
Application Fee Received,970,60,0,861,910,No
Application Fee Received,959,68,0,807,891,No
Application Fee Received,1009.111,64,0,947,948,No
Application Fee Received,976,42,0,849,934,No
Application Fee Received,881,67,0,895,814,No
Application Fee Received,925,54,0,700,871,No
Application Fee Received,1054,61,0,978,993,Yes
Application Fee Received,1016,40,0,847,976,Yes
Application Fee Received,939,60,0,873,879,No
Application Fee Received,838,53,0,823,785,No
Admission Fee Challan Received,0,49,0,692,723,No
Application Fee Received,898,56,0,860,842,No
Application Fee Received,911,70,0,885,841,No
Application Fee Received,901.5,17,17,940,884,No
Application Fee Received,889,56,0,791,813,No
Application Fee Received,924.333,48,38,896,871,No
Application Fee Received,998,57,0,973,946,No
Application Fee Received,734.727,25,25,910,709,No
Application Fee Received,859,0,0,799,859,No
Application Fee Received,1020,64,0,887,956,No
Application Fee Received,748,52,0,853,696,No
Application Fee Received,919,40,0,853,879,No
Application Fee Received,1039,82,0,982,962,Yes
Admission Fee Challan Received,1076,87,0,938,989,Yes
Admission Fee Challan Received,1027,74,0,966,953,Yes
Application Fee Received,854,50,50,794,804,No
Application Fee Received,925,62,0,919,863,No
Application Fee Received,1003,58,0,993,945,No
Application Fee Received,853.739,51,0,760,753,No
Application Fee Received,1011.35,73,73,919,943,No
Application Fee Received,936,59,0,858,882,No
Application Fee Received,886,0,0,711,886,No
Application Fee Received,925.111,55,0,945,864,No
Application Fee Received,1085,78,0,938,985,Yes
Application Fee Received,1043,61,0,930,982,Yes
Application Fee Received,1022.727,66,66,957,961,Yes
Application Fee Received,969,56,0,945,893,No
Application Fee Received,990,53,0,882,937,No
Application Fee Received,882,54,0,829,828,No
Application Fee Received,894,0,0,865,894,No
Application Fee Received,943,53,0,926,890,No
Application Fee Received,787.667,51,0,678,731,No
Application Fee Received,992,62,0,909,930,No
Application Fee Received,1082,70,0,954,1012,Yes
Application Fee Received,933,43,0,905,890,No
Application Fee Received,948,59,0,731,889,No
Application Fee Received,1092.444,58,0,883,1028,Yes
Application Fee Received,894,59,0,872,840,No
Application Fee Received,795.077,47,0,807,753,No
Application Fee Received,1053.455,75,75,845,983,Yes
Application Fee Received,912.455,60,60,844,857,No
Application Fee Received,897,52,0,709,850,No
Application Fee Received,993,0,0,815,993,Yes
Application Fee Received,857,46,0,840,811,No
Application Fee Received,957,63,0,956,962,No
Application Fee Received,980.909,54,54,977,926,No
Application Fee Received,1026,91,0,832,935,No
Application Fee Received,669.778,43,0,736,622,No
Application Fee Received,922,42,0,927,880,No
Application Fee Received,842,49,0,826,793,No
Application Fee Received,911,55,0,827,856,No
Application Fee Received,993,52,0,885,941,No
Application Fee Received,885,1,0,880,885,No
Application Fee Received,930,50,0,771,880,No
Application Fee Received,958,55,0,879,903,No
Application Fee Received,767,47,0,836,720,No
Application Fee Received,902,64,0,893,838,No
Application Fee Received,875,50,0,877,825,No
Application Fee Received,985,55,0,890,930,No
Application Fee Received,921,57,0,914,864,No
Application Fee Received,967,52,52,895,915,No
Application Fee Received,974,49,27,931,925,No
Application Fee Received,958,61,0,876,907,No
Application Fee Received,734,54,0,744,680,No
Application Fee Received,867,57,0,840,810,No
Application Fee Received,849,52,0,779,802,No
Application Fee Received,812,54,0,730,758,No
Application Fee Received,848,53,0,855,795,No
Application Fee Received,929,51,0,919,878,No
Application Fee Received,872,51,0,714,821,No
Application Fee Received,972.364,76,76,683,896,No
Application Fee Received,967,50,0,852,917,No
Application Fee Received,712,0,0,741,712,No
Application Fee Received,738,55,0,745,683,No
Application Fee Received,839,52,0,840,767,No
Application Fee Received,984,55,0,910,929,No
Application Fee Received,1045,57,0,755,988,Yes
Application Fee Received,999,51,0,955,948,No
Application Fee Received,914,50,0,892,869,No
Application Fee Received,864,59,0,800,805,No
Application Fee Received,1005,58,0,920,947,No
Application Fee Received,1028,64,64,953,969,Yes
Application Fee Received,969,54,0,897,915,No
Application Fee Received,894,66,0,964,838,No
Application Fee Received,803,50,0,857,753,No
Application Fee Received,919.455,42,42,831,877,No
Application Fee Received,825,45,0,846,780,No
Application Fee Received,868,46,0,652,822,No
Application Fee Received,971,62,0,807,909,No
Application Fee Received,991,52,0,898,939,No
Application Fee Received,786,52,0,837,739,No
Application Fee Received,1015,49,0,934,966,No
Application Fee Received,951,62,0,881,889,No
Application Fee Received,697,52,0,778,645,No
Application Fee Received,957,52,0,808,905,No
Application Fee Received,732,48,0,771,664,No
Application Fee Received,924,56,0,765,873,No
Application Fee Received,902,52,0,740,850,No
Application Fee Received,822,47,0,727,775,No
Application Fee Received,839.091,41,41,793,798,No
Application Fee Received,862,48,0,821,814,No
Application Fee Received,1066,71,0,848,995,Yes
Application Fee Received,983.727,72,72,958,911,No
Application Fee Received,854,51,0,829,803,No
Application Fee Received,734,46,0,594,688,No
Application Fee Received,968,55,0,871,913,No
Application Fee Received,1010,52,0,857,958,No
Application Fee Received,920,63,31,914,857,No
Application Fee Received,796,54,0,709,742,No
Application Fee Received,886,52,0,880,834,No
Application Fee Received,949,55,0,770,894,No
Application Fee Received,785,18,18,843,767,No
Application Fee Received,917,51,0,748,871,No
Application Fee Received,937,42,40,860,895,No
Application Fee Received,1012.818,50,50,928,962,No
Application Fee Received,842,53,0,876,789,No
Application Fee Received,820,53,0,771,772,No
Application Fee Received,840,54,0,839,786,No
Application Fee Received,749,52,0,697,697,No
Application Fee Received,922,56,0,911,866,No
Application Fee Received,997,58,0,798,939,No
Application Fee Received,991,42,0,877,949,No
Application Fee Received,791,40,0,760,756,No
Application Fee Received,849,52,0,779,802,No
Application Fee Received,812,54,0,730,758,No
Application Fee Received,1011.35,73,73,919,943,No
Application Fee Received,936,59,0,858,882,No
Application Fee Received,871,0,0,657,871,No
Application Fee Received,751,0,0,923,751,No
Application Fee Received,868,50,0,759,818,No
Application Fee Received,799,48,0,684,751,No
Application Fee Received,922.636,43,43,847,879,No
Application Fee Received,1015,56,0,955,959,No
Application Fee Received,940.545,54,54,916,886,No
Application Fee Received,774.889,62,0,820,706,No
Application Fee Received,917.364,62,62,829,855,No
Application Fee Received,921,0,0,793,921,No
Application Fee Received,936,54,0,840,887,No
Application Fee Received,960,47,0,974,913,No
Admission Fee Challan Received,1047.778,70,0,982,975,Yes
Application Fee Received,859.364,46,46,849,813,No
Application Fee Received,785,54,0,815,711,No
Application Fee Received,997,54,0,859,948,No
Application Fee Received,926,53,0,846,888,No
Application Fee Received,1035,60,0,947,980,Yes
Application Fee Received,922,54,0,836,868,No
Application Fee Received,861,55,0,813,806,No
Application Fee Received,846,56,0,797,790,No
Application Fee Received,958.778,104,0,891,901,No
Application Fee Received,970,60,0,916,910,No
Application Fee Received,977,53,0,841,924,No
Admission Fee Challan Received,1038,59,0,960,979,Yes
Application Fee Received,981,0,0,866,981,No
Application Fee Received,859,54,0,799,805,No
Application Fee Received,662,57,0,790,605,No
Application Fee Received,975,56,0,818,919,No
Application Fee Received,828,38,0,728,790,No
Application Fee Received,883,63,0,853,820,No
Application Fee Received,921,54,0,784,867,No
Application Fee Received,933,1,0,936,933,No
Application Fee Received,801,54,0,785,747,No
Application Fee Received,838,60,0,776,783,No
Application Fee Received,977,46,0,961,931,No
Application Fee Received,1033,69,0,893,969,Yes
Application Fee Received,938.909,60,60,884,878,No
Application Fee Received,993,69,46,833,924,No
Application Fee Received,778,0,0,917,778,No
Application Fee Received,881,47,0,825,834,No
Application Fee Received,1043,62,0,911,986,Yes
Application Fee Received,778,0,0,917,778,No
Application Fee Received,765,0,0,649,745,No
Application Fee Received,1005.36,55,0,951,950,No
Application Fee Received,880,46,0,756,834,No
Application Fee Received,1013.545,72,72,911,951,No
Application Fee Received,971.455,66,66,802,910,No
Application Fee Received,837,45,0,675,777,No
Application Fee Received,835,55,0,894,785,No
Application Fee Received,745,49,0,827,696,No
Application Fee Received,968,67,0,926,906,No
Application Fee Received,883,55,0,760,833,No
Application Fee Received,954.444,58,0,942,890,No
Application Fee Received,914.25,23,23,950,891,No
Application Fee Received,788,0,0,717,788,No
