Application Status,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Offered
Complete,501,538,57,154,77,No
Complete,738,685,114,0,0,No
Complete,899,789,145,138,103,No
Complete,785,773,133,129,153,No
Complete,806,856,132,139,171,Yes
Complete,975,913,187,169,148,Yes
Complete,980,958,163,172,167,Yes
Complete,960,979,193,171,167,Yes
Complete,785,773,133,129,153,No
Complete,806,856,132,139,171,Yes
Complete,689,740,86,124,152,No
Complete,794,649,134,80,0,No
Complete,648,578,113,116,0,No
Complete,916,836,149,155,126,No
Complete,792,584,137,121,91,No
Complete,866,681,132,131,111,No
Complete,820,740,128,121,134,No
Complete,826,575,133,142,83,No
Complete,625,726,135,157,111,Yes
Complete,731,970,174,146,181,Yes
Complete,537,812,112,171,175,No
Complete,718,542,90,117,61,No
Complete,741,612,154,109,105,No
Complete,597,591,147,74,83,No
Complete,864,868,161,136,157,Yes
Complete,500,550,84,100,69,No
Complete,814,729,134,122,135,No
Complete,734,599,105,92,84,No
Complete,700,783,112,111,153,No
Complete,689,711,163,99,153,No
Complete,614,524,123,70,75,No
Complete,765,653,0,0,0,No
Complete,798,813,144,43,143,Yes
Complete,674,547,0,0,0,No
Complete,681,614,120,123,112,No
Complete,745,608,113,152,115,No
Complete,637,589,108,134,106,No
Complete,795,849,154,145,152,Yes
Complete,833,506,68,130,101,No
Complete,748,754,150,132,121,No
Complete,594,595,136,0,0,No
Complete,929,723,162,106,127,No
Complete,638,570,121,0,0,No
Complete,695,682,135,118,123,No
Complete,542,619,119,140,76,No
Complete,802,807,153,0,0,No
Complete,675,674,107,115,40,No
Complete,659,611,140,0,0,No
Complete,839,748,101,136,144,No
Complete,873,766,0,0,0,No
Complete,734,557,0,0,0,No
Complete,802,848,153,152,171,Yes
Complete,771,780,133,40,132,Yes
Complete,620,648,139,129,102,No
Complete,786,666,134,29,123,No
Complete,604,555,96,77,99,No
Complete,731,802,158,156,121,Yes
Complete,646,529,122,72,84,No
Complete,651,583,128,124,94,No
Complete,660,809,120,113,181,No
Complete,754,803,138,44,144,No
Complete,895,892,185,138,0,No
Complete,749,577,133,128,70,No
Complete,821,661,129,132,98,No
Complete,654,569,110,94,93,No
Complete,638,531,125,99,72,No
Complete,821,790,133,120,128,Yes
Complete,798,728,132,0,0,No
Complete,799,699,105,109,111,No
Complete,729,590,127,98,90,No
Complete,628,563,110,133,71,No
Complete,874,689,115,105,117,No
Complete,771,760,109,136,145,No
Complete,760,733,131,117,130,No
Complete,734,677,107,94,141,No
Complete,572,539,73,108,104,No
Complete,822,800,131,123,147,No
Complete,571,641,78,34,0,No
Complete,824,795,155,145,111,No
Complete,856,738,145,33,119,No
Complete,813,907,157,154,165,Yes
Complete,740,691,133,42,108,No
Complete,809,841,137,109,45,Yes
Complete,834,658,136,119,135,No
Complete,796,756,0,0,0,No
Complete,658,646,81,102,108,No
Complete,824,531,130,90,69,No
Complete,706,780,158,135,131,No
Complete,690,639,114,122,102,No
Complete,906,687,119,140,148,No
Complete,749,732,0,0,0,No
Complete,729,763,131,157,146,No
Complete,756,628,0,0,0,No
Complete,709,553,152,89,27,No
Complete,695,750,130,0,0,No
Complete,765,653,0,0,0,No
Complete,798,813,144,43,143,Yes
Complete,781,733,134,152,140,No
Complete,659,677,76,126,126,No
Complete,892,872,153,181,136,Yes
Complete,598,622,91,130,0,No
Complete,687,692,0,0,0,No
Complete,760,654,119,122,97,No
Complete,562,642,103,83,114,No
Complete,636,653,84,116,151,No
Complete,589,475,73,76,73,No
Complete,679,759,154,31,110,No
Complete,913,882,153,159,146,Yes
Complete,568,576,0,0,0,No
Complete,790,874,161,143,0,No
Complete,887,875,159,155,152,Yes
Complete,825,699,148,120,98,No
Complete,856,793,126,142,160,No
Complete,785,640,94,88,127,No
Complete,820,825,0,0,0,No
Complete,686,623,100,43,101,No
