Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Complete,57,868,712,166,No
Complete,50,676,690,0,No
Complete,58,787,729,120,No
Complete,52,844,812,149,No
Complete,55,720,785,178,No
Complete,54,875,701,44,No
Complete,61,648,578,0,No
Complete,50,636,642,44,No
Complete,54,862,620,0,No
Complete,50,652,799,0,No
Complete,46,632,811,150,No
Complete,54,694,811,175,No
Complete,63,801,921,159,Yes
Complete,42,744,593,99,No
Complete,57,625,726,104,No
Complete,71,763,793,0,No
Complete,42,640,560,125,No
Complete,56,775,942,185,Yes
Complete,65,726,812,179,No
Complete,62,667,725,139,No
Complete,40,654,565,32,No
Complete,39,718,542,104,No
Complete,52,903,826,0,No
Complete,52,708,631,98,No
Complete,57,604,658,0,No
Complete,50,564,899,161,Yes
Complete,58,619,634,109,No
Complete,59,776,782,44,No
Complete,52,537,703,131,No
Complete,51,716,521,0,No
Complete,65,839,739,127,No
Complete,52,613,555,0,No
Complete,53,777,805,37,No
Complete,46,631,532,0,No
Complete,54,864,868,164,Yes
Complete,54,814,729,48,No
Complete,54,559,677,125,No
Complete,0,793,793,0,No
Complete,60,937,794,139,No
Complete,50,648,644,0,No
Complete,49,915,800,0,No
Complete,52,564,883,181,Yes
Complete,53,766,804,150,No
Complete,75,777,896,0,Yes
Complete,49,539,683,54,No
Complete,57,808,774,147,No
Complete,50,760,626,73,No
Complete,57,677,716,65,No
Complete,67,818,907,169,Yes
Complete,41,745,608,40,No
Complete,0,766,893,85,No
Complete,47,819,779,160,No
Complete,0,897,757,141,No
Complete,70,875,921,167,Yes
Complete,56,740,795,163,No
Complete,48,797,780,117,No
Complete,45,761,560,0,No
Complete,50,538,763,123,No
Complete,54,748,649,0,No
Complete,40,546,604,158,No
Complete,58,821,672,58,No
Complete,53,720,607,118,No
Complete,58,896,698,40,No
Complete,40,613,619,0,No
Complete,50,603,516,41,No
Complete,42,538,751,46,No
Complete,39,629,585,0,No
Complete,52,857,835,75,No
Complete,52,722,658,103,No
Complete,50,780,757,0,No
Complete,63,866,720,100,No
Complete,47,670,685,164,No
Complete,47,847,903,143,Yes
Complete,50,573,616,75,No
Complete,49,637,748,0,No
Complete,57,677,716,65,No
Complete,67,818,907,169,Yes
Complete,58,753,705,101,No
Complete,50,684,622,124,No
Complete,53,779,724,0,No
Complete,49,714,769,130,No
Complete,76,872,907,0,Yes
Complete,40,694,707,158,No
Complete,56,802,807,0,No
Complete,58,635,713,150,No
Complete,21,768,801,149,No
Complete,46,663,754,140,No
Complete,52,567,598,103,No
Complete,52,754,679,0,No
Complete,48,708,814,177,No
Complete,42,606,741,129,No
Complete,52,532,390,0,No
Complete,50,787,659,0,No
Complete,48,765,767,156,No
Complete,52,650,660,0,No
Complete,62,840,868,141,Yes
Complete,51,675,583,66,No
Complete,60,875,902,43,Yes
Complete,59,766,701,40,No
Complete,59,737,627,109,No
Complete,50,735,780,184,No
Complete,44,604,555,87,No
