Application Status,Admission Test,SSC,Terminal Degree,Offered
Complete,53,711,610,No
Complete,60,794,649,No
Complete,61,648,578,No
Complete,50,866,774,No
Complete,57,625,726,No
Complete,62,667,725,No
Complete,55,577,621,No
Complete,47,818,571,No
Complete,0,915,665,No
Complete,46,625,513,No
Complete,57,604,658,No
Complete,25,869,878,Yes
Complete,51,716,521,No
Complete,0,545,699,No
Complete,50,687,678,No
Complete,54,559,677,No
Complete,60,937,794,No
Complete,50,589,799,Yes
Complete,44,706,764,No
Complete,52,750,739,No
Complete,0,897,757,No
Complete,54,756,720,No
Complete,48,797,780,No
Complete,45,761,560,No
Complete,21,898,726,No
Complete,21,805,754,No
Complete,47,647,742,No
Complete,58,716,605,No
Complete,52,716,700,No
Complete,58,896,698,No
Complete,50,631,554,No
Complete,50,603,516,No
Complete,50,647,554,No
Complete,0,882,871,No
Complete,48,843,645,No
Complete,40,738,299,No
Complete,50,684,622,No
Complete,42,466,511,No
Complete,53,779,724,No
Complete,45,530,619,No
Complete,66,697,768,Yes
Complete,46,891,884,Yes
Complete,48,839,748,No
Complete,57,696,627,No
Complete,52,567,598,No
Complete,42,606,741,No
Complete,52,532,390,No
Complete,46,847,715,No
Complete,44,682,525,No
Complete,51,675,583,No
Complete,57,794,755,No
Complete,61,918,989,Yes
Complete,52,620,574,No
Complete,59,737,627,No
Complete,50,666,531,No
Complete,50,673,810,Yes
Complete,46,751,650,No
Complete,53,736,660,No
Complete,76,718,617,No
Complete,48,600,603,No
Complete,49,778,600,No
Complete,43,536,604,No
Complete,58,716,605,No
Complete,52,716,700,No
Complete,45,805,643,No
Complete,53,562,542,No
Complete,65,628,563,No
Complete,47,775,735,No
Complete,43,595,608,No
Complete,50,673,810,Yes
Complete,46,751,650,No
Complete,48,819,703,No
Complete,57,534,600,No
Complete,53,861,797,Yes
Complete,51,872,627,No
Complete,59,882,847,Yes
Complete,50,822,800,Yes
Complete,47,525,737,No
Complete,48,584,580,No
Complete,35,468,672,No
Complete,0,783,687,No
Complete,62,740,691,No
Complete,48,548,587,No
Complete,48,834,817,Yes
Complete,56,896,704,No
Complete,62,788,774,No
Complete,54,716,693,No
Complete,22,873,809,No
Complete,49,537,668,No
Complete,48,524,600,No
Complete,50,658,646,No
Complete,55,743,793,Yes
Complete,56,747,768,Yes
Complete,52,690,639,No
Complete,50,564,639,No
Complete,58,714,702,No
