Application Status,Admission Test,SCC,Terminal Degree,Offered
Complete,56,843,895,No
Complete,0,882,943,No
Complete,41,927,962,No
Complete,56,990,936,No
Complete,48,1000,947,No
Complete,51,806,856,No
Complete,74,969,971,Yes
Complete,42,852,1,No
Complete,50,861,796,No
Complete,60,726,701,No
Complete,65,916,836,No
Complete,55,840,879,No
Complete,70,977,974,Yes
Complete,59,840,945,No
Complete,56,804,884,No
Complete,44,854,719,No
Complete,55,798,789,No
Complete,94,883,872,No
Complete,9,576,710,No
Complete,46,950,990,Yes
Complete,67,971,991,Yes
Complete,64,962,928,No
Complete,55,710,852,No
Complete,58,718,697,No
Complete,54,827,788,No
Complete,65,861,886,No
Complete,73,937,958,Yes
Complete,54,864,868,No
Complete,0,973,976,No
Complete,35,908,943,No
Complete,47,922,914,No
Complete,27,808,783,No
Complete,29,766,871,No
Complete,45,773,870,No
Complete,0,758,851,No
Complete,52,899,786,No
Complete,35,941,926,No
Complete,65,967,972,Yes
Complete,85,937,920,No
Complete,60,647,790,No
Complete,56,901,904,No
Complete,59,848,890,No
Complete,42,681,909,No
Complete,63,887,931,No
Complete,45,883,968,No
Complete,50,797,831,No
Complete,0,890,971,No
Complete,57,872,848,No
Complete,55,827,798,No
Complete,53,915,683,No
Complete,53,798,1,No
Complete,40,880,893,No
Complete,57,858,835,No
Complete,61,951,963,No
Complete,58,921,744,No
Complete,51,857,832,No
Complete,66,964,936,No
Complete,62,706,742,No
Complete,78,963,972,Yes
Complete,58,859,895,No
Complete,50,857,869,No
Complete,67,1026,1007,Yes
Complete,58,775,858,No
Complete,60,963,991,Yes
Complete,61,924,872,No
Complete,44,867,821,No
Complete,67,818,866,No
Complete,44,804,752,No
Complete,61,786,666,No
Complete,48,788,851,No
Complete,47,920,912,No
Complete,59,636,816,No
Complete,59,751,746,No
Complete,0,677,827,No
Complete,31,905,811,No
Complete,63,824,909,No
Complete,51,867,783,No
Complete,0,918,876,No
Complete,47,878,799,No
Complete,56,823,801,No
Complete,50,921,863,No
Complete,58,813,747,No
Complete,52,716,700,No
Complete,44,951,969,No
Complete,0,891,870,No
Complete,57,934,950,No
Complete,27,777,800,No
Complete,52,709,790,No
Complete,62,899,893,No
Complete,52,931,913,No
Complete,71,1008,1015,Yes
Complete,75,829,887,No
Complete,75,844,816,No
Complete,53,777,864,No
Complete,62,1010,914,No
Complete,50,969,896,No
Complete,56,963,931,No
Complete,52,805,752,No
Complete,46,877,837,No
Complete,50,781,749,No
Complete,54,810,844,No
Complete,64,946,774,No
Complete,70,759,766,No
Complete,56,817,903,No
Complete,60,844,886,No
Complete,50,904,817,No
Complete,50,895,889,No
Complete,63,795,943,No
Complete,50,806,745,No
Complete,62,967,954,No
Complete,65,905,891,No
Complete,62,957,964,No
Complete,45,791,743,No
Complete,0,861,819,No
Complete,0,903,899,No
Complete,55,764,792,No
Complete,0,876,801,No
Complete,52,617,758,No
Complete,64,839,863,No
Complete,0,886,823,No
Complete,109,942,925,No
Complete,68,912,970,Yes
Complete,49,908,927,No
Complete,59,892,864,No
Complete,69,813,907,No
Complete,0,819,956,No
Complete,40,859,669,No
Complete,42,840,933,No
Complete,70,956,986,Yes
Complete,37,814,802,No
Complete,82,972,947,No
Complete,51,888,800,No
Complete,82,804,929,No
Complete,68,980,890,No
Complete,55,900,978,Yes
Complete,54,810,635,No
Complete,0,796,756,No
Complete,52,921,888,No
Complete,22,873,809,No
Complete,43,850,895,No
Complete,56,926,900,No
Complete,0,804,744,No
Complete,42,714,673,No
Complete,50,912,908,No
Complete,58,846,867,No
Complete,57,903,906,No
Complete,57,875,741,No
Complete,46,906,687,No
Complete,73,930,940,No
Complete,68,898,908,No
Complete,51,689,755,No
Complete,51,936,872,No
Complete,1,917,817,No
Complete,64,789,875,No
Complete,54,910,874,No
Complete,47,688,703,No
Complete,52,874,863,No
Complete,0,862,871,No
Complete,53,909,800,No
Complete,48,923,854,No
Complete,55,801,885,No
Complete,78,930,983,Yes
Complete,67,978,980,No
Complete,52,772,855,No
Complete,0,903,928,No
Complete,53,703,623,No
Complete,57,794,862,No
Complete,57,914,956,No
Complete,58,924,972,Yes
Complete,42,836,838,No
Complete,59,808,758,No
Complete,32,808,850,No
Complete,73,860,875,No
Complete,55,867,900,No
Complete,61,752,832,No
Complete,80,950,929,No
Complete,58,844,853,No
Complete,72,876,904,No
Complete,63,913,882,No
Complete,65,887,875,No
Complete,77,886,885,No
Complete,66,956,957,No
Complete,53,919,774,No
Complete,58,864,959,No
Complete,52,789,827,No
Complete,65,872,992,Yes
Complete,58,950,928,No
Complete,50,729,754,No
Complete,49,824,853,No
Complete,55,777,753,No
Complete,65,861,865,No
Complete,72,870,945,No
Complete,50,604,744,No
Complete,70,806,953,No
Complete,31,904,841,No
Complete,71,880,887,No
Complete,71,914,978,Yes
Complete,52,850,760,No
Complete,58,921,909,No
