Application Status,SSC,Terminal Degree,Offered
Complete,868,712,No
Complete,829,828,No
Complete,899,769,No
Complete,967,890,No
Complete,971,784,No
Complete,756,734,No
Complete,827,888,No
Complete,901,838,No
Complete,866,681,No
Complete,850,765,No
Complete,856,765,No
Complete,738,839,No
Complete,854,719,No
Complete,899,759,No
Complete,960,845,No
Complete,708,631,No
Complete,882,709,No
Complete,715,876,No
Complete,613,555,No
Complete,718,697,No
Complete,829,881,No
Complete,827,788,No
Complete,952,904,No
Complete,889,694,No
Complete,734,599,No
Complete,798,690,No
Complete,774,876,No
Complete,915,828,No
Complete,711,669,No
Complete,891,891,Yes
Complete,738,834,No
Complete,928,699,No
Complete,806,793,No
Complete,859,686,No
Complete,862,863,No
Complete,856,702,No
Complete,740,795,No
Complete,681,909,Yes
Complete,671,506,No
Complete,821,672,No
Complete,773,788,No
Complete,764,799,No
Complete,934,830,No
Complete,845,910,Yes
Complete,876,710,No
Complete,836,813,No
Complete,753,882,No
Complete,810,649,No
Complete,882,871,No
Complete,689,689,No
Complete,798,718,No
Complete,795,792,No
Complete,566,686,No
Complete,714,769,No
Complete,695,682,No
Complete,926,915,Yes
Complete,509,594,No
Complete,779,793,No
Complete,706,742,No
Complete,687,712,No
Complete,870,882,No
Complete,819,707,No
Complete,697,768,No
Complete,859,895,No
Complete,636,618,No
Complete,760,740,No
Complete,608,672,No
Complete,798,822,No
Complete,802,848,No
Complete,733,623,No
Complete,840,836,No
Complete,846,770,No
Complete,787,659,No
Complete,705,799,No
Complete,924,902,Yes
Complete,889,925,Yes
Complete,774,794,No
Complete,731,802,No
Complete,895,831,No
Complete,821,703,No
Complete,620,753,No
Complete,660,809,No
Complete,765,677,No
Complete,603,600,No
Complete,879,863,No
Complete,887,776,No
Complete,712,778,No
Complete,693,841,No
Complete,921,863,No
Complete,843,846,No
Complete,805,895,No
Complete,754,803,No
Complete,686,561,No
Complete,766,547,No
Complete,838,822,No
Complete,885,753,No
Complete,821,661,No
Complete,902,887,No
Complete,782,746,No
Complete,810,782,No
Complete,824,871,No
Complete,928,771,No
Complete,888,816,No
Complete,709,790,No
Complete,836,895,No
Complete,775,735,No
Complete,742,921,Yes
Complete,811,834,No
Complete,844,901,Yes
Complete,836,800,No
Complete,903,963,Yes
Complete,534,600,No
Complete,911,861,No
Complete,861,797,No
Complete,882,847,No
Complete,795,804,No
Complete,939,818,No
Complete,669,884,No
Complete,667,681,No
Complete,824,795,No
Complete,779,670,No
Complete,885,866,No
