Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Optional Subject 5,Offered
Complete,53,785,773,133,129,153,137,Yes
Complete,57,792,810,161,44,154,157,Yes
Complete,51,806,856,132,139,171,45,Yes
Complete,60,794,649,134,80,0,107,No
Complete,40,707,554,0,0,0,0,No
Complete,55,812,849,131,145,150,168,Yes
Complete,53,796,786,148,152,150,115,Yes
Complete,54,862,620,148,92,105,0,No
Complete,44,792,584,137,121,91,84,No
Complete,50,820,740,128,121,134,151,Yes
Complete,50,826,626,136,119,81,47,No
Complete,59,767,763,144,145,0,0,Yes
Complete,47,825,625,140,100,79,117,No
Complete,47,669,734,148,126,156,43,Yes
Complete,65,798,870,172,50,165,139,Yes
Complete,61,858,794,160,139,112,140,Yes
Complete,54,608,501,75,89,98,115,No
Complete,41,563,560,138,77,75,104,No
Complete,20,687,582,126,131,67,97,No
Complete,41,896,870,141,121,119,108,Yes
Complete,51,716,521,0,0,0,0,No
Complete,58,718,697,135,158,104,37,Yes
Complete,55,761,824,0,0,0,0,Yes
Complete,47,597,591,147,74,83,136,No
Complete,44,843,736,132,138,146,130,Yes
Complete,50,648,644,78,0,0,0,No
Complete,45,614,524,123,70,75,99,No
Complete,27,808,783,169,104,144,130,Yes
Complete,22,740,570,104,125,95,75,No
Complete,46,750,661,127,76,130,125,No
Complete,72,889,864,138,178,158,0,Yes
Complete,65,874,679,118,107,109,41,No
Complete,47,841,794,115,153,0,0,Yes
Complete,72,900,897,163,146,176,47,Yes
Complete,44,643,474,37,28,28,44,No
Complete,57,858,835,139,139,154,162,Yes
Complete,62,706,742,120,168,138,112,Yes
Complete,58,635,713,119,0,0,150,Yes
Complete,54,809,672,0,0,0,0,No
Complete,45,850,823,0,0,0,0,Yes
Complete,48,937,867,133,165,145,171,Yes
Complete,51,610,637,0,0,0,0,No
Complete,47,620,648,139,129,102,90,No
Complete,34,732,695,116,114,122,144,Yes
Complete,44,804,752,154,138,138,100,Yes
Complete,46,700,636,0,0,0,0,No
Complete,31,766,716,131,110,92,134,Yes
Complete,0,557,435,35,19,58,18,No
Complete,53,819,645,132,112,83,103,No
Complete,51,703,638,116,115,99,0,No
Complete,50,724,774,147,114,153,149,Yes
