Application Status,Merit Score,Admission Test,Admission Test 2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,54.291,50,0,573,609,No
Application Fee Received,61.745,0,0,936,849,No
Application Fee Received,67.927,54,12,899,769,No
Application Fee Received,53.873,61,0,648,578,No
Admission Fee Challan Received,55.891,54,0,862,620,No
Application Fee Received,79.582,63,0,801,921,Yes
Application Fee Received,64.2,57,0,625,726,No
Application Fee Received,62.782,47,0,669,734,No
Admission Fee Challan Received,71.873,71,0,763,793,Yes
Application Fee Received,48.4,42,0,640,560,No
Application Fee Received,64.436,68,23,887,699,No
Application Fee Received,79.345,56,0,775,942,Yes
Application Fee Received,65.127,62,0,667,725,No
Application Fee Received,49.091,40,0,654,565,No
Application Fee Received,59.255,57,0,604,658,No
Application Fee Received,57.709,58,0,619,634,No
Application Fee Received,68.673,59,0,776,782,No
Application Fee Received,62.236,53,0,694,710,No
Application Fee Received,48.091,51,0,716,521,No
Application Fee Received,63.236,50,0,633,732,No
Application Fee Received,68.782,53,0,777,805,No
Application Fee Received,87.055,54,54,897,922,Yes
Application Fee Received,65.745,56,0,822,750,No
Application Fee Received,60.036,54,0,559,677,No
Application Fee Received,69.382,60,0,937,794,No
Admission Fee Challan Printed,74.255,52,0,564,883,Yes
Application Fee Received,69.073,53,0,766,804,No
Application Fee Received,64.013,44,0,706,764,No
Application Fee Received,59.113,49,0,539,683,No
Application Fee Received,64.145,52,0,750,739,No
Application Fee Received,66.055,47,0,819,779,No
Application Fee Received,50.109,60,0,688,524,No
Application Fee Received,63.164,54,0,756,720,No
Application Fee Received,67.473,49,0,806,793,No
Application Fee Received,66.327,48,0,797,780,No
Application Fee Received,56.739,21,0,898,726,No
Application Fee Received,65.491,50,0,538,763,No
Application Fee Received,68.891,35,35,838,851,No
Application Fee Received,51.927,40,0,546,604,No
Application Fee Received,60.178,58,0,821,672,No
Application Fee Received,68.982,46,0,826,827,No
Application Fee Received,54.745,53,0,720,607,No
Application Fee Received,63.436,47,0,702,743,No
Application Fee Received,62.364,58,0,896,698,No
Application Fee Received,64.164,47,0,539,753,No
Application Fee Received,47.527,50,0,603,516,No
Application Fee Received,50.345,39,0,629,585,No
Application Fee Received,70.806,52,0,857,835,No
Application Fee Received,64.964,63,0,866,720,No
Application Fee Received,58.855,47,0,670,685,No
Application Fee Received,61.571,40,0,583,746,No
Application Fee Received,63.862,49,0,637,748,No
Application Fee Received,80.818,67,0,818,907,Yes
Application Fee Received,56.6,47,0,792,629,No
Application Fee Received,56.291,40,0,615,664,No
Application Fee Received,63.255,53,0,779,724,No
Application Fee Received,80.8,76,26,872,907,Yes
Application Fee Received,59.418,40,0,694,707,No
Application Fee Received,63.455,58,0,635,713,No
Application Fee Received,68.691,66,0,697,768,No
Application Fee Received,55.691,53,0,740,620,No
Application Fee Received,57.927,50,0,787,659,No
Application Fee Received,65.382,48,0,765,767,No
Application Fee Received,58.4,52,0,650,660,No
Application Fee Received,52.236,51,0,675,583,No
Application Fee Received,77.6,60,18,875,902,Yes
Application Fee Received,52.145,52,0,620,574,No
Application Fee Received,52.273,57,0,637,562,No
Application Fee Received,65.6,59,0,737,627,No
Application Fee Received,66.727,50,0,735,780,No
Application Fee Received,62.418,51,0,712,718,No
Admission Fee Challan Received,49.164,44,0,604,555,No
Application Fee Received,60.145,52,0,668,684,No
Application Fee Received,58.618,48,0,481,674,No
Application Fee Received,58.236,53,0,736,660,No
Application Fee Received,69.036,51,0,660,809,No
Application Fee Received,58.855,47,0,670,685,No
Application Fee Received,61.571,40,0,583,746,No
Application Fee Received,59.345,64,0,758,645,No
Application Fee Received,51.782,0,0,713,712,No
Application Fee Received,55.8,43,0,626,649,No
Application Fee Received,64.881,56,0,738,726,No
Application Fee Received,67.473,57,0,807,776,No
Application Fee Received,70.382,57,0,809,811,No
Application Fee Received,65.927,58,0,813,747,No
Application Fee Received,65.491,42,0,777,785,No
Application Fee Received,67.814,60,0,679,777,No
Application Fee Received,69.782,58,0,838,822,No
Application Fee Received,54.873,34,0,821,661,No
Application Fee Received,64.964,51,0,773,753,No
Application Fee Received,52.945,0,0,798,728,No
Application Fee Received,70.161,48,0,650,817,No
Application Fee Received,61.873,45,0,789,727,No
Application Fee Received,52.055,41,0,691,603,No
Application Fee Received,52.818,43,0,595,608,No
Application Fee Received,60.727,48,0,819,703,No
Application Fee Received,77.891,65,65,905,891,Yes
Application Fee Received,55.036,57,0,534,600,No
Application Fee Received,71.518,59,0,487,821,Yes
Application Fee Received,70.109,48,0,924,832,No
Admission Fee Challan Received,73.4,59,0,882,847,Yes
Application Fee Received,22.152,58,30,754,837,Yes
Application Fee Received,68.582,48,0,699,811,No
Application Fee Received,70.582,50,0,884,833,No
Application Fee Received,77.943,49,0,908,927,Yes
Application Fee Received,67.267,48,0,704,792,No
Application Fee Received,63,47,0,525,737,No
Application Fee Received,64.6,47,0,717,759,No
Application Fee Received,68.691,62,0,788,774,No
Application Fee Received,69.164,48,0,723,676,No
Application Fee Received,48.2,57,0,484,506,No
Application Fee Received,66.997,43,0,610,812,No
Application Fee Received,58.382,49,0,537,668,No
Application Fee Received,56.982,50,0,658,646,No
Application Fee Received,68.349,55,0,743,793,No
Application Fee Received,56.182,62,0,661,602,No
Application Fee Received,50.436,46,0,830,567,No
Application Fee Received,52.036,50,0,762,578,No
Application Fee Received,70.727,30,30,955,890,No
Application Fee Received,78.182,60,60,986,913,Yes
Application Fee Received,70.335,56,0,871,801,No
Application Fee Received,58.364,50,0,649,670,No
Application Fee Received,54.964,53,0,693,610,No
Application Fee Received,58.382,33,0,637,717,No
Application Fee Received,58.982,48,0,596,679,No
Application Fee Received,56.145,40,0,739,662,No
Application Fee Received,61.836,51,7,847,710,No
Application Fee Received,76.509,65,65,892,872,Yes
Application Fee Received,41.091,0,0,591,565,No
Application Fee Received,84.218,66,66,977,974,Yes
Application Fee Received,56.347,50,0,598,622,No
Application Fee Received,71.436,55,22,853,831,No
Application Fee Received,64.673,51,0,863,749,No
Application Fee Received,64.836,42,0,677,776,No
Application Fee Received,64.309,47,0,679,760,No
Application Fee Received,57.782,50,0,781,662,No
Application Fee Received,67.309,50,0,669,793,No
Application Fee Received,52.218,4,4,870,707,No
Application Fee Received,53.818,48,0,623,608,No
Application Fee Received,68.855,77,23,924,740,No
Application Fee Received,63.745,50,0,757,739,No
Application Fee Received,51.273,0,0,753,710,No
Application Fee Received,62.036,48,0,836,721,No
Application Fee Received,56.091,47,0,800,642,No
Application Fee Received,71.8,55,0,791,836,Yes
Application Fee Received,48.764,46,0,609,544,No
Application Fee Received,59.8,63,0,593,649,No
Application Fee Received,58.564,47,0,793,676,No
Application Fee Received,72.218,51,0,688,718,No
Application Fee Received,59.255,49,0,679,680,No
Application Fee Received,64.418,41,0,667,773,No
