Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Application Fee Received,57,868,712,166,No
Application Fee Received,50,676,690,0,No
Application Fee Received,58,787,729,120,No
Application Fee Received,52,844,812,149,No
Application Fee Received,55,720,785,178,No
Application Fee Received,54,875,701,44,No
Application Fee Received,61,648,578,0,No
Application Fee Received,50,636,642,44,No
Application Fee Received,54,862,620,0,No
Application Fee Received,50,652,799,0,No
Application Fee Received,46,632,811,150,No
Application Fee Received,54,694,811,175,No
Admission Fee Challan Received,63,801,921,159,Yes
Application Fee Received,42,744,593,99,No
Application Fee Received,57,625,726,104,No
Application Fee Received,71,763,793,0,No
Application Fee Received,42,640,560,125,No
Admission Fee Challan Received,56,775,942,185,Yes
Admission Fee Challan Received,65,726,812,179,No
Application Fee Received,62,667,725,139,No
Application Fee Received,40,654,565,32,No
Application Fee Received,39,718,542,104,No
Application Fee Received,52,903,826,0,No
Application Fee Received,52,708,631,98,No
Application Fee Received,57,604,658,0,No
Application Fee Received,50,564,899,161,Yes
Application Fee Received,58,619,634,109,No
Application Fee Received,59,776,782,44,No
Application Fee Received,52,537,703,131,No
Application Fee Received,51,716,521,0,No
Application Fee Received,65,839,739,127,No
Application Fee Received,52,613,555,0,No
Application Fee Received,53,777,805,37,No
Application Fee Received,46,631,532,0,No
Admission Fee Challan Received,54,864,868,164,Yes
Application Fee Received,54,814,729,48,No
Application Fee Received,54,559,677,125,No
Application Fee Received,0,793,793,0,No
Application Fee Received,60,937,794,139,No
Application Fee Received,50,648,644,0,No
Application Fee Received,49,915,800,0,No
Application Fee Received,52,564,883,181,Yes
Application Fee Received,53,766,804,150,No
Application Fee Received,75,777,896,0,Yes
Application Fee Received,49,539,683,54,No
Application Fee Received,57,808,774,147,No
Application Fee Received,50,760,626,73,No
Application Fee Received,57,677,716,65,No
Application Fee Received,67,818,907,169,Yes
Application Fee Received,41,745,608,40,No
Application Fee Received,0,766,893,85,No
Application Fee Received,47,819,779,160,No
Application Fee Received,0,897,757,141,No
Admission Fee Challan Received,70,875,921,167,Yes
Application Fee Received,56,740,795,163,No
Application Fee Received,48,797,780,117,No
Application Fee Received,45,761,560,0,No
Application Fee Received,50,538,763,123,No
Application Fee Received,54,748,649,0,No
Application Fee Received,40,546,604,158,No
Application Fee Received,58,821,672,58,No
Application Fee Received,53,720,607,118,No
Application Fee Received,58,896,698,40,No
Application Fee Received,40,613,619,0,No
Application Fee Received,50,603,516,41,No
Application Fee Received,42,538,751,46,No
Application Fee Received,39,629,585,0,No
Application Fee Received,52,857,835,75,No
Application Fee Received,52,722,658,103,No
Application Fee Received,50,780,757,0,No
Application Fee Received,63,866,720,100,No
Application Fee Received,47,670,685,164,No
Admission Fee Challan Received,47,847,903,143,Yes
Application Fee Received,50,573,616,75,No
Application Fee Received,49,637,748,0,No
Application Fee Received,57,677,716,65,No
Application Fee Received,67,818,907,169,Yes
Application Fee Received,58,753,705,101,No
Application Fee Received,50,684,622,124,No
Application Fee Received,53,779,724,0,No
Application Fee Received,49,714,769,130,No
Application Fee Received,76,872,907,0,Yes
Application Fee Received,40,694,707,158,No
Application Fee Received,56,802,807,0,No
Application Fee Received,58,635,713,150,No
Application Fee Received,21,768,801,149,No
Application Fee Received,46,663,754,140,No
Application Fee Received,52,567,598,103,No
Application Fee Received,52,754,679,0,No
Application Fee Received,48,708,814,177,No
Application Fee Received,42,606,741,129,No
Application Fee Received,52,532,390,0,No
Application Fee Received,50,787,659,0,No
Application Fee Received,48,765,767,156,No
Application Fee Received,52,650,660,0,No
Application Fee Received,62,840,868,141,Yes
Application Fee Received,51,675,583,66,No
Admission Fee Challan Received,60,875,902,43,Yes
Application Fee Received,59,766,701,40,No
Application Fee Received,59,737,627,109,No
Application Fee Received,50,735,780,184,No
Application Fee Received,44,604,555,87,No
Application Fee Received,32,646,529,31,No
Application Fee Received,48,788,851,156,No
Application Fee Received,54,807,646,0,No
Application Fee Received,48,481,674,0,No
Application Fee Received,51,660,809,163,No
Application Fee Received,52,857,835,75,No
Application Fee Received,52,722,658,103,No
Application Fee Received,64,758,645,0,No
Application Fee Received,40,651,705,0,No
Application Fee Received,49,778,600,77,No
Application Fee Received,57,809,811,112,No
Application Fee Received,51,770,759,168,No
Application Fee Received,42,777,785,148,No
Application Fee Received,58,843,846,156,Yes
Application Fee Received,51,849,772,0,No
Application Fee Received,46,540,560,78,No
Application Fee Received,60,679,777,0,No
Application Fee Received,58,838,822,157,No
Application Fee Received,24,961,814,154,No
Admission Fee Challan Printed,46,846,722,0,No
Application Fee Received,57,711,683,107,No
Application Fee Received,58,798,695,0,No
Application Fee Received,56,810,782,39,No
Application Fee Received,51,773,753,129,No
Application Fee Received,53,777,864,40,No
Application Fee Received,64,672,747,0,No
Application Fee Received,61,840,624,108,No
Application Fee Received,48,650,817,0,No
Application Fee Received,41,691,603,99,No
Application Fee Received,81,844,901,0,Yes
Application Fee Received,51,845,882,164,Yes
Application Fee Received,43,911,861,42,No
Application Fee Received,48,924,832,132,No
Application Fee Received,59,882,847,149,No
Application Fee Received,58,754,837,180,No
Admission Fee Challan Received,53,777,841,88,No
Admission Fee Challan Received,72,939,818,0,Yes
Application Fee Received,50,822,800,161,No
Application Fee Received,55,779,670,116,No
Admission Fee Challan Received,49,908,927,0,Yes
Application Fee Received,50,672,540,82,No
Application Fee Received,59,892,864,161,Yes
Application Fee Received,48,741,794,0,No
Admission Fee Challan Received,58,908,890,0,Yes
Application Fee Received,55,822,831,152,No
Application Fee Received,43,610,812,0,No
Application Fee Received,49,537,668,81,No
Application Fee Received,46,718,673,105,No
Application Fee Received,53,829,727,0,No
Application Fee Received,43,573,708,134,No
Application Fee Received,62,661,602,0,No
Application Fee Received,50,564,639,0,No
Application Fee Received,56,871,801,0,No
Application Fee Received,69,657,786,152,No
Application Fee Received,45,560,643,108,No
Application Fee Received,50,649,670,109,No
Application Fee Received,50,811,764,46,No
Application Fee Received,54,781,733,138,No
Application Fee Received,51,847,710,105,No
Application Fee Received,57,756,659,111,No
Application Fee Received,50,598,622,0,No
Application Fee Received,51,863,749,0,No
Application Fee Received,53,534,522,0,No
Application Fee Received,42,677,776,110,No
Application Fee Received,0,691,640,97,No
Application Fee Received,47,740,838,0,No
Application Fee Received,51,615,601,67,No
Application Fee Received,50,781,662,155,No
Application Fee Received,48,684,720,42,No
Application Fee Received,55,708,640,95,No
Application Fee Received,48,623,608,143,No
Application Fee Received,77,924,740,140,No
Application Fee Received,50,757,739,126,No
Application Fee Received,48,836,721,101,No
Application Fee Received,0,680,627,0,No
Application Fee Received,55,791,836,39,No
Admission Fee Challan Received,68,780,884,0,Yes
Application Fee Received,60,777,754,185,No
Application Fee Received,46,609,544,80,No
