Application Status,Merit Score,nts_ok_flag,every_thing_ok_in_education,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_4_obtained,hsc_opt_5_obtained,Offered
Application Fee Received,821,1,1,53,785,773,133,129,153,137,Yes
Application Fee Received,867,1,1,57,792,810,161,44,154,157,Yes
Application Fee Received,902,1,1,51,806,856,132,139,171,45,Yes
Application Fee Received,694,1,1,60,794,649,134,80,0,107,No
Application Fee Received,594,1,1,40,707,554,0,0,0,0,No
Application Fee Received,904.273,1,1,55,812,849,131,145,150,168,Yes
Application Fee Received,839,1,1,53,796,786,148,152,150,115,Yes
Application Fee Received,674,1,1,54,862,620,148,92,105,0,No
Application Fee Received,628,1,1,44,792,584,137,121,91,84,No
Application Fee Received,790,1,1,50,820,740,128,121,134,151,Yes
Application Fee Received,676,1,1,50,826,626,136,119,81,47,No
Application Fee Received,822.091,1,1,59,767,763,144,145,0,0,Yes
Application Fee Received,672,1,1,47,825,625,140,100,79,117,No
Application Fee Received,781,1,1,47,669,734,148,126,156,43,Yes
Application Fee Received,950.909,1,1,65,798,870,172,50,165,139,Yes
Application Fee Received,855,1,1,61,858,794,160,139,112,140,Yes
Application Fee Received,555,1,1,54,608,501,75,89,98,115,No
Application Fee Received,596,1,1,41,563,560,138,77,75,104,No
Application Fee Received,602,1,1,20,687,582,126,131,67,97,No
Application Fee Received,911.636,1,1,41,896,870,141,121,119,108,Yes
Application Fee Received,572,1,1,51,716,521,0,0,0,0,No
Application Fee Received,755,1,1,58,718,697,135,158,104,37,Yes
Application Fee Received,879,1,1,55,761,824,0,0,0,0,Yes
Application Fee Received,658,1,1,47,597,591,147,74,83,136,No
Application Fee Received,780,1,1,44,843,736,132,138,146,130,Yes
Application Fee Received,694,1,1,50,648,644,78,0,0,0,No
Application Fee Received,569,1,1,45,614,524,123,70,75,99,No
Application Fee Received,810,1,1,27,808,783,169,104,144,130,Yes
Application Fee Received,592,1,1,22,740,570,104,125,95,75,No
Application Fee Received,707,1,1,46,750,661,127,76,130,125,No
Application Fee Received,936.727,1,1,72,889,864,138,178,158,0,Yes
Application Fee Received,679,0,1,65,874,679,118,107,109,41,No
Application Fee Received,836,1,1,47,841,794,115,153,0,0,Yes
Application Fee Received,969,1,1,72,900,897,163,146,176,47,Yes
Application Fee Received,518.851,1,0,44,643,474,37,28,28,44,No
Application Fee Received,892,1,1,57,858,835,139,139,154,162,Yes
Application Fee Received,804,1,1,62,706,742,120,168,138,112,Yes
Application Fee Received,771,1,1,58,635,713,119,0,0,150,Yes
Application Fee Received,726,1,1,54,809,672,0,0,0,0,No
Application Fee Received,888,1,1,45,850,823,0,0,0,0,Yes
Application Fee Received,915,1,1,48,937,867,133,165,145,171,Yes
Application Fee Received,708,1,1,51,610,637,0,0,0,0,No
Application Fee Received,695,1,1,47,620,648,139,129,102,90,No
Application Fee Received,729,1,1,34,732,695,116,114,122,144,Yes
Application Fee Received,796,1,1,44,804,752,154,138,138,100,Yes
Application Fee Received,677,1,1,46,700,636,0,0,0,0,No
Application Fee Received,742,1,1,31,766,716,131,110,92,134,Yes
Application Fee Received,450.644,0,0,0,557,435,35,19,58,18,No
Application Fee Received,698,1,1,53,819,645,132,112,83,103,No
Application Fee Received,689,1,1,51,703,638,116,115,99,0,No
Application Fee Received,824,1,1,50,724,774,147,114,153,149,Yes
Application Fee Received,602,1,1,53,739,549,130,96,89,71,No
Application Fee Received,807,1,1,28,722,779,0,0,0,0,Yes
Application Fee Received,565,1,1,43,609,522,126,92,85,78,No
Application Fee Received,790,1,1,44,778,746,134,127,147,136,Yes
Application Fee Received,831.733,1,0,70,759,766,70,59,60,46,No
Application Fee Received,966,1,1,60,844,886,139,135,167,180,Yes
Application Fee Received,678,1,1,51,872,627,101,121,76,138,No
Application Fee Received,899,0,1,0,903,899,173,168,163,143,No
Application Fee Received,899,1,1,54,920,845,156,148,127,141,Yes
Application Fee Received,801,0,1,0,876,801,144,122,137,173,No
Application Fee Received,625.364,1,1,26,823,599,75,125,42,113,No
Application Fee Received,890,1,1,72,939,818,145,158,158,0,Yes
Application Fee Received,579,1,1,45,572,539,73,108,104,89,No
Application Fee Received,672,1,1,44,674,628,114,115,119,92,No
Application Fee Received,992.455,1,1,45,955,947,155,169,177,177,Yes
Application Fee Received,905.273,1,1,27,906,878,172,0,0,136,Yes
Application Fee Received,669,0,1,0,794,674,113,118,166,128,No
Application Fee Received,901,1,1,41,867,860,157,174,162,127,Yes
Application Fee Received,709,1,1,40,859,669,112,137,115,116,No
Application Fee Received,753,1,1,62,740,691,133,42,108,126,Yes
Application Fee Received,839,1,1,37,814,802,146,170,137,0,Yes
Application Fee Received,937,1,1,59,791,888,163,162,0,0,Yes
Application Fee Received,831.727,1,1,22,873,809,152,147,154,39,Yes
Application Fee Received,696,1,1,50,658,646,81,102,108,132,No
Application Fee Received,729,0,1,0,811,729,0,0,0,0,No
Application Fee Received,865,1,1,59,899,811,113,154,145,0,Yes
Application Fee Received,708,0,1,0,736,708,111,140,115,46,No
Application Fee Received,647,1,1,39,769,608,100,120,125,106,No
Application Fee Received,903,1,1,52,861,851,125,147,161,148,Yes
Application Fee Received,812.455,1,1,15,895,797,129,150,152,163,Yes
Application Fee Received,520,0,1,0,584,520,76,92,77,0,No
Application Fee Received,709,1,1,49,711,660,91,119,135,128,No
Application Fee Received,688,1,1,76,718,617,0,0,0,0,No
Application Fee Received,749,1,1,51,677,703,84,128,148,106,Yes
Application Fee Received,939.091,1,1,39,744,880,0,0,0,0,Yes
Application Fee Received,665,1,1,53,613,622,116,80,110,133,No
Application Fee Received,976,1,1,60,950,916,0,0,0,0,Yes
Application Fee Received,759,1,1,41,777,718,0,0,0,0,Yes
Application Fee Received,1017,1,1,58,864,959,0,0,0,0,Yes
Application Fee Received,892.636,1,1,49,890,843,143,46,158,163,Yes
Application Fee Received,658,1,1,54,587,604,103,45,112,108,No
Application Fee Received,768,1,1,45,770,723,143,110,135,122,Yes
Application Fee Received,745,0,1,0,864,745,132,112,131,141,No
