Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered
Application Received,908.813,OPEN,male,Baluchistan,0,0,594,702,0,0,0,0,0,0,0,No
Application Received,1210,OPEN,male,FATA,100,100,1048,1100,200,200,200,200,200,0,0,No
Application Fee Received,947.545,OPEN,male,Khyber Pakhtunkhwa,65,65,702,867,0,0,0,0,0,0,0,No
Challan Printed,665,OPEN,male,FATA,0,0,867,675,0,0,0,0,0,0,0,No
Admission Fee Challan Received,846,OPEN,male,FATA,0,0,838,801,139,141,34,152,38,1,0,No
Challan Printed,945,Bahawalpur,female,Punjab,49,0,857,906,155,177,0,178,0,0,0,No
Application Fee Received,1062.273,Bahawalpur,female,Punjab,80,80,966,992,176,182,184,0,192,0,0,No
Challan Printed,867,Bahawalpur,female,Punjab,51,0,850,821,136,144,141,144,44,0,0,No
Application Fee Received,719,Bahawalpur,male,Punjab,52,0,672,672,127,107,143,85,45,0,0,No
Application Fee Received,1032.636,Bahawalpur,female,Punjab,71,71,867,966,156,184,184,184,0,0,0,No
Application Fee Received,991.364,Bahawalpur,female,Punjab,78,78,881,923,0,0,0,0,0,0,0,No
Application Fee Received,1058.545,Bahawalpur,female,Punjab,86,86,890,957,173,180,177,0,0,0,0,No
Application Fee Received,763,Bahawalpur,male,Punjab,39,0,739,729,124,133,133,125,0,0,0,No
Challan Printed,1059.364,Bahawalpur,male,Punjab,87,87,932,962,173,42,48,184,179,0,0,No
Application Fee Received,1005,Bahawalpur,female,Punjab,68,0,962,942,172,171,179,181,43,1,0,No
Application Fee Received,780,Bahawalpur,female,Punjab,50,0,737,735,138,106,126,140,0,0,0,No
Application Fee Received,991,Bahawalpur,female,Punjab,54,0,974,942,168,169,180,0,177,0,0,No
Application Fee Received,863,Bahawalpur,male,Punjab,50,41,763,818,131,148,164,157,42,0,0,No
Application Fee Received,1008,Bahawalpur,female,Punjab,58,0,946,955,176,185,179,177,0,1,0,No
Application Fee Received,1012,Bahawalpur,female,Punjab,56,0,955,961,184,179,176,46,170,1,0,No
Application Fee Received,978,Bahawalpur,male,Punjab,55,0,946,928,172,47,173,46,162,0,0,No
Application Fee Received,954,Bahawalpur,female,Punjab,56,0,817,903,169,45,165,46,163,0,0,No
Challan Printed,834,Bahawalpur,female,Punjab,54,0,943,785,140,148,94,152,45,0,0,No
Application Fee Received,977,Bahawalpur,female,Punjab,66,0,944,896,173,163,158,158,44,0,0,No
Application Fee Received,979,Bahawalpur,female,Punjab,56,0,921,928,167,167,172,168,0,0,0,No
Challan Printed,1010,Bahawalpur,female,Punjab,52,0,927,968,183,177,170,47,189,0,0,No
Challan Printed,779,Bahawalpur,female,Punjab,50,0,697,734,0,0,0,0,0,0,0,No
Application Fee Received,944,Bahawalpur,female,Punjab,50,42,886,899,148,176,148,177,48,0,0,No
Application Fee Received,1009,Bahawalpur,female,Punjab,68,63,938,946,159,185,173,174,0,1,0,No
Challan Printed,765,Bahawalpur,male,Punjab,50,0,707,720,105,112,147,43,145,0,0,No
Application Fee Received,799,Bahawalpur,female,Punjab,53,0,777,751,146,137,43,137,41,0,0,No
Application Fee Received,790,Bahawalpur,male,Punjab,38,0,657,757,126,114,127,78,166,0,0,No
