1`(1,667,0,0)++
1`(2,1100,59,1)++
1`(3,825,60,0)++
1`(4,783,59,0)++
1`(5,1050,44,0)++
1`(6,614,42,0)++
1`(7,689,0,1)++
1`(8,771,60,0)++
1`(9,726,54,0)++
1`(10,841,49,1)++
1`(11,638,47,0)++
1`(12,727,50,0)++
1`(13,583,48,0)++
1`(14,801,46,0)++
1`(15,654,56,0)++
1`(16,750,60,0)++
1`(17,579,32,0)++
1`(18,828,59,0)++
1`(19,645,41,0)++
1`(20,850,55,1)++
1`(21,595,58,0)++
1`(22,601,51,0)++
1`(23,601,47,0)++
1`(24,893,54,1)++
1`(25,773,46,1)++
1`(26,743,36,0)++
1`(27,628,50,0)++
1`(28,601,47,0)++
1`(29,911,50,0)++
1`(30,732,47,0)++
1`(31,796,44,0)++
1`(32,700,50,0)++
1`(33,662,51,0)++
1`(34,757,38,0)++
1`(35,735,50,0)++
1`(36,808,63,0)++
1`(37,767,48,0)++
1`(38,888,60,0)++
1`(39,0,0,0)++
1`(40,766,58,0)++
1`(41,491,49,0)++
1`(42,541,48,0)++
1`(43,691,50,0)++
1`(44,796,52,0)++
1`(45,691,57,0)++
1`(46,784,46,0)++
1`(47,829,56,1)++
1`(48,630,44,0)++
1`(49,562,1,0)++
1`(50,729,58,0)++
1`(51,754,48,0)++
1`(52,813,54,1)++
1`(53,809,58,0)++
1`(54,622,52,0)++
1`(55,615,43,0)++
1`(56,802,51,1)++
1`(57,550,50,0)++
1`(58,595,45,0)++
1`(59,747,41,0)++
1`(60,794,50,0)++
1`(61,662,49,0)++
1`(62,599,43,0)++
1`(63,478,52,0)++
1`(64,606,49,1)++
1`(65,815,60,1)++
1`(66,555,56,0)++
1`(67,727,52,0)++
1`(68,692,65,0)++
1`(69,916,52,0)++
1`(70,723,44,0)++
1`(71,737,52,0)++
1`(72,780,64,0)++
1`(73,798,31,0)++
1`(74,640,0,0)++
1`(75,699,60,0)++
1`(76,651,0,0)++
1`(77,711,51,0)++
1`(78,814,63,1)++
1`(79,734,59,0)++
1`(80,727,53,0)++
1`(81,733,50,0)++
1`(82,693,43,0)++
1`(83,788,33,0)++
1`(84,804,60,1)++
1`(85,747,7,0)++
1`(86,723,53,0)++
1`(87,686,52,0)++
1`(88,581,44,0)++
1`(89,707,54,0)++
1`(90,631,54,0)++
1`(91,707,50,0)++
1`(92,703,56,0)++
1`(93,623,50,0)++
1`(94,804,56,0)++
1`(95,727,60,0)++
1`(96,620,50,0)++
1`(97,722,59,0)++
1`(98,643,52,0)++
1`(99,903,66,0)++
1`(100,566,36,0)++
1`(101,533,45,0)++
1`(102,771,42,0)++
1`(103,807,48,0)++
1`(104,533,41,0)++
1`(105,677,54,0)++
1`(106,634,54,0)++
1`(107,732,55,0)++
1`(108,635,54,0)++
1`(109,758,56,0)++
1`(110,707,40,0)++
1`(111,820,48,1)++
1`(112,614,50,0)++
1`(113,682,52,0)++
1`(114,690,47,0)++
1`(115,855,53,0)++
1`(116,605,58,0)++
1`(117,662,48,0)++
1`(118,765,53,0)++
1`(119,588,53,0)++
1`(120,882,51,1)++
1`(121,836,48,0)++
1`(122,761,47,0)++
1`(123,624,61,1)++
1`(124,525,0,0)++
1`(125,802,55,1)++
1`(126,836,52,1)++
1`(127,867,47,0)++
1`(128,545,32,0)++
1`(129,698,54,0)++
1`(130,843,54,1)++
1`(131,841,47,1)++
1`(132,595,52,0)++
1`(133,825,44,0)++
1`(134,875,59,0)++
1`(135,850,53,1)++
1`(136,795,59,1)++
1`(137,792,48,0)++
1`(138,954,67,1)++
1`(139,752,48,0)++
1`(140,713,55,0)++
