Application Status,SSC,Admission Test,Terminal Degree,Document Verified,Offered
NotComplete,637,0,667,0,No
Complete,1050,59,1100,1,Yes
NotComplete,916,60,825,0,No
Complete,803,59,783,0,No
NotComplete,813,44,1050,0,No
Complete,745,42,614,0,No
Complete,685,0,689,1,No
NotComplete,814,60,771,0,No
Complete,738,54,726,0,No
Complete,811,49,841,1,No
Complete,401,47,638,0,No
NotComplete,828,50,727,0,No
Complete,629,48,583,0,No
NotComplete,635,46,801,0,No
Complete,766,56,654,0,No
NotComplete,668,60,750,0,No
NotComplete,692,32,579,0,No
Complete,926,59,828,0,No
Complete,764,41,645,0,No
Complete,799,55,850,1,Yes
Complete,751,58,595,0,No
Complete,615,51,601,0,No
Complete,671,47,601,0,No
Complete,766,54,893,1,Yes
Complete,920,46,773,1,No
Complete,648,36,743,0,No
Complete,687,50,628,0,No
NotComplete,727,47,601,0,No
NotComplete,807,50,911,0,No
Complete,573,47,732,0,No
Complete,713,44,796,0,No
Complete,761,50,700,0,No
NotComplete,853,51,662,0,No
Complete,657,38,757,0,No
Complete,721,50,735,0,No
Complete,831,63,808,0,No
NotComplete,765,48,767,0,No
NotComplete,923,60,888,0,No
NotComplete,0,0,0,0,No
Complete,675,58,766,0,No
Complete,766,49,491,0,No
Complete,573,48,541,0,No
Complete,808,50,691,0,No
Complete,903,52,796,0,No
Complete,756,57,691,0,No
Complete,811,46,784,0,No
Complete,681,56,829,1,No
Complete,826,44,630,0,No
Complete,683,1,562,0,No
Complete,787,58,729,0,No
Complete,811,48,754,0,No
Complete,903,54,813,1,No
NotComplete,815,58,809,0,No
Complete,694,52,622,0,No
NotComplete,705,43,615,0,No
Complete,835,51,802,1,No
NotComplete,770,50,550,0,No
Complete,672,45,595,0,No
Complete,574,41,747,0,No
Complete,762,50,794,0,No
Complete,785,49,662,0,No
Complete,635,43,599,0,No
NotComplete,654,52,478,0,No
Complete,753,49,606,1,No
Complete,847,60,815,1,Yes
Complete,563,56,555,0,No
Complete,641,52,727,0,No
Complete,628,65,692,0,No
Complete,877,52,916,0,No
Complete,929,44,723,0,No
Complete,815,52,737,0,No
NotComplete,801,64,780,0,No
Complete,825,31,798,0,No
NotComplete,667,0,640,0,No
Complete,663,60,699,0,No
NotComplete,631,0,651,0,No
Complete,881,51,711,0,No
Complete,764,63,814,1,Yes
Complete,647,59,734,0,No
Complete,829,53,727,0,No
Complete,804,50,733,0,No
NotComplete,682,43,693,0,No
Complete,745,33,788,0,No
Complete,813,60,804,1,No
Complete,551,7,747,0,No
Complete,805,53,723,0,No
Complete,705,52,686,0,No
Complete,702,44,581,0,No
NotComplete,630,54,707,0,No
Complete,866,54,631,0,No
Complete,576,50,707,0,No
Complete,687,56,703,0,No
NotComplete,728,50,623,0,No
NotComplete,756,56,804,0,No
Complete,836,60,727,0,No
Complete,748,50,620,0,No
Complete,706,59,722,0,No
Complete,808,52,643,0,No
NotComplete,885,66,903,0,No
Complete,673,36,566,0,No
Complete,479,45,533,0,No
NotComplete,565,42,771,0,No
Complete,672,48,807,0,No
Complete,591,41,533,0,No
NotComplete,705,54,677,0,No
Complete,600,54,634,0,No
Complete,661,55,732,0,No
Complete,706,54,635,0,No
Complete,782,56,758,0,No
Complete,694,40,707,0,No
Complete,852,48,820,1,No
Complete,681,50,614,0,No
Complete,862,52,682,0,No
Complete,666,47,690,0,No
Complete,902,53,855,0,No
Complete,716,58,605,0,No
