Application Status,Admission Test 2,SSC,Terminal Degree,Document Verified,English Marks,Offered
NotComplete,0,763,832,0,145,No
NotComplete,0,821,659,0,132,No
Complete,0,818,734,1,136,No
NotComplete,0,740,772,0,157,No
Complete,0,677,575,0,93,No
Complete,0,474,617,0,0,No
Complete,0,734,896,0,159,No
NotComplete,0,698,732,0,48,No
Complete,65,893,967,1,173,Yes
NotComplete,0,705,665,0,72,No
Complete,0,663,595,0,0,No
NotComplete,0,687,802,0,0,No
NotComplete,0,761,671,0,145,No
NotComplete,0,859,835,0,160,No
NotComplete,0,943,785,0,152,No
Complete,0,902,830,0,155,No
NotComplete,0,521,588,0,102,No
Complete,0,825,840,0,126,No
NotComplete,0,727,601,0,132,No
Complete,0,573,732,0,86,No
Complete,0,689,623,0,125,No
Complete,0,833,747,0,159,No
Complete,0,654,680,0,0,No
Complete,0,846,857,1,177,Yes
Complete,0,801,812,1,160,Yes
Complete,0,523,639,0,69,No
Complete,0,831,763,1,147,No
Complete,0,810,842,1,170,Yes
Complete,0,943,785,0,152,No
Complete,0,826,630,0,149,No
Complete,0,593,517,0,93,No
Complete,0,769,721,0,121,No
Complete,0,808,658,0,125,No
Complete,0,789,637,0,126,No
Complete,54,880,882,1,173,Yes
Complete,0,770,550,0,82,No
Complete,0,807,759,0,123,No
Complete,0,780,731,0,117,No
Complete,0,651,574,0,105,No
Complete,0,753,606,1,132,No
Complete,0,620,648,0,129,No
Complete,0,776,581,0,133,No
Complete,0,684,731,0,155,No
Complete,0,805,701,0,104,No
Complete,0,654,572,0,123,No
Complete,0,876,789,1,160,Yes
Complete,0,929,723,0,162,No
NotComplete,0,866,804,0,136,No
Complete,0,825,798,0,47,No
Complete,0,704,660,0,151,No
NotComplete,41,949,820,0,163,No
NotComplete,0,881,711,0,128,No
NotComplete,0,661,688,0,139,No
Complete,66,829,838,0,0,No
Complete,0,718,596,0,122,No
NotComplete,33,877,837,0,148,No
Complete,0,800,524,1,136,No
Complete,0,594,671,0,114,No
Complete,0,903,887,0,162,No
Complete,0,743,687,0,145,No
Complete,0,696,879,1,153,Yes
Complete,0,809,841,1,109,Yes
Complete,0,708,645,0,99,No
Complete,0,716,721,0,134,No
Complete,0,659,677,0,76,No
Complete,0,810,929,1,179,Yes
Complete,0,697,852,0,138,No
Complete,0,814,681,0,154,No
Complete,0,889,738,0,144,No
Complete,0,629,771,0,137,No
Complete,0,866,963,0,0,No
Complete,0,816,903,1,150,Yes
Complete,0,864,892,1,158,Yes
Complete,0,853,879,1,171,Yes
Complete,0,751,636,0,136,No
Complete,0,697,785,1,126,No
Complete,0,718,722,0,0,No
Complete,0,705,677,0,125,No
Complete,0,600,634,0,0,No
Complete,0,945,911,1,164,Yes
Complete,0,594,792,1,99,No
Complete,0,681,614,0,123,No
Complete,0,859,640,0,100,No
Complete,0,823,760,0,122,No
Complete,0,507,604,0,50,No
Complete,0,709,730,0,83,No
Complete,0,666,690,0,101,No
Complete,0,684,576,0,118,No
Complete,0,765,493,0,36,No
Complete,0,667,724,0,0,No
Complete,88,868,942,1,159,Yes
NotComplete,0,914,924,0,179,No
Complete,43,815,907,1,175,Yes
Complete,0,653,560,0,101,No
Complete,0,935,862,0,161,No
Complete,0,772,688,0,115,No
Complete,0,808,800,0,139,No
Complete,0,839,690,0,122,No
Complete,0,765,474,0,65,No
Complete,0,657,689,0,106,No
Complete,0,637,557,0,93,No
Complete,0,749,686,0,128,No
NotComplete,0,515,578,0,0,No
NotComplete,0,798,776,0,148,No
Complete,0,838,794,0,158,No
Complete,0,857,770,1,140,No
Complete,0,840,624,1,124,No
Complete,0,833,685,0,132,No
Complete,0,726,737,0,122,No
Complete,0,840,796,1,133,No
NotComplete,0,597,660,0,0,No
Complete,0,778,684,0,145,No
Complete,0,809,623,0,101,No
NotComplete,0,799,858,0,148,No
NotComplete,0,832,597,0,105,No
Complete,0,697,635,0,130,No
Complete,0,639,542,0,82,No
NotComplete,0,673,571,0,89,No
NotComplete,0,877,949,0,172,No
Complete,0,632,764,0,124,No
Complete,0,687,648,0,97,No
Complete,0,960,903,1,150,Yes
Complete,0,786,666,0,150,No
Complete,0,668,793,0,0,No
Complete,0,731,654,0,91,No
Complete,0,638,588,0,143,No
Complete,0,729,632,0,127,No
NotComplete,0,681,622,0,0,No
Complete,0,648,713,0,131,No
NotComplete,0,502,753,0,89,No
Complete,0,940,816,1,146,Yes
Complete,0,800,809,0,0,No
NotComplete,0,809,561,0,0,No
Complete,0,669,563,0,142,No
Complete,0,781,733,0,152,No
Complete,0,609,727,0,85,No
NotComplete,0,843,736,0,146,No
Complete,0,857,841,1,157,Yes
Complete,0,767,752,1,164,No
NotComplete,0,725,613,0,103,No
Complete,0,723,581,0,95,No
Complete,0,676,649,0,131,No
Complete,0,697,537,0,0,No
Complete,0,761,824,1,153,Yes
Complete,0,769,684,0,132,No
NotComplete,0,804,825,0,140,No
Complete,0,736,775,0,128,No
NotComplete,0,553,448,0,82,No
Complete,0,681,529,0,71,No
Complete,0,711,652,0,159,No
Complete,0,689,711,0,163,No
NotComplete,0,637,644,0,76,No
Complete,87,941,982,1,185,Yes
Complete,0,614,751,0,131,No
Complete,0,608,554,0,73,No
Complete,53,887,833,1,135,Yes
Complete,0,502,536,0,84,No
Complete,0,651,611,0,128,No
Complete,0,620,892,0,175,No
Complete,0,874,689,0,124,No
NotComplete,0,896,880,0,177,No
Complete,0,711,495,0,97,No
Complete,0,747,668,0,149,No
Complete,0,651,599,0,111,No
Complete,0,691,640,0,91,No
Complete,0,653,502,0,84,No
Complete,0,697,672,0,115,No
