Application Status,Domicile,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 3,Document Verified,Offered
NotComplete,OPEN,0,815,860,148,162,0,No
NotComplete,OPEN,0,933,930,171,175,0,No
Complete,OPEN,0,847,848,146,0,1,No
Complete,OPEN,21,892,841,157,150,0,No
Complete,OPEN,0,860,783,131,158,1,No
Complete,Bahawalpur,49,857,906,155,0,0,No
Complete,Bahawalpur,0,953,843,177,162,1,Yes
NotComplete,Bahawalpur,51,850,821,136,141,0,No
Complete,Bahawalpur,60,916,825,170,160,0,No
NotComplete,Bahawalpur,0,0,0,0,0,0,No
Complete,Bahawalpur,0,919,872,172,167,1,Yes
NotComplete,Bahawalpur,60,814,771,152,122,0,No
Complete,Bahawalpur,54,738,726,118,102,0,No
Complete,Bahawalpur,51,678,731,0,0,0,No
Complete,Bahawalpur,47,401,638,98,103,0,No
Complete,Bahawalpur,50,859,835,160,141,0,No
NotComplete,Bahawalpur,49,692,607,101,108,0,No
NotComplete,Bahawalpur,59,870,911,167,190,0,No
NotComplete,Bahawalpur,0,693,771,144,152,0,No
NotComplete,Bahawalpur,54,943,785,140,94,0,No
Complete,Bahawalpur,0,628,835,147,64,0,No
Complete,Bahawalpur,0,588,611,165,70,0,No
NotComplete,Bahawalpur,52,686,631,93,99,0,No
Complete,Bahawalpur,47,671,601,157,116,0,No
Complete,Bahawalpur,24,791,679,128,123,0,No
Complete,Bahawalpur,0,690,794,123,138,0,No
Complete,Bahawalpur,50,807,911,177,160,1,Yes
Complete,Bahawalpur,0,636,582,109,42,0,No
Complete,Bahawalpur,59,896,897,181,173,1,Yes
Complete,Bahawalpur,0,566,843,0,0,0,No
Complete,Bahawalpur,81,779,892,171,176,1,Yes
Complete,Bahawalpur,67,862,903,161,146,1,Yes
Complete,Bahawalpur,50,761,700,148,112,0,No
Complete,Bahawalpur,54,594,782,116,145,0,No
Complete,Bahawalpur,38,657,757,126,127,0,No
Complete,Bahawalpur,47,775,735,110,43,0,No
Complete,Bahawalpur,63,831,808,11,177,0,No
NotComplete,Bahawalpur,78,816,948,178,170,0,No
Complete,Bahawalpur,58,921,909,167,39,1,Yes
Complete,Bahawalpur,50,758,652,85,143,0,No
Complete,Bahawalpur,51,836,800,139,110,0,No
NotComplete,Bahawalpur,58,675,766,145,133,0,No
NotComplete,Bahawalpur,55,694,763,150,160,0,No
Complete,Bahawalpur,0,867,825,0,0,0,No
Complete,Bahawalpur,63,801,812,160,39,0,No
Complete,Bahawalpur,57,777,772,125,140,0,No
NotComplete,Bahawalpur,50,831,763,133,119,0,No
Complete,Bahawalpur,50,808,691,100,136,0,No
Complete,Bahawalpur,79,966,969,181,190,1,Yes
Complete,Bahawalpur,54,943,785,94,140,0,No
Complete,Bahawalpur,46,811,784,156,132,0,No
Complete,Bahawalpur,62,848,913,182,177,1,Yes
Complete,Bahawalpur,52,707,652,123,151,0,No
Complete,Bahawalpur,56,681,829,0,0,0,No
NotComplete,Bahawalpur,56,907,847,148,149,0,No
NotComplete,Bahawalpur,58,927,877,0,0,0,No
Complete,Bahawalpur,47,734,606,116,100,0,No
Complete,Bahawalpur,58,753,908,188,182,1,Yes
Complete,Bahawalpur,58,957,962,172,48,0,No
NotComplete,Bahawalpur,56,749,728,115,126,0,No
Complete,Bahawalpur,58,815,809,144,47,0,No
NotComplete,Bahawalpur,43,705,615,111,123,0,No
Complete,Bahawalpur,0,870,964,177,161,1,Yes
Complete,Bahawalpur,41,733,556,84,46,1,No
Complete,Bahawalpur,0,816,850,160,178,1,Yes
Complete,Bahawalpur,62,865,911,159,161,0,No
Complete,Bahawalpur,47,807,759,123,43,0,No
Complete,Bahawalpur,53,919,774,135,139,0,No
Complete,Bahawalpur,0,780,731,117,151,0,No
NotComplete,Bahawalpur,54,784,867,145,162,0,No
Complete,Bahawalpur,0,610,556,130,113,0,No
Complete,Bahawalpur,56,904,777,153,121,0,No
Complete,Bahawalpur,0,712,819,0,0,0,No
Complete,Bahawalpur,48,650,610,99,0,0,No
Complete,Bahawalpur,50,837,830,156,147,0,No
Complete,Bahawalpur,47,832,879,151,172,0,No
Complete,Bahawalpur,48,821,814,154,137,0,No
Complete,Bahawalpur,51,714,821,145,137,0,No
Complete,Bahawalpur,52,743,810,153,173,0,No
Complete,Bahawalpur,0,643,684,76,142,0,No
Complete,Bahawalpur,64,845,942,181,180,0,No
Complete,Bahawalpur,58,877,869,166,171,0,No
Complete,Bahawalpur,52,641,727,134,142,0,No
Complete,Bahawalpur,0,928,947,181,161,1,Yes
Complete,Bahawalpur,53,793,785,132,43,0,No
Complete,Bahawalpur,0,788,846,157,148,1,Yes
Complete,Bahawalpur,51,882,864,139,162,0,No
Complete,Bahawalpur,52,762,647,81,34,0,No
Complete,Bahawalpur,0,738,750,129,137,0,No
NotComplete,Bahawalpur,0,934,714,127,98,0,No
Complete,Bahawalpur,59,777,855,171,140,0,No
NotComplete,Bahawalpur,0,631,651,88,80,0,No
Complete,Bahawalpur,65,861,865,164,153,1,Yes
Complete,Bahawalpur,58,860,767,128,97,0,No
Complete,Bahawalpur,0,689,606,69,121,0,No
NotComplete,Bahawalpur,57,665,616,0,0,0,No
Complete,Bahawalpur,59,647,734,136,152,0,No
Complete,Bahawalpur,50,786,833,146,42,0,No
Complete,Bahawalpur,51,852,775,159,45,0,No
Complete,Bahawalpur,53,829,727,142,135,0,No
Complete,Bahawalpur,38,625,548,0,0,0,No
Complete,Bahawalpur,0,646,462,82,41,0,No
Complete,Bahawalpur,58,864,959,0,0,1,Yes
Complete,Bahawalpur,0,578,573,94,99,0,No
Complete,Bahawalpur,53,731,802,169,141,0,No
Complete,Bahawalpur,53,805,723,124,161,0,No
Complete,Bahawalpur,41,877,779,146,127,0,No
NotComplete,Bahawalpur,0,746,905,129,93,0,No
Complete,Bahawalpur,56,687,703,162,133,0,No
Complete,Bahawalpur,0,887,823,142,168,0,No
Complete,Bahawalpur,56,756,804,136,154,0,No
Complete,Bahawalpur,0,716,721,134,115,0,No
Complete,Bahawalpur,48,735,793,146,132,0,No
Complete,Bahawalpur,0,816,787,130,149,0,No
Complete,Bahawalpur,46,843,875,138,171,1,Yes
Complete,Bahawalpur,58,784,936,175,189,1,Yes
Complete,Bahawalpur,15,949,873,145,135,1,Yes
Complete,Bahawalpur,68,878,951,183,176,0,No
Complete,Bahawalpur,51,723,543,70,71,0,No
Complete,Bahawalpur,53,957,914,170,160,0,No
NotComplete,Bahawalpur,52,776,783,136,128,0,No
NotComplete,Bahawalpur,54,705,677,151,109,0,No
Complete,Bahawalpur,0,709,730,161,120,0,No
Complete,Bahawalpur,49,820,859,151,132,1,Yes
Complete,Bahawalpur,28,637,840,170,130,0,No
NotComplete,Bahawalpur,52,935,862,161,149,0,No
Complete,Bahawalpur,48,655,701,122,141,0,No
Complete,Bahawalpur,0,763,844,143,48,1,Yes
Complete,Bahawalpur,73,924,841,165,147,0,No
Complete,Bahawalpur,48,843,836,110,38,0,No
Complete,Bahawalpur,68,877,825,138,131,0,No
NotComplete,Bahawalpur,0,574,714,153,121,0,No
Complete,Bahawalpur,46,834,883,122,42,1,Yes
NotComplete,Bahawalpur,55,881,802,147,139,0,No
Complete,Bahawalpur,47,633,559,97,69,0,No
Complete,Bahawalpur,54,704,698,115,37,0,No
Complete,Bahawalpur,54,870,843,139,44,1,Yes
Complete,Bahawalpur,0,660,805,46,74,0,No
NotComplete,Bahawalpur,0,697,635,130,106,0,No
Complete,Bahawalpur,44,746,825,0,0,0,No
Complete,Bahawalpur,53,882,850,129,40,1,Yes
Complete,Bahawalpur,46,840,811,139,37,0,No
Complete,Bahawalpur,36,600,508,75,91,0,No
Complete,Bahawalpur,44,739,811,145,146,0,No
Complete,Bahawalpur,57,919,863,131,184,0,No
Complete,Bahawalpur,51,932,715,130,89,0,No
Complete,Bahawalpur,53,838,819,122,146,0,No
Complete,Bahawalpur,50,612,553,94,99,0,No
Complete,Bahawalpur,50,612,553,94,99,0,No
NotComplete,Bahawalpur,59,743,848,154,132,0,No
NotComplete,Bahawalpur,79,885,974,0,0,0,No
Complete,Bahawalpur,51,860,819,152,138,0,No
Complete,OPEN,53,963,914,189,172,1,Yes
Complete,Bahawalpur,76,897,896,0,0,0,No
Complete,Bahawalpur,58,896,871,135,45,0,No
NotComplete,Bahawalpur,35,721,639,131,93,0,No
NotComplete,Bahawalpur,44,553,448,68,82,0,No
Complete,Bahawalpur,53,942,919,141,43,0,No
Complete,Bahawalpur,87,941,982,185,188,1,Yes
Complete,Bahawalpur,34,669,626,102,110,0,No
Complete,Bahawalpur,58,883,865,155,190,1,Yes
NotComplete,Bahawalpur,45,607,492,78,27,0,No
Complete,Bahawalpur,42,698,830,40,0,0,No
Complete,Bahawalpur,43,834,802,170,32,0,No
Complete,Bahawalpur,46,770,849,0,0,1,No
Complete,Bahawalpur,62,962,962,155,185,0,No
NotComplete,Bahawalpur,73,936,918,180,173,0,No
NotComplete,Bahawalpur,64,834,955,179,173,0,No
Complete,Bahawalpur,54,823,652,137,97,0,No
Complete,Bahawalpur,52,718,710,105,123,0,No
NotComplete,Bahawalpur,0,721,642,114,91,0,No
NotComplete,Bahawalpur,66,723,691,0,0,0,No
Complete,Bahawalpur,63,886,870,161,174,1,Yes
Complete,Bahawalpur,51,732,744,95,130,0,No
Complete,Bahawalpur,53,742,665,91,125,0,No
NotComplete,Bahawalpur,60,672,670,107,142,0,No
Complete,Bahawalpur,46,734,775,139,44,0,No
Complete,Bahawalpur,49,659,485,82,79,0,No
Complete,Bahawalpur,56,840,861,159,145,0,No
Complete,Bahawalpur,53,629,640,131,39,0,No
Complete,Bahawalpur,0,532,471,86,68,0,No
Complete,Bahawalpur,58,862,863,120,194,1,Yes
Complete,Bahawalpur,44,707,600,0,0,1,Yes
Complete,Bahawalpur,61,867,754,154,142,0,No
NotComplete,Bahawalpur,0,742,594,114,109,0,No
Complete,Bahawalpur,52,872,832,142,46,0,No
Complete,Bahawalpur,49,806,793,171,0,0,No
Complete,Bahawalpur,59,874,864,116,41,1,Yes
Complete,Bahawalpur,49,888,869,164,156,0,No
Complete,Bahawalpur,82,910,946,185,175,1,Yes
Complete,Bahawalpur,46,947,881,153,164,0,No
Complete,Bahawalpur,63,882,957,177,169,0,No
Complete,Bahawalpur,0,690,616,128,106,1,Yes
Complete,Bahawalpur,64,776,648,105,40,0,No
Complete,Bahawalpur,54,753,627,136,100,0,No
Complete,Bahawalpur,67,958,911,165,169,0,No
NotComplete,Bahawalpur,0,817,722,0,0,0,No
Complete,Bahawalpur,49,577,598,106,33,0,No
Complete,Bahawalpur,62,901,838,177,128,0,No
Complete,Bahawalpur,48,726,670,118,129,0,No
Complete,Bahawalpur,45,577,657,0,0,0,No
Complete,Bahawalpur,51,818,907,157,175,0,No
NotComplete,Bahawalpur,65,943,888,0,0,0,No
Complete,Bahawalpur,51,611,671,111,101,0,No
Complete,Bahawalpur,63,806,776,149,117,0,No
Complete,Bahawalpur,20,895,846,0,0,0,No
NotComplete,Bahawalpur,84,895,982,174,188,0,No
Complete,Bahawalpur,71,749,770,166,111,0,No
NotComplete,Bahawalpur,47,577,850,128,114,0,No
Complete,Bahawalpur,47,897,740,140,113,0,No
NotComplete,Bahawalpur,55,743,700,122,138,0,No
Complete,Bahawalpur,52,790,602,116,87,0,No
NotComplete,Bahawalpur,0,756,735,0,0,0,No
NotComplete,Bahawalpur,44,907,701,115,137,0,No
Complete,Bahawalpur,0,610,797,77,142,0,No
