Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Received,908.813,OPEN,Baluchistan,0,594,702,0,0,0,0,0,0,0,0,No
Application Fee Received,947.545,OPEN,Khyber Pakhtunkhwa,65,702,867,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,844,OPEN,FATA,50,799,784,129,158,133,142,42,36,1,0,No
Admission Fee Challan Received,825,OPEN,FATA,0,840,780,143,141,141,147,0,0,1,0,No
Application Fee Received,976,Bahawalpur,Punjab,60,859,921,195,131,184,193,43,44,1,0,No
Challan Printed,945,Bahawalpur,Punjab,49,857,906,155,177,0,178,0,163,0,0,No
Application Fee Received,867,Bahawalpur,Punjab,51,850,821,136,144,141,144,44,47,0,0,No
Application Fee Received,897,Bahawalpur,Punjab,64,893,838,141,148,162,43,162,40,0,0,No
Application Fee Received,792,Bahawalpur,Punjab,47,819,755,143,132,113,132,0,0,0,0,No
Application Fee Received,938,Bahawalpur,Punjab,57,915,886,140,165,165,161,46,47,0,0,No
Application Fee Received,1038.727,Bahawalpur,Punjab,84,915,964,179,182,171,177,0,0,0,0,No
Challan Printed,1003,Bahawalpur,Punjab,57,885,931,166,170,183,47,160,45,0,0,No
Application Fee Received,1058.545,Bahawalpur,Punjab,86,890,957,173,180,177,0,0,0,0,0,No
Application Fee Received,1027,Bahawalpur,Punjab,65,893,967,176,173,190,0,180,0,1,0,No
Application Fee Received,964.273,Bahawalpur,Punjab,68,903,906,160,169,47,180,45,177,0,0,No
Admission Fee Challan Received,1059.364,Bahawalpur,Punjab,87,932,962,173,42,48,184,179,180,1,0,Yes
Application Fee Received,1005,Bahawalpur,Punjab,68,962,942,172,171,179,181,43,48,0,0,No
Application Fee Received,780,Bahawalpur,Punjab,50,737,735,138,106,126,140,0,0,0,0,No
Application Fee Received,991,Bahawalpur,Punjab,54,974,942,168,169,180,0,177,0,0,0,No
