Application Status,Domicile,Gender,Province,Admission Test,SSC,Terminal Degree,Document Verified,English Marks,Offered
No,OPEN,male,Khyber Pakhtunkhwa,0,637,667,0,0,No
Complete,Bahawalpur,male,Punjab,59,1050,1100,1,0,Yes
No,Bahawalpur,male,Punjab,60,916,825,0,0,No
Complete,Bahawalpur,male,Punjab,59,803,783,0,0,No
No,Bahawalpur,male,Punjab,44,813,1050,0,0,No
Complete,Bahawalpur,male,Punjab,42,745,614,0,0,No
Complete,OPEN,male,FATA,0,685,689,1,0,No
No,Bahawalpur,male,Punjab,60,814,771,0,0,No
Complete,Bahawalpur,female,Punjab,54,738,726,0,0,No
Complete,Bahawalpur,male,Punjab,49,811,841,1,0,No
Complete,Bahawalpur,female,Punjab,47,401,638,0,0,No
No,Bahawalpur,male,Punjab,50,828,727,0,0,No
Complete,Bahawalpur,male,Punjab,48,629,583,0,0,No
No,Bahawalpur,male,Punjab,46,635,801,0,0,No
Complete,Bahawalpur,male,Punjab,56,766,654,0,0,No
No,Bahawalpur,male,Punjab,60,668,750,0,0,No
No,Bahawalpur,female,Punjab,32,692,579,0,0,No
Complete,Bahawalpur,female,Punjab,59,926,828,0,0,No
Complete,Bahawalpur,male,Punjab,41,764,645,0,0,No
Complete,Bahawalpur,female,Punjab,55,799,850,1,0,Yes
Complete,Bahawalpur,male,Punjab,58,751,595,0,0,No
Complete,Bahawalpur,male,Punjab,51,615,601,0,0,No
Complete,Bahawalpur,female,Punjab,47,671,601,0,0,No
Complete,Bahawalpur,male,Punjab,54,766,893,1,0,Yes
Complete,Bahawalpur,male,Punjab,46,920,773,1,0,No
Complete,Bahawalpur,male,Punjab,36,648,743,0,0,No
Complete,Bahawalpur,female,Punjab,50,687,628,0,0,No
No,Bahawalpur,male,Punjab,47,727,601,0,0,No
No,Bahawalpur,male,Punjab,50,807,911,0,0,No
Complete,Bahawalpur,female,Punjab,47,573,732,0,0,No
Complete,Bahawalpur,female,Punjab,44,713,796,0,0,No
Complete,Bahawalpur,male,Punjab,50,761,700,0,0,No
No,Bahawalpur,female,Punjab,51,853,662,0,0,No
Complete,Bahawalpur,male,Punjab,38,657,757,0,0,No
Complete,Bahawalpur,male,Punjab,50,721,735,0,0,No
Complete,Bahawalpur,male,Punjab,63,831,808,0,0,No
No,Bahawalpur,male,Punjab,48,765,767,0,0,No
No,Bahawalpur,male,Punjab,60,923,888,0,0,No
No,Bahawalpur,male,Punjab,0,0,0,0,0,No
Complete,Bahawalpur,male,Punjab,58,675,766,0,0,No
Complete,Bahawalpur,male,Punjab,49,766,491,0,0,No
Complete,Bahawalpur,male,Punjab,48,573,541,0,0,No
Complete,Bahawalpur,female,Punjab,50,808,691,0,0,No
Complete,Bahawalpur,male,Punjab,52,903,796,0,0,No
Complete,Bahawalpur,male,Punjab,57,756,691,0,0,No
Complete,Bahawalpur,female,Punjab,46,811,784,0,0,No
Complete,Bahawalpur,male,Punjab,56,681,829,1,0,No
Complete,Bahawalpur,female,Punjab,44,826,630,0,0,No
Complete,Bahawalpur,female,Punjab,1,683,562,0,0,No
Complete,Bahawalpur,male,Punjab,58,787,729,0,0,No
Complete,Bahawalpur,female,Punjab,48,811,754,0,0,No
Complete,Bahawalpur,male,Punjab,54,903,813,1,0,No
No,Bahawalpur,male,Punjab,58,815,809,0,0,No
Complete,Bahawalpur,male,Punjab,52,694,622,0,0,No
No,Bahawalpur,male,Punjab,43,705,615,0,0,No
Complete,Bahawalpur,male,Punjab,51,835,802,1,0,No
No,Bahawalpur,male,Punjab,50,770,550,0,0,No
Complete,Bahawalpur,female,Punjab,45,672,595,0,0,No
Complete,Bahawalpur,male,Punjab,41,574,747,0,0,No
Complete,Bahawalpur,female,Punjab,50,762,794,0,0,No
Complete,Bahawalpur,male,Punjab,49,785,662,0,0,No
Complete,Bahawalpur,female,Punjab,43,635,599,0,0,No
No,Bahawalpur,male,Punjab,52,654,478,0,0,No
Complete,Bahawalpur,male,Punjab,49,753,606,1,0,No
Complete,Bahawalpur,male,Punjab,60,847,815,1,0,Yes
Complete,Bahawalpur,male,Punjab,56,563,555,0,0,No
Complete,Bahawalpur,male,Punjab,52,641,727,0,0,No
Complete,Bahawalpur,male,Punjab,65,628,692,0,0,No
Complete,Bahawalpur,female,Punjab,52,877,916,0,0,No
Complete,Bahawalpur,male,Punjab,44,929,723,0,0,No
Complete,Bahawalpur,male,Punjab,52,815,737,0,0,No
No,Bahawalpur,male,Punjab,64,801,780,0,0,No
Complete,Bahawalpur,male,Punjab,31,825,798,0,0,No
No,Bahawalpur,male,Punjab,0,667,640,0,0,No
Complete,Bahawalpur,male,Punjab,60,663,699,0,0,No
No,Bahawalpur,female,Punjab,0,631,651,0,0,No
Complete,Bahawalpur,male,Punjab,51,881,711,0,0,No
Complete,Bahawalpur,male,Punjab,63,764,814,1,0,Yes
Complete,Bahawalpur,male,Punjab,59,647,734,0,0,No
Complete,Bahawalpur,male,Punjab,53,829,727,0,0,No
Complete,Bahawalpur,male,Punjab,50,804,733,0,0,No
No,Bahawalpur,male,Punjab,43,682,693,0,0,No
Complete,Bahawalpur,male,Punjab,33,745,788,0,0,No
Complete,Bahawalpur,male,Punjab,60,813,804,1,0,No
Complete,Bahawalpur,male,Punjab,7,551,747,0,0,No
Complete,Bahawalpur,male,Punjab,53,805,723,0,0,No
Complete,Bahawalpur,male,Punjab,52,705,686,0,0,No
Complete,Bahawalpur,male,Punjab,44,702,581,0,0,No
No,OPEN,male,Punjab,54,630,707,0,0,No
Complete,Bahawalpur,male,Punjab,54,866,631,0,0,No
Complete,Bahawalpur,male,Punjab,50,576,707,0,0,No
Complete,Bahawalpur,male,Punjab,56,687,703,0,0,No
No,Bahawalpur,male,Punjab,50,728,623,0,0,No
No,Bahawalpur,female,Punjab,56,756,804,0,0,No
Complete,Bahawalpur,male,Punjab,60,836,727,0,0,No
Complete,Bahawalpur,male,Punjab,50,748,620,0,0,No
Complete,Bahawalpur,male,Punjab,59,706,722,0,0,No
Complete,Bahawalpur,male,Punjab,52,808,643,0,0,No
No,Bahawalpur,female,Punjab,66,885,903,0,0,No
Complete,Bahawalpur,male,Punjab,36,673,566,0,0,No
Complete,Bahawalpur,male,Punjab,45,479,533,0,0,No
No,Bahawalpur,male,Punjab,42,565,771,0,0,No
Complete,Bahawalpur,male,Punjab,48,672,807,0,0,No
Complete,Bahawalpur,male,Punjab,41,591,533,0,0,No
No,Bahawalpur,male,Punjab,54,705,677,0,0,No
Complete,Bahawalpur,male,Punjab,54,600,634,0,0,No
Complete,Bahawalpur,male,Punjab,55,661,732,0,0,No
Complete,Bahawalpur,male,Punjab,54,706,635,0,0,No
Complete,Bahawalpur,male,Punjab,56,782,758,0,0,No
Complete,Bahawalpur,male,Punjab,40,694,707,0,0,No
Complete,Bahawalpur,male,Punjab,48,852,820,1,0,No
Complete,Bahawalpur,male,Punjab,50,681,614,0,0,No
Complete,Bahawalpur,male,Punjab,52,862,682,0,0,No
Complete,Bahawalpur,male,Punjab,47,666,690,0,0,No
Complete,Bahawalpur,female,Punjab,53,902,855,0,0,No
Complete,Bahawalpur,female,Punjab,58,716,605,0,0,No
No,Bahawalpur,male,Punjab,48,818,662,0,0,No
Complete,Bahawalpur,male,Punjab,53,765,765,0,0,No
Complete,Bahawalpur,male,Punjab,53,532,588,0,0,No
Complete,Bahawalpur,female,Punjab,51,845,882,1,0,Yes
Complete,Bahawalpur,male,Punjab,48,843,836,0,0,No
Complete,Bahawalpur,male,Punjab,47,863,761,0,0,No
Complete,Bahawalpur,male,Punjab,61,840,624,1,0,No
No,Bahawalpur,male,Punjab,0,624,525,0,0,No
Complete,Bahawalpur,female,Punjab,55,881,802,1,0,Yes
Complete,Bahawalpur,male,Punjab,52,886,836,1,0,No
Complete,Bahawalpur,male,Punjab,47,563,867,0,0,No
Complete,Bahawalpur,male,Punjab,32,582,545,0,0,No
No,Bahawalpur,male,Punjab,54,704,698,0,0,No
Complete,Bahawalpur,female,Punjab,54,870,843,1,0,Yes
Complete,Bahawalpur,male,Punjab,47,717,841,1,0,No
Complete,Bahawalpur,male,Punjab,52,767,595,0,0,No
Complete,Bahawalpur,male,Punjab,44,746,825,0,0,No
No,Bahawalpur,male,Punjab,59,792,875,0,0,No
Complete,Bahawalpur,male,Punjab,53,882,850,1,0,Yes
Complete,Bahawalpur,female,Punjab,59,813,795,1,0,No
Complete,Bahawalpur,male,Punjab,48,538,792,0,0,No
Complete,Bahawalpur,female,Punjab,67,899,954,1,0,Yes
Complete,Bahawalpur,male,Punjab,48,610,752,0,0,No
Complete,Bahawalpur,male,Punjab,55,648,713,0,0,No
No,Bahawalpur,male,Punjab,51,716,521,0,0,No
Complete,Bahawalpur,male,Punjab,63,716,708,0,0,No
Complete,Bahawalpur,female,Punjab,55,744,690,0,0,No
No,Bahawalpur,male,Punjab,67,561,609,0,0,No
Complete,Bahawalpur,male,Punjab,67,882,746,0,0,No
Complete,Bahawalpur,male,Punjab,59,766,688,0,0,No
Complete,Bahawalpur,female,Punjab,40,796,705,0,0,No
No,Bahawalpur,male,Punjab,52,694,678,0,0,No
No,Bahawalpur,male,Punjab,56,755,825,0,0,No
Complete,Bahawalpur,male,Punjab,47,640,560,0,0,No
Complete,Bahawalpur,male,Punjab,54,469,482,0,0,No
Complete,Bahawalpur,male,Punjab,39,669,827,0,0,No
No,Bahawalpur,male,Punjab,51,625,664,0,0,No
No,Bahawalpur,male,Punjab,53,775,834,0,0,No
Complete,Bahawalpur,male,Punjab,64,557,772,0,0,No
Complete,Bahawalpur,female,Punjab,56,804,825,1,0,Yes
Complete,Bahawalpur,female,Punjab,50,736,775,0,0,No
Complete,Bahawalpur,female,Punjab,57,836,791,0,0,No
Complete,Bahawalpur,male,Punjab,55,542,762,0,0,No
Complete,Bahawalpur,female,Punjab,50,641,805,1,0,No
Complete,Bahawalpur,male,Punjab,44,553,448,0,0,No
No,Bahawalpur,male,Punjab,40,620,574,0,0,No
Complete,Bahawalpur,male,Punjab,50,745,834,1,0,Yes
Complete,Bahawalpur,male,Punjab,62,804,744,0,0,No
Complete,Bahawalpur,male,Punjab,54,974,913,1,0,Yes
Complete,Bahawalpur,male,Punjab,43,505,496,0,0,No
Complete,Bahawalpur,male,Punjab,58,883,865,1,0,Yes
Complete,Bahawalpur,male,Punjab,44,807,539,0,0,No
Complete,Bahawalpur,male,Punjab,52,837,739,0,0,No
Complete,Bahawalpur,male,Punjab,62,873,791,1,0,No
Complete,Bahawalpur,male,Punjab,64,700,802,1,0,Yes
Complete,Bahawalpur,male,Punjab,42,698,830,0,0,No
Complete,Bahawalpur,male,Punjab,48,706,671,1,0,No
Complete,Bahawalpur,male,Punjab,58,729,726,0,0,No
No,Bahawalpur,male,Punjab,57,671,623,0,0,No
Complete,Bahawalpur,male,Punjab,48,549,609,0,0,No
Complete,Bahawalpur,male,Punjab,46,770,849,1,0,Yes
Complete,Bahawalpur,male,Punjab,49,477,508,0,0,No
Complete,Bahawalpur,male,Punjab,52,836,791,0,0,No
Complete,Bahawalpur,male,Punjab,41,697,730,0,0,No
Complete,Bahawalpur,female,Punjab,54,552,667,0,0,No
Complete,Bahawalpur,male,Punjab,50,697,672,0,0,No
Complete,Bahawalpur,male,Punjab,47,690,608,0,0,No
No,Bahawalpur,male,Punjab,44,493,535,0,0,No
No,Bahawalpur,male,Punjab,35,729,648,0,0,No
Complete,Bahawalpur,male,Punjab,54,836,721,0,0,No
Complete,Bahawalpur,female,Punjab,58,749,842,0,0,No
No,Bahawalpur,male,Punjab,54,823,652,0,0,No
Complete,Bahawalpur,male,Punjab,45,544,772,0,0,No
Complete,Bahawalpur,female,Punjab,52,718,710,0,0,No
Complete,Bahawalpur,female,Punjab,50,651,702,0,0,No
Complete,Bahawalpur,male,Punjab,47,738,902,1,0,Yes
Complete,Bahawalpur,male,Punjab,56,711,568,0,0,No
No,Bahawalpur,male,Punjab,53,716,569,0,0,No
Complete,Bahawalpur,male,Punjab,60,819,694,0,0,No
Complete,Bahawalpur,male,Punjab,57,838,851,0,0,No
Complete,Bahawalpur,male,Punjab,66,723,691,0,0,No
Complete,Bahawalpur,male,Punjab,49,679,680,0,0,No
Complete,Bahawalpur,male,Punjab,58,838,822,1,0,Yes
Complete,OPEN,male,Punjab,46,693,826,0,0,No
Complete,OPEN,male,Punjab,62,917,750,0,0,No
Complete,Bahawalpur,male,Punjab,53,827,853,1,0,Yes
Complete,Bahawalpur,female,Punjab,48,871,791,0,0,No
Complete,Bahawalpur,male,Punjab,50,760,626,0,0,No
Complete,Bahawalpur,male,Punjab,50,634,507,0,0,No
Complete,Bahawalpur,female,Punjab,68,855,924,1,0,Yes
Complete,Bahawalpur,male,Punjab,62,793,753,0,0,No
Complete,Bahawalpur,female,Punjab,50,806,583,0,0,No
Complete,Bahawalpur,male,Punjab,40,639,692,1,0,No
No,Bahawalpur,female,Punjab,54,813,750,0,0,No
Complete,Bahawalpur,male,Punjab,44,778,644,0,0,No
Complete,Bahawalpur,male,Punjab,60,672,670,0,0,No
Complete,Bahawalpur,male,Punjab,60,858,808,1,0,Yes
Complete,Bahawalpur,female,Punjab,56,880,817,1,0,No
