Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Challan Printed,850,OPEN,FATA,0,815,860,148,140,162,177,36,43,0,0,No
Challan Printed,920,OPEN,Khyber Pakhtunkhwa,0,933,930,171,164,175,44,172,44,0,0,No
Admission Fee Challan Received,838,OPEN,FATA,0,847,848,146,167,0,0,0,0,1,0,No
Application Fee Received,836,OPEN,FATA,21,892,841,157,165,150,48,47,0,0,0,No
Admission Fee Challan Received,778,OPEN,FATA,0,860,783,131,151,158,148,0,0,1,0,No
Application Fee Received,896,Bahawalpur,Punjab,49,857,906,155,177,0,178,0,163,0,0,No
Application Fee Received,838,Bahawalpur,Punjab,0,953,843,177,144,162,41,128,45,1,0,Yes
Challan Printed,816,Bahawalpur,Punjab,51,850,821,136,144,141,144,44,47,0,0,No
Application Fee Received,820,Bahawalpur,Punjab,60,916,825,170,149,160,45,111,43,0,0,No
Application Received,-30,Bahawalpur,Punjab,0,0,0,0,0,0,0,0,,0,0,No
Admission Fee Challan Received,867,Bahawalpur,Punjab,0,919,872,172,132,167,0,0,0,1,0,Yes
Challan Printed,766,Bahawalpur,Punjab,60,814,771,152,118,122,0,146,0,0,0,No
Application Fee Received,721,Bahawalpur,Punjab,54,738,726,118,44,102,149,149,41,0,0,No
Application Fee Received,726,Bahawalpur,Punjab,51,678,731,0,0,0,0,0,0,0,0,No
Application Fee Received,633,Bahawalpur,Punjab,47,401,638,98,128,103,45,43,94,0,0,No
Application Fee Received,830,Bahawalpur,Punjab,50,859,835,160,158,141,166,0,0,0,0,No
Challan Printed,592,Bahawalpur,Punjab,49,692,607,101,79,108,104,0,0,0,0,No
Challan Printed,906,Bahawalpur,Punjab,59,870,911,167,172,190,44,144,46,0,0,No
Challan Printed,786,Bahawalpur,Punjab,0,693,771,144,151,152,118,0,0,0,0,No
Challan Printed,780,Bahawalpur,Punjab,54,943,785,140,148,94,152,45,0,0,0,No
Application Fee Received,830.38,Bahawalpur,Punjab,0,628,835,147,78,64,0,0,0,0,0,No
Application Fee Received,606,Bahawalpur,Punjab,0,588,611,165,102,70,46,73,44,0,0,No
Challan Printed,626,Bahawalpur,Punjab,52,686,631,93,93,99,132,42,0,0,0,No
Application Fee Received,596,Bahawalpur,Punjab,47,671,601,157,26,116,46,61,115,0,0,No
Application Fee Received,674,Bahawalpur,Punjab,24,791,679,128,126,123,0,82,0,0,0,No
Application Fee Received,789,Bahawalpur,Punjab,0,690,794,123,152,138,133,138,0,0,0,No
Application Fee Received,906,Bahawalpur,Punjab,50,807,911,177,175,160,49,46,149,1,0,Yes
Application Fee Received,577,Bahawalpur,Punjab,0,636,582,109,42,42,95,94,84,0,0,No
Admission Fee Challan Received,892,Bahawalpur,Punjab,59,896,897,181,177,173,0,0,0,1,0,Yes
Application Fee Received,838.746,Bahawalpur,Punjab,0,566,843,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,882,Bahawalpur,Punjab,81,779,892,171,0,176,0,184,0,1,0,Yes
Application Fee Received,898,Bahawalpur,Punjab,67,862,903,161,179,146,45,0,0,1,0,Yes
Application Fee Received,695,Bahawalpur,Punjab,50,761,700,148,118,112,115,39,43,0,0,No
Application Fee Received,777,Bahawalpur,Punjab,54,594,782,116,161,145,40,139,0,0,0,No
Application Fee Received,752,Bahawalpur,Punjab,38,657,757,126,114,127,78,166,0,0,0,No
Application Fee Received,730,Bahawalpur,Punjab,47,775,735,110,36,43,149,117,139,0,0,No
Application Fee Received,798,Bahawalpur,Punjab,63,831,808,11,121,177,165,49,39,0,0,No
Challan Printed,943,Bahawalpur,Punjab,78,816,948,178,176,170,48,173,43,0,0,No
Application Fee Received,904,Bahawalpur,Punjab,58,921,909,167,169,39,171,43,170,1,0,Yes
Application Fee Received,647,Bahawalpur,Punjab,50,758,652,85,91,143,123,36,0,0,0,No
Application Fee Received,795,Bahawalpur,Punjab,51,836,800,139,161,110,138,0,0,0,0,No
Application Received,761,Bahawalpur,Punjab,58,675,766,145,137,133,43,110,0,0,0,No
Challan Printed,753,Bahawalpur,Punjab,55,694,763,150,106,160,39,133,42,0,0,No
Application Fee Received,820,Bahawalpur,Punjab,0,867,825,0,0,0,0,0,0,0,0,No
Application Fee Received,807,Bahawalpur,Punjab,63,801,812,160,136,39,139,47,131,0,0,No
Application Fee Received,767,Bahawalpur,Punjab,57,777,772,125,129,140,155,45,43,0,0,No
Challan Printed,758,Bahawalpur,Punjab,50,831,763,133,147,119,0,114,0,0,0,No
Application Fee Received,686,Bahawalpur,Punjab,50,808,691,100,147,136,82,0,0,0,0,No
Application Fee Received,959,Bahawalpur,Punjab,79,966,969,181,160,190,188,0,0,1,0,Yes
Application Fee Received,780,Bahawalpur,Punjab,54,943,785,94,148,140,152,45,0,0,0,No
Application Fee Received,779,Bahawalpur,Punjab,46,811,784,156,121,132,43,130,45,0,0,No
Admission Fee Challan Received,908,Bahawalpur,Punjab,62,848,913,182,63,177,161,45,0,1,0,Yes
Application Fee Received,647,Bahawalpur,Punjab,52,707,652,123,46,151,38,113,73,0,0,No
Application Fee Received,824,Bahawalpur,Punjab,56,681,829,0,0,0,0,0,0,0,0,No
Challan Printed,842,Bahawalpur,Punjab,56,907,847,148,47,149,172,142,0,0,0,No
Application Received,872,Bahawalpur,Punjab,58,927,877,0,0,0,0,0,0,0,0,No
Application Fee Received,601,Bahawalpur,Punjab,47,734,606,116,139,100,36,70,28,0,0,No
Admission Fee Challan Received,903,Bahawalpur,Punjab,58,753,908,188,145,182,41,39,163,1,0,Yes
Application Fee Received,957,Bahawalpur,Punjab,58,957,962,172,47,48,179,171,180,0,0,No
Challan Printed,723,Bahawalpur,Punjab,56,749,728,115,46,126,126,142,38,0,0,No
Application Fee Received,799,Bahawalpur,Punjab,58,815,809,144,143,47,157,39,142,0,0,No
Application Received,610,Bahawalpur,Punjab,43,705,615,111,111,123,86,39,0,0,0,No
Admission Fee Challan Received,979,Bahawalpur,Punjab,0,870,964,177,177,161,47,193,46,1,0,Yes
Admission Fee Challan Received,551,Bahawalpur,Punjab,41,733,556,84,77,46,92,91,43,1,0,No
Application Fee Received,845,Bahawalpur,Punjab,0,816,850,160,139,178,127,43,46,1,0,Yes
Application Fee Received,906,Bahawalpur,Punjab,62,865,911,159,186,161,146,46,44,0,0,No
Application Fee Received,754,Bahawalpur,Punjab,47,807,759,123,131,43,134,45,146,0,0,No
Application Fee Received,769,Bahawalpur,Punjab,53,919,774,135,102,139,166,45,42,0,0,No
Application Fee Received,721,Bahawalpur,Punjab,0,780,731,117,126,151,44,127,0,0,0,No
Challan Printed,862,Bahawalpur,Punjab,54,784,867,145,137,162,178,0,0,0,0,No
Application Fee Received,551,Bahawalpur,Punjab,0,610,556,130,93,113,0,0,0,0,0,No
Application Fee Received,772,Bahawalpur,Punjab,56,904,777,153,140,121,145,0,0,0,0,No
Application Fee Received,814.343,Bahawalpur,Punjab,0,712,819,0,0,0,0,0,0,0,0,No
Application Fee Received,605,Bahawalpur,Punjab,48,650,610,99,0,0,0,0,0,0,0,No
Application Fee Received,825,Bahawalpur,Punjab,50,837,830,156,133,147,45,149,0,0,0,No
Application Fee Received,874,Bahawalpur,Punjab,47,832,879,151,143,172,177,0,0,0,0,No
Application Fee Received,809,Bahawalpur,Punjab,48,821,814,154,175,137,143,0,0,0,0,No
Application Fee Received,816,Bahawalpur,Punjab,51,714,821,145,136,137,147,44,42,0,0,No
Application Fee Received,805,Bahawalpur,Punjab,52,743,810,153,114,173,138,0,0,0,0,No
Application Fee Received,674,Bahawalpur,Punjab,0,643,684,76,130,142,35,132,36,0,0,No
Application Fee Received,937,Bahawalpur,Punjab,64,845,942,181,160,180,45,176,0,0,0,No
Application Fee Received,864,Bahawalpur,Punjab,58,877,869,166,159,171,45,146,43,0,0,No
Application Fee Received,722,Bahawalpur,Punjab,52,641,727,134,120,142,40,140,27,0,0,No
Admission Fee Challan Received,962,Bahawalpur,Punjab,0,928,947,181,177,161,183,47,42,1,0,Yes
