Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,hsc_opt_6_total,Document Verified,English Marks,Offered
Challan Printed,972,OPEN,FATA,0,763,832,145,128,168,42,165,46,50,0,145,No
Challan Printed,776,Bahawalpur,Punjab,0,821,659,105,132,88,0,115,0,0,0,132,No
Admission Fee Challan Received,860,OPEN,FATA,0,818,734,136,106,38,128,132,43,50,1,136,No
Challan Printed,924,OPEN,FATA,0,740,772,157,0,0,0,0,0,0,0,157,No
Application Fee Received,663,Bahawalpur,Punjab,0,677,575,95,94,113,93,0,0,0,0,93,No
Application Fee Received,662.833,Bahawalpur,Punjab,0,474,617,57,25,0,0,0,0,0,0,0,No
Application Fee Received,1050,Bahawalpur,Punjab,61,734,896,159,44,179,166,0,0,0,0,159,No
Challan Printed,775.817,Bahawalpur,Punjab,56,698,732,80,48,51,80,87,27,50,0,48,No
Application Fee Received,1135,Bahawalpur,Punjab,65,893,967,176,173,190,0,180,0,0,1,173,Yes
Challan Printed,732,Bahawalpur,Punjab,0,705,665,72,32,0,0,0,0,0,0,72,No
Application Fee Received,640,Bahawalpur,Punjab,46,663,595,104,100,62,124,42,30,50,0,0,No
Application Received,782.083,Bahawalpur,Punjab,0,687,802,61,0,0,0,0,0,0,0,0,No
Challan Printed,811,Bahawalpur,Punjab,45,761,671,145,38,28,104,125,109,200,0,145,No
Challan Printed,990,Bahawalpur,Punjab,50,859,835,160,158,141,166,0,0,0,0,160,No
Challan Printed,932,Bahawalpur,Punjab,54,943,785,140,148,94,152,45,0,0,0,152,No
Application Fee Received,980,Bahawalpur,Punjab,0,902,830,163,115,162,155,44,44,50,0,155,No
Challan Printed,680,Bahawalpur,Punjab,50,521,588,81,102,106,46,84,40,50,0,102,No
Application Fee Received,956,OPEN,Sind,44,825,840,126,160,28,159,41,169,200,0,126,No
