Application Status,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_3_obtained,Document Verified,Offered
Complete,0,677,575,95,94,113,0,No
NotComplete,40,482,509,69,86,93,0,No
Complete,50,859,835,160,158,141,1,Yes
Complete,32,692,579,146,100,65,0,No
Complete,55,799,850,179,126,162,1,Yes
Complete,0,588,611,165,102,70,0,No
NotComplete,0,651,540,56,119,120,0,No
Complete,38,657,757,126,114,127,1,Yes
NotComplete,24,449,452,58,0,0,0,No
NotComplete,55,694,763,150,106,160,0,No
Complete,0,909,634,110,117,111,1,No
Complete,41,779,655,118,80,135,1,No
NotComplete,0,844,779,39,140,28,0,No
Complete,0,663,744,0,0,0,1,Yes
Complete,0,567,533,81,34,69,0,No
Complete,0,566,548,68,73,112,0,No
Complete,0,753,809,142,44,157,0,No
Complete,54,808,658,130,125,90,0,No
Complete,46,723,784,144,40,45,0,No
Complete,46,853,570,73,113,78,0,No
NotComplete,52,694,622,95,172,84,0,No
NotComplete,43,705,615,111,111,123,0,No
NotComplete,0,780,731,117,126,151,0,No
Complete,56,904,777,153,140,121,0,No
NotComplete,74,929,953,167,186,174,0,No
Complete,49,654,572,87,77,83,0,No
NotComplete,50,788,671,94,135,106,0,No
Complete,60,812,626,114,111,38,0,No
Complete,42,826,646,102,118,138,1,No
Complete,51,704,660,93,151,44,1,Yes
Complete,0,631,651,88,0,80,1,No
Complete,41,949,820,163,158,127,0,No
Complete,65,861,865,164,149,153,1,Yes
Complete,52,546,680,134,93,113,0,No
Complete,55,709,743,143,130,136,0,No
Complete,0,681,582,82,74,118,0,No
Complete,62,801,708,129,108,41,0,No
Complete,36,521,610,129,123,0,0,No
Complete,49,676,583,72,112,92,0,No
Complete,0,473,593,66,119,29,0,No
Complete,48,853,879,142,171,154,1,Yes
Complete,73,963,950,166,171,179,1,Yes
Complete,52,901,851,165,139,153,1,Yes
Complete,58,859,640,83,119,100,0,No
Complete,42,843,690,110,39,39,0,No
Complete,53,684,576,105,77,69,0,No
Complete,48,815,907,175,45,146,1,Yes
Complete,42,772,688,115,29,38,1,No
Complete,0,865,694,132,86,125,1,Yes
Complete,0,896,799,155,135,118,1,Yes
Complete,55,845,634,97,116,98,0,No
Complete,59,857,770,140,0,0,1,No
Complete,0,617,799,0,0,0,0,No
NotComplete,51,809,623,101,0,0,0,No
Complete,60,590,734,153,44,34,0,No
Complete,64,886,923,156,174,171,1,Yes
Complete,59,792,875,162,43,161,0,No
Complete,56,738,802,0,0,0,1,Yes
NotComplete,61,786,666,150,123,92,0,No
Complete,40,731,654,91,47,38,1,No
Complete,0,759,619,152,36,28,0,No
Complete,45,638,588,143,33,96,0,No
Complete,0,729,632,127,90,42,0,No
Complete,41,672,717,152,39,38,1,No
Complete,0,555,456,73,68,31,0,No
NotComplete,74,502,753,80,80,80,0,No
NotComplete,0,669,563,142,39,87,0,No
Complete,0,695,708,114,36,156,0,No
Complete,54,781,733,152,40,33,1,Yes
Complete,54,794,804,166,170,134,1,Yes
NotComplete,44,843,736,146,138,132,0,No
Complete,64,926,965,186,43,190,1,Yes
Complete,44,721,559,57,107,128,0,No
Complete,70,937,952,179,42,186,1,Yes
Complete,61,769,684,127,42,115,1,No
Complete,35,721,639,131,107,93,0,No
Complete,0,550,566,82,103,80,0,No
Complete,0,681,529,81,78,133,0,No
Complete,40,631,516,95,33,30,0,No
Complete,0,689,711,163,29,153,1,Yes
Complete,34,669,626,102,30,110,0,No
Complete,68,887,833,163,163,150,1,Yes
Complete,0,739,539,118,105,73,0,No
Complete,56,905,855,0,0,0,0,No
Complete,0,594,495,68,82,32,0,No
Complete,47,651,599,111,106,84,0,No
Complete,0,691,640,91,128,97,0,No
Complete,0,671,535,32,113,28,0,No
Complete,0,714,608,81,107,33,0,No
Complete,100,661,648,116,111,109,0,No
Complete,0,689,554,98,35,48,0,No
NotComplete,50,549,522,91,67,128,0,No
NotComplete,0,721,642,114,98,91,0,No
Complete,59,630,717,111,153,115,1,No
Complete,0,637,561,110,28,19,1,No
Complete,0,827,562,107,107,66,0,No
NotComplete,0,628,709,0,0,0,0,No
Complete,0,680,579,105,88,94,0,No
Complete,52,659,645,145,43,107,0,No
Complete,39,557,512,102,81,66,0,No
NotComplete,0,494,519,92,39,95,0,No
Complete,59,802,727,146,170,102,1,Yes
Complete,49,555,488,72,43,103,1,No
NotComplete,54,784,740,138,120,121,0,No
Complete,58,858,848,0,0,0,1,Yes
Complete,0,494,533,97,30,70,0,No
Complete,0,532,471,86,77,68,0,No
Complete,46,596,564,114,94,38,0,No
Complete,57,567,601,103,62,28,0,No
Complete,0,704,649,0,0,0,0,No
NotComplete,54,716,582,90,91,86,0,No
Complete,27,568,567,86,118,89,0,No
Complete,23,615,628,56,28,37,0,No
Complete,45,759,619,126,108,118,0,No
Complete,43,581,520,93,82,72,0,No
NotComplete,64,887,938,177,161,169,0,No
Complete,52,802,889,165,44,42,0,No
Complete,41,672,772,166,150,103,1,Yes
Complete,61,714,706,107,113,110,0,No
Complete,71,791,744,159,110,43,1,Yes
NotComplete,0,641,748,0,0,0,0,No
Complete,48,629,585,53,117,132,0,No
Complete,0,611,545,76,75,96,0,No
NotComplete,0,845,619,118,89,106,0,No
Complete,0,639,694,103,138,95,1,Yes
Complete,50,720,805,40,69,62,1,Yes
Complete,61,769,625,108,119,92,0,No
Complete,65,708,541,136,62,116,0,No
Complete,47,725,723,132,117,125,0,No
NotComplete,0,552,556,64,70,83,0,No
Complete,0,800,709,0,0,0,0,No
NotComplete,0,837,617,142,90,76,0,No
Complete,52,838,665,147,111,111,0,No
Complete,46,666,638,120,96,142,0,No
Complete,68,931,850,157,176,155,1,Yes
Complete,0,475,638,68,40,26,0,No
Complete,24,729,561,98,107,93,0,No
Complete,48,806,731,142,37,106,1,Yes
Complete,51,611,671,111,90,101,0,No
NotComplete,84,895,982,174,182,188,0,No
Complete,0,760,733,157,130,116,1,Yes
Complete,67,860,836,0,0,0,1,Yes
Complete,38,712,696,107,111,142,0,No
NotComplete,50,578,552,123,71,78,0,No
Complete,45,617,583,87,31,89,0,No
NotComplete,57,618,552,90,33,89,0,No
Complete,49,789,683,131,100,135,0,No
Complete,0,677,464,101,70,62,0,No
NotComplete,48,718,782,155,139,135,0,No
Complete,42,817,787,148,43,38,0,No
Admission Fee NotComplete,47,580,643,146,80,154,0,No
Complete,41,788,631,112,117,106,0,No
Complete,0,758,602,79,137,90,1,No
Complete,59,944,732,138,100,146,0,No
Complete,0,826,690,118,99,96,0,No
Complete,60,972,879,166,154,152,1,Yes
Complete,48,923,847,173,136,150,1,Yes
Complete,43,848,733,146,122,136,1,Yes
NotComplete,0,515,705,130,0,0,0,No
Complete,63,944,934,172,174,170,1,Yes
NotComplete,0,729,602,83,132,81,0,No
Complete,47,925,660,130,97,96,1,Yes
NotComplete,44,908,796,165,129,162,0,No
Complete,47,825,625,140,102,79,0,No
Complete,57,919,859,164,165,133,1,Yes
Complete,0,732,639,123,101,98,0,No
Complete,11,656,669,60,37,93,1,No
Complete,53,726,618,0,0,0,0,No
Complete,50,661,552,124,87,36,0,No
NotComplete,0,703,616,107,109,98,0,No
NotComplete,0,767,684,164,118,117,0,No
Complete,0,592,528,77,39,36,0,No
NotComplete,53,602,584,104,139,98,0,No
NotComplete,40,587,544,137,35,88,0,No
Complete,0,771,766,104,150,126,0,No
Complete,75,844,816,160,170,137,1,Yes
Complete,0,645,508,69,82,62,0,No
Complete,48,819,703,102,42,45,0,No
Complete,47,674,638,40,50,21,0,No
Complete,59,686,565,115,73,84,1,No
Complete,34,822,540,69,79,76,0,No
NotComplete,0,738,585,104,85,106,0,No
Complete,0,716,643,119,101,80,0,No
Complete,62,929,996,184,44,196,0,No
Complete,0,573,693,86,161,0,0,No
Complete,0,650,677,133,39,169,0,No
Complete,52,823,606,130,100,65,1,No
NotComplete,46,830,624,0,0,0,0,No
Complete,41,705,652,124,91,133,1,No
Complete,43,626,479,73,32,91,0,No
Complete,0,586,699,76,178,129,1,No
Complete,38,780,567,90,88,90,0,No
Complete,45,739,649,136,41,121,0,No
NotComplete,58,940,852,167,161,42,0,No
Complete,58,906,918,166,166,169,1,Yes
Complete,0,609,683,157,132,42,1,No
NotComplete,0,532,484,64,71,80,0,No
NotComplete,39,585,566,102,62,123,0,No
NotComplete,48,620,739,126,129,140,0,No
Complete,40,568,504,56,106,95,0,No
Complete,0,651,681,81,33,123,1,No
Complete,38,800,852,150,154,159,0,No
NotComplete,65,818,884,168,45,139,0,No
Complete,42,507,549,80,69,78,0,No
Complete,62,928,971,189,171,179,1,Yes
Complete,0,716,721,116,141,130,0,No
NotComplete,40,887,813,152,44,167,0,No
Complete,50,863,752,143,130,146,1,No
Complete,58,718,697,158,135,107,1,No
NotComplete,44,698,754,138,140,155,0,No
Complete,54,547,696,153,0,126,1,Yes
NotComplete,0,809,658,0,0,0,0,No
Complete,0,706,589,89,90,100,0,No
Complete,40,553,613,88,84,114,0,No
Complete,0,889,936,0,0,0,1,Yes
Complete,54,576,773,107,47,43,1,No
Complete,41,902,588,108,120,126,0,No
Complete,51,774,658,89,106,107,1,Yes
Complete,0,631,637,98,124,94,0,No
Complete,0,553,488,85,57,83,0,No
Complete,24,657,677,109,139,93,1,Yes
Complete,43,833,657,88,130,98,1,Yes
NotComplete,0,601,594,100,40,42,0,No
Complete,50,684,696,114,91,121,0,No
Complete,0,466,627,67,34,20,0,No
Complete,0,605,549,100,111,66,0,No
Complete,52,936,872,134,171,173,1,Yes
Complete,0,641,424,69,66,60,0,No
NotComplete,36,714,689,113,112,109,0,No
Complete,56,921,765,161,118,139,0,No
Complete,86,804,929,0,0,0,1,Yes
