Application Status,Terminal Degree,Document Verified,Offered
NotComplete,702,0,No
Complete,575,1,Yes
Complete,611,0,No
Complete,606,1,Yes
Complete,540,1,Yes
Complete,620,1,Yes
Complete,547,1,No
Complete,562,1,Yes
Complete,548,0,No
Complete,626,0,No
Complete,522,0,No
Complete,533,0,No
NotComplete,593,0,No
Complete,480,0,No
NotComplete,605,0,No
Complete,578,1,No
Complete,552,0,No
Complete,569,1,Yes
Complete,517,1,No
Complete,825,1,Yes
Complete,562,0,No
Complete,508,0,No
Complete,513,1,Yes
Complete,588,1,Yes
Complete,563,1,Yes
NotComplete,880,0,No
NotComplete,624,0,No
Complete,652,1,Yes
NotComplete,603,0,No
Complete,554,1,Yes
Complete,544,0,No
Complete,501,0,No
Complete,576,0,No
Complete,539,1,Yes
Complete,495,1,Yes
Complete,495,0,No
Complete,502,0,No
Complete,798,1,Yes
Complete,608,1,Yes
Complete,772,0,No
Complete,618,0,No
Complete,562,0,No
Complete,645,1,Yes
Complete,512,1,Yes
Complete,465,0,No
Complete,588,1,Yes
NotComplete,519,0,No
Complete,748,1,Yes
Complete,569,1,Yes
Complete,514,0,No
NotComplete,734,0,No
Complete,657,1,Yes
Complete,533,0,No
NotComplete,782,0,No
Complete,732,0,No
Complete,628,1,Yes
Complete,451,0,No
Complete,740,1,Yes
NotComplete,500,0,No
Complete,677,1,No
Complete,463,0,No
Complete,482,0,No
Complete,725,1,Yes
Complete,577,1,Yes
NotComplete,619,0,No
Complete,472,0,No
NotComplete,611,0,No
NotComplete,657,0,No
Complete,494,1,No
NotComplete,567,0,No
Complete,559,1,No
NotComplete,834,0,No
Complete,576,1,Yes
NotComplete,753,0,No
Complete,537,0,No
Complete,700,0,No
Complete,787,1,Yes
Complete,670,1,Yes
Complete,643,1,Yes
Complete,690,1,Yes
NotComplete,602,0,No
Complete,543,0,No
Complete,660,1,Yes
Complete,660,1,Yes
Complete,581,1,Yes
NotComplete,557,0,No
Complete,455,0,No
Complete,542,0,No
Complete,634,0,No
Complete,509,0,No
NotComplete,721,0,No
Complete,547,0,No
Complete,632,0,No
NotComplete,544,0,No
Complete,766,0,No
Complete,460,0,No
Complete,500,0,No
Complete,568,1,Yes
Complete,546,1,No
Complete,679,1,Yes
Complete,633,0,No
Complete,619,1,Yes
Complete,482,0,No
Complete,483,0,No
Complete,649,1,Yes
NotComplete,672,0,No
Complete,669,1,Yes
Complete,504,0,No
Complete,681,1,Yes
NotComplete,490,0,No
Complete,592,0,No
Complete,589,0,No
Complete,613,1,Yes
Complete,509,1,Yes
Complete,489,1,No
Complete,601,1,Yes
Complete,533,0,No
Complete,773,1,Yes
Complete,527,0,No
Complete,532,0,No
Complete,488,0,No
NotComplete,495,0,No
Complete,513,0,No
Complete,549,0,No
Complete,424,1,No
NotComplete,795,0,No
NotComplete,597,0,No
NotComplete,684,0,No
Complete,575,0,No
Complete,512,0,No
NotComplete,743,0,No
Complete,615,0,No
NotComplete,596,0,No
Complete,694,0,No
Complete,566,0,No
Complete,545,0,No
NotComplete,660,0,No
Complete,699,1,No
Complete,717,1,Yes
Complete,659,1,Yes
Complete,669,0,No
Complete,499,1,Yes
Complete,662,0,No
Complete,799,1,Yes
NotComplete,545,0,No
Complete,499,0,No
Complete,609,0,No
Complete,661,0,No
Complete,419,0,No
NotComplete,512,0,No
Complete,601,1,No
NotComplete,520,0,No
Complete,487,0,No
Complete,674,0,No
Complete,636,1,Yes
Complete,583,1,Yes
NotComplete,531,0,No
Complete,501,0,No
NotComplete,480,0,No
Complete,637,1,No
NotComplete,491,0,No
NotComplete,573,0,No
Complete,579,1,Yes
Complete,606,1,Yes
NotComplete,692,0,No
NotComplete,879,0,No
Complete,603,0,No
NotComplete,518,0,No
Complete,539,1,Yes
Complete,764,1,Yes
Complete,614,0,No
Complete,717,1,Yes
Complete,468,0,No
Complete,800,0,No
Complete,735,1,No
Complete,638,1,Yes
Complete,601,0,No
NotComplete,682,0,No
Complete,692,1,Yes
Complete,535,1,No
