Application Status,Admission Test,SSC,Terminal Degree,Document Verified,Offered
NotComplete,0,637,667,0,No
Complete,59,1050,1100,1,Yes
NotComplete,60,916,825,0,No
Complete,59,803,783,0,No
NotComplete,44,813,1050,0,No
Complete,42,745,614,0,No
Complete,0,685,689,1,No
NotComplete,60,814,771,0,No
Complete,54,738,726,0,No
Complete,49,811,841,1,No
Complete,47,401,638,0,No
NotComplete,50,828,727,0,No
Complete,48,629,583,0,No
NotComplete,46,635,801,0,No
Complete,56,766,654,0,No
NotComplete,60,668,750,0,No
NotComplete,32,692,579,0,No
Complete,59,926,828,0,No
Complete,41,764,645,0,No
Complete,55,799,850,1,Yes
Complete,58,751,595,0,No
Complete,51,615,601,0,No
Complete,47,671,601,0,No
Complete,54,766,893,1,Yes
Complete,46,920,773,1,No
Complete,36,648,743,0,No
Complete,50,687,628,0,No
NotComplete,47,727,601,0,No
NotComplete,50,807,911,0,No
Complete,47,573,732,0,No
Complete,44,713,796,0,No
Complete,50,761,700,0,No
NotComplete,51,853,662,0,No
Complete,38,657,757,0,No
Complete,50,721,735,0,No
Complete,63,831,808,0,No
NotComplete,48,765,767,0,No
NotComplete,60,923,888,0,No
NotComplete,0,0,0,0,No
Complete,58,675,766,0,No
Complete,49,766,491,0,No
Complete,48,573,541,0,No
Complete,50,808,691,0,No
Complete,52,903,796,0,No
Complete,57,756,691,0,No
Complete,46,811,784,0,No
Complete,56,681,829,1,No
Complete,44,826,630,0,No
Complete,1,683,562,0,No
Complete,58,787,729,0,No
Complete,48,811,754,0,No
Complete,54,903,813,1,No
NotComplete,58,815,809,0,No
Complete,52,694,622,0,No
NotComplete,43,705,615,0,No
Complete,51,835,802,1,No
NotComplete,50,770,550,0,No
Complete,45,672,595,0,No
Complete,41,574,747,0,No
Complete,50,762,794,0,No
Complete,49,785,662,0,No
Complete,43,635,599,0,No
NotComplete,52,654,478,0,No
Complete,49,753,606,1,No
Complete,60,847,815,1,Yes
Complete,56,563,555,0,No
Complete,52,641,727,0,No
Complete,65,628,692,0,No
Complete,52,877,916,0,No
Complete,44,929,723,0,No
Complete,52,815,737,0,No
NotComplete,64,801,780,0,No
Complete,31,825,798,0,No
NotComplete,0,667,640,0,No
Complete,60,663,699,0,No
NotComplete,0,631,651,0,No
Complete,51,881,711,0,No
Complete,63,764,814,1,Yes
Complete,59,647,734,0,No
Complete,53,829,727,0,No
Complete,50,804,733,0,No
NotComplete,43,682,693,0,No
Complete,33,745,788,0,No
Complete,60,813,804,1,No
Complete,7,551,747,0,No
Complete,53,805,723,0,No
Complete,52,705,686,0,No
Complete,44,702,581,0,No
NotComplete,54,630,707,0,No
Complete,54,866,631,0,No
Complete,50,576,707,0,No
Complete,56,687,703,0,No
NotComplete,50,728,623,0,No
NotComplete,56,756,804,0,No
Complete,60,836,727,0,No
Complete,50,748,620,0,No
Complete,59,706,722,0,No
Complete,52,808,643,0,No
NotComplete,66,885,903,0,No
Complete,36,673,566,0,No
Complete,45,479,533,0,No
NotComplete,42,565,771,0,No
Complete,48,672,807,0,No
Complete,41,591,533,0,No
NotComplete,54,705,677,0,No
Complete,54,600,634,0,No
Complete,55,661,732,0,No
Complete,54,706,635,0,No
Complete,56,782,758,0,No
Complete,40,694,707,0,No
Complete,48,852,820,1,No
Complete,50,681,614,0,No
Complete,52,862,682,0,No
Complete,47,666,690,0,No
Complete,53,902,855,0,No
Complete,58,716,605,0,No
NotComplete,48,818,662,0,No
Complete,53,765,765,0,No
Complete,53,532,588,0,No
Complete,51,845,882,1,Yes
Complete,48,843,836,0,No
Complete,47,863,761,0,No
Complete,61,840,624,1,No
NotComplete,0,624,525,0,No
Complete,55,881,802,1,Yes
Complete,52,886,836,1,No
Complete,47,563,867,0,No
Complete,32,582,545,0,No
NotComplete,54,704,698,0,No
Complete,54,870,843,1,Yes
Complete,47,717,841,1,No
Complete,52,767,595,0,No
Complete,44,746,825,0,No
NotComplete,59,792,875,0,No
Complete,53,882,850,1,Yes
Complete,59,813,795,1,No
Complete,48,538,792,0,No
Complete,67,899,954,1,Yes
Complete,48,610,752,0,No
Complete,55,648,713,0,No
NotComplete,51,716,521,0,No
Complete,63,716,708,0,No
Complete,55,744,690,0,No
NotComplete,67,561,609,0,No
Complete,67,882,746,0,No
Complete,59,766,688,0,No
Complete,40,796,705,0,No
NotComplete,52,694,678,0,No
NotComplete,56,755,825,0,No
Complete,47,640,560,0,No
Complete,54,469,482,0,No
Complete,39,669,827,0,No
NotComplete,51,625,664,0,No
NotComplete,53,775,834,0,No
Complete,64,557,772,0,No
Complete,56,804,825,1,Yes
Complete,50,736,775,0,No
Complete,57,836,791,0,No
Complete,55,542,762,0,No
Complete,50,641,805,1,No
Complete,44,553,448,0,No
NotComplete,40,620,574,0,No
Complete,50,745,834,1,Yes
Complete,62,804,744,0,No
Complete,54,974,913,1,Yes
Complete,43,505,496,0,No
Complete,58,883,865,1,Yes
Complete,44,807,539,0,No
Complete,52,837,739,0,No
Complete,62,873,791,1,No
Complete,64,700,802,1,Yes
Complete,42,698,830,0,No
Complete,48,706,671,1,No
Complete,58,729,726,0,No
NotComplete,57,671,623,0,No
Complete,48,549,609,0,No
Complete,46,770,849,1,Yes
Complete,49,477,508,0,No
Complete,52,836,791,0,No
Complete,41,697,730,0,No
Complete,54,552,667,0,No
Complete,50,697,672,0,No
Complete,47,690,608,0,No
NotComplete,44,493,535,0,No
NotComplete,35,729,648,0,No
Complete,54,836,721,0,No
Complete,58,749,842,0,No
NotComplete,54,823,652,0,No
Complete,45,544,772,0,No
Complete,52,718,710,0,No
Complete,50,651,702,0,No
Complete,47,738,902,1,Yes
Complete,56,711,568,0,No
NotComplete,53,716,569,0,No
Complete,60,819,694,0,No
Complete,57,838,851,0,No
Complete,66,723,691,0,No
Complete,49,679,680,0,No
Complete,58,838,822,1,Yes
Complete,46,693,826,0,No
Complete,62,917,750,0,No
Complete,53,827,853,1,Yes
Complete,48,871,791,0,No
Complete,50,760,626,0,No
Complete,50,634,507,0,No
Complete,68,855,924,1,Yes
Complete,62,793,753,0,No
Complete,50,806,583,0,No
Complete,40,639,692,1,No
NotComplete,54,813,750,0,No
Complete,44,778,644,0,No
Complete,60,672,670,0,No
Complete,60,858,808,1,Yes
Admission Fee NotComplete,56,880,817,1,No
Complete,62,591,800,0,No
Complete,53,552,800,1,No
Complete,49,659,485,0,No
NotComplete,51,847,710,0,No
NotComplete,57,613,532,0,No
Complete,46,803,721,1,No
Complete,19,774,633,0,No
Complete,40,475,786,0,No
Complete,52,678,557,0,No
Complete,49,629,587,0,No
Complete,45,759,619,0,No
NotComplete,20,736,533,0,No
Complete,49,806,793,0,No
Complete,59,776,782,0,No
Complete,52,802,889,0,No
Complete,42,549,598,1,No
Complete,40,546,604,1,No
Complete,52,844,812,1,No
Complete,64,883,747,0,No
NotComplete,70,718,635,0,No
Complete,68,761,583,0,No
Complete,71,791,744,1,No
