Application Status,Admission Test,Admission Test 2,Terminal Degree,Document Verified,Offered
NotComplete,0,0,702,0,No
Complete,65,65,867,0,No
Complete,50,0,784,1,No
Complete,0,0,780,1,No
Complete,60,0,921,1,No
NotComplete,49,0,906,0,No
Complete,51,0,821,0,No
Complete,64,0,838,0,No
Complete,47,0,755,0,No
Complete,57,0,886,0,No
Complete,84,84,964,0,No
NotComplete,57,0,931,0,No
Complete,86,86,957,0,No
Complete,65,65,967,1,No
Complete,68,68,906,0,No
Complete,87,87,962,1,Yes
Complete,68,0,942,0,No
Complete,50,0,735,0,No
Complete,54,0,942,0,No
Complete,48,0,825,0,No
Complete,51,0,731,0,No
NotComplete,57,0,878,0,No
Complete,80,80,992,1,Yes
Complete,60,0,914,0,No
Complete,46,0,730,0,No
Complete,59,0,911,0,No
Complete,83,83,983,1,Yes
Complete,56,0,961,1,No
Complete,55,0,928,0,No
Complete,56,0,903,0,No
Complete,52,0,957,0,No
Complete,59,0,828,0,No
Complete,60,0,976,0,No
Complete,66,0,896,0,No
Complete,56,0,928,0,No
Complete,52,0,968,1,No
Complete,50,42,899,0,No
NotComplete,50,0,588,0,No
Complete,68,63,946,0,No
Complete,44,0,840,0,No
Complete,59,0,897,0,No
Complete,55,0,798,0,No
Complete,81,0,892,0,No
Complete,50,0,720,0,No
Complete,67,0,903,0,No
Complete,51,0,662,0,No
Complete,53,0,751,0,No
Complete,38,0,757,0,No
Complete,86,86,967,1,Yes
Complete,73,73,945,1,No
Complete,75,0,996,0,No
Complete,61,0,982,1,Yes
Complete,75,69,968,1,Yes
Complete,78,78,948,1,No
Complete,60,0,978,1,Yes
Complete,58,0,909,0,No
Complete,58,0,803,0,No
Complete,44,0,713,0,No
Complete,51,32,910,0,No
NotComplete,43,0,805,0,No
Complete,51,0,800,0,No
NotComplete,58,0,766,0,No
Complete,48,0,819,0,No
Complete,66,0,922,0,No
Complete,70,0,811,0,No
Complete,63,0,812,0,No
Complete,80,0,907,0,No
Complete,52,0,696,0,No
Complete,62,0,896,0,No
Complete,55,0,929,0,No
Complete,60,0,928,0,No
Complete,79,79,969,1,Yes
Complete,62,0,913,0,No
NotComplete,53,0,974,0,No
NotComplete,58,58,877,0,No
Complete,47,0,606,0,No
Complete,58,0,908,0,No
Complete,52,0,905,0,No
Complete,51,0,721,0,No
Complete,82,82,901,0,No
Complete,56,0,903,0,No
Complete,52,0,888,0,No
Complete,58,0,962,0,No
Complete,57,57,934,0,No
Complete,50,0,826,0,No
Complete,48,0,754,0,No
Complete,54,54,882,0,No
NotComplete,58,0,809,0,No
Complete,61,0,874,0,No
Complete,60,0,883,0,No
Complete,62,62,911,0,No
Complete,47,0,759,0,No
Complete,77,0,972,1,Yes
Complete,53,0,774,0,No
Complete,54,0,867,0,No
Complete,56,0,777,0,No
Complete,67,0,574,0,No
Complete,47,0,879,0,No
Complete,51,0,821,0,No
Complete,68,68,963,1,No
Complete,63,0,916,0,No
Complete,59,0,937,0,No
Complete,52,0,810,0,No
Complete,63,63,904,0,No
Complete,59,0,807,0,No
Complete,64,0,942,0,No
Complete,83,83,992,1,Yes
Complete,61,0,834,0,No
Complete,58,0,869,0,No
Complete,53,0,789,0,No
Complete,69,0,960,0,No
Complete,72,0,975,1,Yes
Complete,44,0,927,0,No
Complete,51,0,864,0,No
Complete,41,41,820,0,No
Complete,50,0,874,0,No
Complete,65,0,865,0,No
Complete,53,53,896,0,No
NotComplete,51,0,711,0,No
Complete,53,0,897,0,No
Complete,57,0,822,0,No
Complete,69,69,950,1,Yes
Complete,64,64,932,0,No
Complete,50,0,833,0,No
Complete,53,0,688,0,No
NotComplete,66,66,838,0,No
Complete,51,0,775,0,No
Complete,47,0,769,0,No
NotComplete,53,0,727,0,No
Complete,59,0,746,0,No
Complete,39,0,841,0,No
NotComplete,67,0,739,0,No
Complete,57,0,897,0,No
Complete,58,0,959,1,No
Complete,83,83,919,0,No
Complete,51,0,876,0,No
Complete,51,0,801,0,No
Complete,53,0,899,0,No
Complete,74,74,963,0,No
Complete,62,0,961,1,No
Complete,61,0,887,0,No
Complete,76,0,967,1,Yes
Complete,41,0,779,0,No
Complete,73,0,965,0,No
Complete,72,72,1001,0,No
Complete,50,38,930,0,No
Complete,62,0,959,0,No
Complete,45,45,869,0,No
Complete,60,0,727,0,No
Complete,58,53,868,0,No
NotComplete,66,0,903,0,No
Complete,54,0,835,0,No
Complete,48,0,940,0,No
NotComplete,58,0,926,0,No
