1`(1,648,40,"BWP","No")++
1`(2,771,44,"BWP","No")++
1`(3,862,17,"OPEN","No")++
1`(4,738,53,"OPEN","No")++
1`(5,619,49,"BWP","No")++
1`(6,684,48,"OPEN","No")++
1`(7,682,41,"OPEN","No")++
1`(8,498,24,"BWP","No")++
1`(9,648,52,"BWP","No")++
1`(10,635,48,"BWP","No")++
1`(11,579,59,"BWP","No")++
1`(12,703,0,"OPEN","No")++
1`(13,722,47,"BWP","No")++
1`(14,648,56,"BWP","No")++
1`(15,809,46,"OPEN","Yes")++
1`(16,655,46,"BWP","No")++
1`(17,530,55,"BWP","No")++
1`(18,570,40,"BWP","No")++
1`(19,775,41,"BWP","Yes")++
1`(20,795,49,"OPEN","Yes")++
1`(21,624,0,"OPEN","No")++
1`(22,671,49,"OPEN","No")++
1`(23,671,56,"BWP","No")++
1`(24,711,45,"BWP","No")++
1`(25,760,60,"BWP","No")++
1`(26,624,45,"BWP","No")++
1`(27,571,45,"BWP","No")++
1`(28,896,62,"BWP","Yes")++
1`(29,944,0,"OPEN","No")++
1`(30,771,55,"BWP","Yes")++
1`(31,623,47,"BWP","No")++
1`(32,789,0,"OPEN","No")++
1`(33,624,51,"OPEN","No")++
1`(34,736,46,"BWP","No")++
1`(35,696,59,"BWP","No")++
1`(36,844,47,"BWP","Yes")++
1`(37,657,41,"BWP","No")++
1`(38,766,40,"BWP","No")++
1`(39,758,56,"BWP","Yes")++
1`(40,636,50,"OPEN","No")++
1`(41,706,40,"BWP","No")++
1`(42,648,51,"BWP","No")++
1`(43,570,45,"BWP","No")++
1`(44,637,42,"BWP","No")++
1`(45,600,44,"BWP","No")++
1`(46,695,33,"OPEN","No")++
1`(47,695,41,"BWP","No")++
1`(48,693,54,"OPEN","No")++
1`(49,532,37,"BWP","No")++
1`(50,438,33,"BWP","No")++
1`(51,660,43,"BWP","No")++
1`(52,770,57,"BWP","Yes")++
1`(53,589,56,"BWP","No")++
1`(54,648,42,"BWP","No")++
1`(55,569,40,"BWP","No")++
1`(56,611,53,"OPEN","No")++
1`(57,788,44,"BWP","Yes")++
1`(58,665,48,"OPEN","No")++
1`(59,709,50,"BWP","No")++
1`(60,668,48,"BWP","No")++
1`(61,754,40,"BWP","No")++
1`(62,720,57,"OPEN","No")++
1`(63,610,52,"BWP","No")++
1`(64,757,50,"BWP","No")++
1`(65,706,61,"BWP","No")++
1`(66,598,40,"BWP","No")++
1`(67,532,46,"BWP","No")++
1`(68,511,50,"BWP","No")++
1`(69,758,55,"BWP","Yes")++
1`(70,613,46,"BWP","No")++
1`(71,598,40,"BWP","No")++
1`(72,739,52,"OPEN","No")++
1`(73,741,54,"BWP","No")++
1`(74,694,60,"BWP","No")++
1`(75,679,58,"BWP","No")++
1`(76,820,51,"BWP","Yes")++
1`(77,633,46,"BWP","No")++
1`(78,763,44,"BWP","No")++
1`(79,748,40,"OPEN","No")++
1`(80,608,0,"OPEN","No")++
1`(81,793,34,"BWP","No")++
1`(82,814,67,"BWP","Yes")++
1`(83,674,44,"OPEN","No")++
1`(84,736,43,"OPEN","No")++
1`(85,765,55,"BWP","Yes")++
1`(86,648,40,"BWP","No")++
1`(87,723,55,"BWP","No")++
1`(88,800,59,"OPEN","Yes")++
1`(89,827,50,"OPEN","Yes")++
1`(90,673,47,"BWP","No")++
1`(91,695,57,"BWP","No")++
1`(92,605,46,"BWP","No")++
1`(93,729,53,"BWP","No")++
1`(94,741,46,"BWP","No")++
1`(95,728,46,"OPEN","No")++
1`(96,551,48,"OPEN","No")++
1`(97,577,50,"BWP","No")++
1`(98,587,49,"BWP","No")++
1`(99,711,47,"BWP","No")++
1`(100,535,40,"BWP","No")++
1`(101,688,41,"BWP","No")++
1`(102,672,45,"OPEN","No")++
1`(103,773,57,"OPEN","No")++
1`(104,627,50,"BWP","No")++
1`(105,850,54,"BWP","Yes")++
1`(106,685,46,"BWP","No")++
1`(107,592,49,"OPEN","No")++
1`(108,642,50,"BWP","No")++
1`(109,721,56,"OPEN","No")++
1`(110,459,43,"BWP","No")++
1`(111,671,49,"BWP","No")++
1`(112,811,53,"BWP","Yes")++
1`(113,565,50,"BWP","No")++
1`(114,684,60,"BWP","No")++
1`(115,647,54,"BWP","No")++
1`(116,719,43,"BWP","No")++
1`(117,596,50,"BWP","No")++
1`(118,846,60,"OPEN","No")++
1`(119,742,51,"BWP","No")++
1`(120,726,51,"OPEN","No")++
1`(121,552,55,"BWP","No")++
1`(122,705,47,"BWP","No")++
1`(123,615,40,"BWP","No")++
1`(124,860,50,"OPEN","Yes")++
1`(125,731,0,"BWP","No")++
1`(126,697,52,"BWP","No")++
1`(127,741,62,"BWP","Yes")++
1`(128,684,46,"BWP","No")++
1`(129,583,60,"BWP","No")++
1`(130,661,50,"BWP","No")++
1`(131,748,47,"BWP","No")++
1`(132,609,40,"BWP","No")++
1`(133,764,54,"OPEN","No")++
1`(134,682,63,"BWP","No")++
1`(135,633,49,"BWP","No")++
1`(136,516,51,"BWP","No")++
1`(137,958,0,"BWP","No")++
1`(138,689,51,"OPEN","No")++
1`(139,542,40,"BWP","No")++
1`(140,765,50,"BWP","Yes")++
1`(141,765,57,"BWP","Yes")++
1`(142,813,50,"OPEN","Yes")++
1`(143,582,47,"BWP","No")++
1`(144,679,42,"BWP","No")++
1`(145,596,0,"BWP","No")++
1`(146,654,44,"BWP","No")++
1`(147,579,41,"OPEN","No")++
1`(148,720,62,"BWP","No")++
1`(149,800,0,"BWP","No")++
1`(150,617,50,"OPEN","No")++
1`(151,624,42,"BWP","No")++
1`(152,603,50,"BWP","No")++
1`(153,618,58,"BWP","No")++
1`(154,728,45,"OPEN","No")++
1`(155,596,50,"BWP","No")++
1`(156,586,52,"BWP","No")++
1`(157,469,38,"BWP","No")++
1`(158,766,53,"BWP","Yes")++
1`(159,771,44,"BWP","No")++
1`(160,868,47,"BWP","Yes")++
1`(161,796,50,"BWP","No")++
1`(162,614,44,"BWP","No")++
1`(163,782,55,"BWP","Yes")++
1`(164,730,61,"BWP","Yes")++
1`(165,607,36,"BWP","No")++
1`(166,639,51,"BWP","No")++
1`(167,614,45,"BWP","No")++
1`(168,592,48,"BWP","No")++
1`(169,749,59,"BWP","Yes")++
1`(170,613,48,"OPEN","No")++
1`(171,801,37,"OPEN","No")++
1`(172,679,50,"OPEN","No")++
1`(173,778,0,"OPEN","No")++
1`(174,605,44,"BWP","No")++
1`(175,778,0,"OPEN","No")++
1`(176,830,48,"BWP","Yes")++
1`(177,847,58,"OPEN","Yes")++
1`(178,766,60,"BWP","Yes")++
1`(179,740,30,"OPEN","No")++
1`(180,811,47,"BWP","Yes")++
1`(181,814,49,"BWP","Yes")++
1`(182,777,64,"BWP","Yes")++
1`(183,695,0,"OPEN","No")++
1`(184,938,60,"BWP","Yes")++
1`(185,793,50,"BWP","Yes")++
1`(186,692,0,"OPEN","No")++
1`(187,819,55,"BWP","Yes")++
1`(188,822,57,"BWP","Yes")++
1`(189,787,56,"BWP","Yes")++
1`(190,942,0,"OPEN","No")++
1`(191,706,50,"BWP","No")++
1`(192,898,70,"BWP","Yes")++
1`(193,718,33,"OPEN","No")++
1`(194,543,31,"OPEN","No")++
1`(195,606,100,"OPEN","No")++
1`(196,706,50,"BWP","No")++
1`(197,764,52,"BWP","Yes")++
1`(198,743,49,"OPEN","No")++
1`(199,734,50,"BWP","No")++
1`(200,796,64,"BWP","No")++
1`(201,620,41,"BWP","No")++
1`(202,658,50,"BWP","No")++
1`(203,623,57,"BWP","No")++
1`(204,617,0,"OPEN","No")++
1`(205,469,48,"BWP","No")++
1`(206,766,50,"BWP","Yes")++
1`(207,636,50,"BWP","No")++
1`(208,675,55,"BWP","No")++
1`(209,898,70,"BWP","Yes")++
1`(210,672,37,"BWP","No")++
1`(211,624,46,"BWP","No")++
1`(212,792,47,"BWP","Yes")++
1`(213,574,46,"BWP","No")++
1`(214,807,51,"OPEN","Yes")++
1`(215,721,0,"BWP","No")++
1`(216,777,0,"BWP","No")++
1`(217,543,31,"OPEN","No")++
1`(218,569,45,"BWP","No")++
1`(219,679,44,"BWP","No")++
1`(220,600,42,"BWP","No")++
1`(221,622,55,"BWP","No")++
1`(222,584,61,"OPEN","No")++
1`(223,588,50,"BWP","No")++
1`(224,718,33,"OPEN","No")++
1`(225,942,0,"OPEN","No")++
1`(226,607,43,"BWP","No")++
1`(227,815,48,"OPEN","Yes")++
1`(228,711,57,"BWP","No")++
1`(229,536,52,"OPEN","No")++
1`(230,661,56,"BWP","No")++
1`(231,798,71,"BWP","No")++
1`(232,799,40,"BWP","Yes")++
1`(233,609,46,"BWP","No")++
1`(234,686,45,"OPEN","No")++
1`(235,606,53,"BWP","No")++
1`(236,663,49,"BWP","No")++
1`(237,867,59,"BWP","Yes")++
1`(239,660,52,"BWP","No")++
1`(240,709,57,"OPEN","No")++
1`(241,486,48,"BWP","No")++
1`(242,805,44,"BWP","Yes")++
1`(243,590,44,"BWP","No")++
1`(244,590,48,"BWP","No")++
1`(245,860,61,"BWP","Yes")++
1`(246,863,51,"BWP","Yes")++
1`(247,925,60,"BWP","Yes")++
1`(248,844,68,"OPEN","Yes")++
1`(249,825,76,"BWP","Yes")
