Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
1,,0,53,0,610,0,0,0
1,,0,60,0,649,0,0,0
1,,0,61,17,578,0,0,0
0,,1,50,0,774,0,0,0
1,,0,57,0,726,0,0,0
1,,0,62,0,725,0,0,0
1,,0,55,0,621,0,0,0
1,,0,47,0,571,0,0,0
1,,0,0,0,665,0,0,0
1,,0,46,0,513,0,0,0
1,,0,57,0,658,0,0,0
1,,0,25,0,878,0,0,1
1,,0,51,0,521,0,0,0
1,,0,0,0,699,0,0,0
1,,0,50,0,678,0,0,0
1,,1,54,0,677,0,0,0
1,,0,60,0,794,0,0,0
0,,0,50,0,799,0,0,1
1,,0,44,0,764,0,0,0
0,,0,52,0,739,0,0,0
0,,0,0,0,757,0,0,0
1,,0,54,0,720,0,0,0
0,,0,48,0,780,0,0,0
1,,0,45,0,560,0,0,0
0,,0,21,0,726,0,0,0
1,,0,21,0,754,0,0,0
0,,0,47,0,742,0,0,0
1,,0,58,0,605,0,0,0
1,,0,52,0,700,0,0,0
1,,0,58,0,698,0,0,0
1,,0,50,0,554,0,0,0
0,,0,50,0,516,0,0,0
1,,0,50,0,554,0,0,0
0,,0,0,0,871,0,0,0
0,,0,48,0,645,0,0,0
1,,0,40,47,299,0,0,0
1,,0,50,0,622,0,0,0
1,,0,42,0,511,0,0,0
1,,1,53,9,724,0,0,0
1,,0,45,0,619,0,0,0
0,,1,66,0,768,0,0,1
0,,0,46,0,884,0,0,1
1,,0,48,0,748,0,0,0
0,,0,57,0,627,0,0,0
0,,0,52,0,598,0,0,0
1,,0,42,0,741,0,0,0
1,,0,52,0,390,0,0,0
1,,0,46,0,715,0,0,0
1,,0,44,0,525,0,0,0
1,,0,51,0,583,0,0,0
0,,0,57,0,755,0,0,0
1,,0,61,0,989,0,0,1
1,,0,52,0,574,0,0,0
0,,0,59,0,627,0,0,0
1,,0,50,0,531,0,0,0
1,,0,50,0,810,0,0,1
1,,0,46,0,650,0,0,0
1,,0,53,0,660,0,0,0
1,,1,76,0,617,0,0,0
1,,0,48,0,603,0,0,0
1,,0,49,0,600,0,0,0
0,,0,43,0,604,0,0,0
1,,0,58,52,605,0,0,0
1,,0,52,0,700,0,0,0
1,,0,45,0,643,0,0,0
