Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
Bahawalpur,,No,40,0,648,0,0,No
Bahawalpur,,No,44,0,771,0,0,No
OPEN,,No,17,17,862,0,0,No
OPEN,,Yes,53,0,738,0,0,No
Bahawalpur,,No,49,0,619,0,0,No
OPEN,,No,48,0,684,0,0,No
OPEN,,No,41,0,682,0,0,No
Bahawalpur,,No,24,0,498,0,0,No
Bahawalpur,,No,52,0,648,0,0,No
Bahawalpur,,No,48,0,635,0,0,No
Bahawalpur,,No,59,0,579,0,0,No
OPEN,,No,0,0,703,0,0,No
Bahawalpur,,No,47,0,722,0,0,No
Bahawalpur,,No,56,0,648,0,0,No
OPEN,,No,46,0,809,0,0,Yes
Bahawalpur,,Yes,46,0,655,0,0,No
Bahawalpur,,No,55,0,530,0,0,No
Bahawalpur,,No,40,0,570,0,0,No
Bahawalpur,,No,41,0,775,0,0,Yes
OPEN,,No,49,0,795,0,0,Yes
OPEN,,No,0,0,624,0,0,No
OPEN,,No,49,0,671,0,0,No
Bahawalpur,,No,56,0,671,0,0,No
Bahawalpur,,No,45,0,711,0,0,No
Bahawalpur,,No,60,0,760,0,0,No
Bahawalpur,,No,45,0,624,0,0,No
Bahawalpur,,No,45,0,571,0,0,No
Bahawalpur,,No,62,0,896,0,0,Yes
OPEN,,No,0,0,944,0,0,No
Bahawalpur,,No,55,0,771,0,0,Yes
Bahawalpur,,No,47,0,623,0,0,No
OPEN,,No,0,0,789,0,0,No
OPEN,,No,51,0,624,0,0,No
Bahawalpur,,No,46,0,736,0,0,No
Bahawalpur,,No,59,0,696,0,0,No
Bahawalpur,,No,47,47,844,0,0,Yes
Bahawalpur,,No,41,0,657,0,0,No
Bahawalpur,,No,40,0,766,0,0,No
Bahawalpur,,Yes,56,9,758,0,0,Yes
OPEN,,No,50,0,636,0,0,No
Bahawalpur,,Yes,40,0,706,0,0,No
Bahawalpur,,No,51,0,648,0,0,No
Bahawalpur,,No,45,0,570,0,0,No
Bahawalpur,,No,42,0,637,0,0,No
Bahawalpur,,No,44,0,600,0,0,No
OPEN,,No,33,0,695,0,0,No
Bahawalpur,,No,41,0,695,0,0,No
OPEN,,No,54,0,693,0,0,No
Bahawalpur,,No,37,0,532,0,0,No
Bahawalpur,,No,33,0,438,0,0,No
Bahawalpur,,No,43,0,660,0,0,No
Bahawalpur,,No,57,0,770,0,0,Yes
Bahawalpur,,No,56,0,589,0,0,No
Bahawalpur,,No,42,0,648,0,0,No
Bahawalpur,,No,40,0,569,0,0,No
OPEN,,No,53,0,611,0,0,No
Bahawalpur,,No,44,0,788,0,0,Yes
OPEN,,No,48,0,665,0,0,No
Bahawalpur,,Yes,50,0,709,0,0,No
Bahawalpur,,No,48,0,668,0,0,No
Bahawalpur,,No,40,0,754,0,0,No
OPEN,,No,57,0,720,0,0,No
Bahawalpur,,No,52,52,610,0,0,No
Bahawalpur,,No,50,0,757,0,0,No
Bahawalpur,,No,61,0,706,0,0,No
Bahawalpur,,No,40,0,598,0,0,No
Bahawalpur,,No,46,0,532,0,0,No
Bahawalpur,,No,50,0,511,0,0,No
Bahawalpur,,No,55,0,758,0,0,Yes
Bahawalpur,,No,46,0,613,0,0,No
Bahawalpur,,No,40,0,598,0,0,No
OPEN,,No,52,0,739,0,0,No
Bahawalpur,,No,54,0,741,0,0,No
Bahawalpur,,No,60,0,694,0,0,No
Bahawalpur,,No,58,0,679,0,0,No
Bahawalpur,,No,51,0,820,0,0,Yes
Bahawalpur,,No,46,0,633,0,0,No
Bahawalpur,,No,44,0,763,0,0,No
OPEN,,No,40,0,748,0,0,No
OPEN,,No,0,0,608,0,0,No
Bahawalpur,,No,34,0,793,0,0,No
Bahawalpur,,No,67,0,814,0,0,Yes
OPEN,,No,44,0,674,0,0,No
OPEN,,No,43,0,736,0,0,No
Bahawalpur,,Yes,55,0,765,0,0,Yes
Bahawalpur,,No,40,0,648,0,0,No
Bahawalpur,,No,55,0,723,0,0,No
OPEN,,No,59,0,800,0,0,Yes
OPEN,,No,50,0,827,0,0,Yes
Bahawalpur,,No,47,0,673,0,0,No
Bahawalpur,,No,57,21,695,0,0,No
Bahawalpur,,No,46,0,605,0,0,No
Bahawalpur,,No,53,0,729,0,0,No
Bahawalpur,,No,46,0,741,0,0,No
OPEN,,No,46,0,728,0,0,No
OPEN,,No,48,0,551,0,0,No
Bahawalpur,,No,50,0,577,0,0,No
Bahawalpur,,No,49,0,587,0,0,No
Bahawalpur,,No,47,0,711,0,0,No
Bahawalpur,,No,40,0,535,0,0,No
Bahawalpur,,No,41,0,688,0,0,No
OPEN,,No,45,0,672,0,0,No
OPEN,,,57,0,773,0,0,No
Bahawalpur,,No,50,0,627,0,0,No
Bahawalpur,,No,54,0,850,0,0,Yes
Bahawalpur,,No,46,0,685,0,0,No
OPEN,,Yes,49,0,592,0,0,No
Bahawalpur,,No,50,0,642,0,0,No
OPEN,,No,56,0,721,0,0,No
Bahawalpur,,No,43,0,459,0,0,No
Bahawalpur,,No,49,0,671,0,0,No
Bahawalpur,,No,53,19,811,0,0,Yes
Bahawalpur,,No,50,0,565,0,0,No
Bahawalpur,,No,60,0,684,0,0,No
Bahawalpur,,No,54,0,647,0,0,No
Bahawalpur,,Yes,43,0,719,0,0,No
Bahawalpur,,No,50,0,596,0,0,No
OPEN,,No,60,0,846,0,0,No
Bahawalpur,,No,51,0,742,0,0,No
OPEN,,No,51,0,726,0,0,No
Bahawalpur,,No,55,0,552,0,0,No
Bahawalpur,,No,47,0,705,0,0,No
Bahawalpur,,No,40,0,615,0,0,No
OPEN,,No,50,0,860,0,0,Yes
Bahawalpur,,No,0,0,731,0,0,No
Bahawalpur,,No,52,0,697,0,0,No
Bahawalpur,,No,62,0,741,0,0,Yes
Bahawalpur,,No,46,0,684,0,0,No
Bahawalpur,,No,60,0,583,0,0,No
Bahawalpur,,No,50,0,661,0,0,No
Bahawalpur,,No,47,13,748,0,0,No
Bahawalpur,,No,40,0,609,0,0,No
OPEN,,No,54,0,764,0,0,No
Bahawalpur,,No,63,0,682,0,0,No
Bahawalpur,,No,49,0,633,0,0,No
Bahawalpur,,No,51,0,516,0,0,No
Bahawalpur,,No,0,0,958,0,0,No
OPEN,,No,51,0,689,0,0,No
Bahawalpur,,No,40,0,542,0,0,No
Bahawalpur,,No,50,0,765,0,0,Yes
Bahawalpur,,No,57,0,765,0,0,Yes
OPEN,,No,50,0,813,0,0,Yes
Bahawalpur,,No,47,0,582,0,0,No
Bahawalpur,,No,42,0,679,0,0,No
Bahawalpur,,No,0,0,596,0,0,No
Bahawalpur,,No,44,0,654,0,0,No
OPEN,,No,41,0,579,0,0,No
Bahawalpur,,No,62,0,720,0,0,No
Bahawalpur,,No,0,0,800,0,0,No
OPEN,,No,50,0,617,0,0,No
