Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
Bahawalpur,,No,45,0,570,0,0,No
Bahawalpur,,No,51,0,709,0,0,No
Bahawalpur,,No,57,0,791,0,0,No
Bahawalpur,,No,19,19,633,0,0,No
Bahawalpur,,No,42,0,637,0,0,No
Bahawalpur,,No,62,0,570,0,0,No
Bahawalpur,,No,41,0,695,0,0,No
OPEN,,No,53,27,852,0,0,Yes
Bahawalpur,,No,44,0,801,0,0,No
Bahawalpur,,No,51,0,659,0,0,No
Bahawalpur,,No,37,0,532,0,0,No
Bahawalpur,,No,33,0,438,0,0,No
Bahawalpur,,No,0,0,635,0,0,No
OPEN,,No,47,0,754,0,0,No
OPEN,,No,52,0,842,0,0,Yes
OPEN,,No,0,0,700,0,0,No
Bahawalpur,,No,57,0,770,0,0,No
Bahawalpur,,No,58,0,670,0,0,No
OPEN,,No,44,0,748,0,0,No
Bahawalpur,,No,52,0,635,0,0,No
Bahawalpur,,No,46,0,728,0,0,No
Bahawalpur,,No,49,0,611,0,0,No
OPEN,,No,43,17,777,0,0,No
OPEN,,No,55,0,622,0,0,No
OPEN,,No,55,0,686,0,0,No
OPEN,,No,54,0,767,0,0,No
OPEN,,No,42,0,583,0,0,No
Bahawalpur,,Yes,50,0,709,0,0,No
OPEN,,No,53,0,772,0,0,No
OPEN,,No,47,0,728,0,0,No
Bahawalpur,,No,40,0,754,0,0,No
Bahawalpur,,No,52,52,610,0,0,No
Bahawalpur,,No,50,0,756,0,0,No
Bahawalpur,,No,54,0,801,0,0,No
Bahawalpur,,No,61,0,706,0,0,No
OPEN,,No,54,0,818,0,0,No
Bahawalpur,,No,40,0,598,0,0,No
Bahawalpur,,No,46,0,532,0,0,No
OPEN,,No,68,23,853,0,0,Yes
Bahawalpur,,No,55,0,758,0,0,No
Bahawalpur,,No,46,0,613,0,0,No
Bahawalpur,,No,40,0,598,0,0,No
Bahawalpur,,No,62,0,787,0,0,No
Bahawalpur,,No,53,0,845,0,0,Yes
Bahawalpur,,No,19,19,763,0,0,No
OPEN,,No,41,2,780,0,0,No
Bahawalpur,,No,55,0,771,0,0,No
Bahawalpur,,No,42,0,559,0,0,No
Bahawalpur,,No,54,0,741,0,0,No
Bahawalpur,,No,60,0,694,0,0,No
OPEN,,No,52,0,804,0,0,No
Bahawalpur,,No,70,0,765,0,0,No
Bahawalpur,,No,51,0,699,0,0,No
OPEN,,No,54,0,701,0,0,No
Bahawalpur,,No,55,0,782,0,0,No
OPEN,,No,49,0,629,0,0,No
OPEN,,No,0,0,678,0,0,No
Bahawalpur,,No,50,0,711,0,0,No
OPEN,,No,54,0,712,0,0,No
OPEN,,No,50,0,617,0,0,No
Bahawalpur,,No,50,0,686,0,0,No
Bahawalpur,,No,50,0,779,0,0,No
OPEN,,No,56,0,766,0,0,No
OPEN,,No,54,0,806,0,0,No
Bahawalpur,,No,44,0,619,0,0,No
OPEN,,No,43,0,736,0,0,No
Bahawalpur,,No,50,0,652,0,0,No
Bahawalpur,,Yes,55,0,765,0,0,No
OPEN,,No,59,0,800,0,0,No
OPEN,,No,50,0,827,0,0,No
Bahawalpur,,No,12,12,640,0,0,No
OPEN,,No,53,0,906,0,0,Yes
Bahawalpur,,No,40,0,777,0,0,No
Bahawalpur,,No,46,0,741,0,0,No
Bahawalpur,,Yes,57,0,612,0,0,No
OPEN,,Yes,4,4,819,0,0,No
Bahawalpur,,No,50,0,577,0,0,No
OPEN,,No,13,13,374,0,0,No
Bahawalpur,,No,49,0,587,0,0,No
Bahawalpur,,No,47,0,711,0,0,No
Bahawalpur,,No,50,0,867,0,0,Yes
OPEN,,No,45,0,672,0,0,No
OPEN,,No,50,0,847,0,0,Yes
Bahawalpur,,No,54,0,718,0,0,No
OPEN,,Yes,44,0,733,0,0,No
OPEN,,No,55,0,714,0,0,No
Bahawalpur,,No,39,0,512,0,0,No
OPEN,,No,56,0,721,0,0,No
Bahawalpur,,No,43,0,716,0,0,No
Bahawalpur,,No,48,0,701,0,0,No
OPEN,,No,100,100,971,0,0,Yes
Bahawalpur,,No,53,0,586,0,0,No
OPEN,,No,39,0,598,0,0,No
Bahawalpur,,No,51,0,590,0,0,No
OPEN,,No,47,0,741,0,0,No
Bahawalpur,,No,40,0,679,0,0,No
Bahawalpur,,No,42,0,724,0,0,No
Bahawalpur,,No,59,0,745,0,0,No
OPEN,,No,50,0,643,0,0,No
OPEN,,Yes,31,0,690,0,0,No
OPEN,,No,50,0,860,0,0,Yes
Bahawalpur,,Yes,44,0,543,0,0,No
Bahawalpur,,No,50,0,595,0,0,No
Bahawalpur,,No,67,0,676,0,0,No
OPEN,,No,20,20,890,0,0,No
OPEN,,No,50,28,831,0,0,No
Bahawalpur,,Yes,50,0,532,0,0,No
Bahawalpur,,No,53,0,633,0,0,No
OPEN,,No,68,0,974,0,0,Yes
OPEN,,Yes,50,0,834,0,0,Yes
OPEN,,No,49,0,594,0,0,No
Bahawalpur,,No,47,0,561,0,0,No
Bahawalpur,,No,43,0,718,0,0,No
Bahawalpur,,No,57,0,643,0,0,No
Bahawalpur,,No,47,0,531,0,0,No
Bahawalpur,,No,49,0,853,0,0,Yes
Bahawalpur,,No,46,0,781,0,0,No
OPEN,,No,49,0,784,0,0,No
OPEN,,No,54,0,764,0,0,No
Bahawalpur,,No,63,0,682,0,0,No
Bahawalpur,,Yes,62,10,753,0,0,No
OPEN,,No,0,0,666,0,0,No
OPEN,,No,53,0,585,0,0,No
Bahawalpur,,No,50,0,627,0,0,No
OPEN,,No,62,0,889,0,0,Yes
OPEN,,No,59,0,653,0,0,No
OPEN,,No,49,0,752,0,0,No
OPEN,,No,49,0,865,0,0,Yes
OPEN,,No,44,0,725,0,0,No
Bahawalpur,,No,40,0,542,0,0,No
Bahawalpur,,No,52,52,610,0,0,No
Bahawalpur,,No,50,0,756,0,0,No
Bahawalpur,,No,50,0,730,0,0,No
OPEN,,No,59,0,791,0,0,No
Bahawalpur,,No,57,0,765,0,0,No
Bahawalpur,,No,50,0,662,0,0,No
Bahawalpur,,No,50,0,577,0,0,No
OPEN,,No,13,13,374,0,0,No
Bahawalpur,,No,49,0,660,0,0,No
Bahawalpur,,No,73,0,536,0,0,No
Bahawalpur,,No,18,18,767,0,0,No
Bahawalpur,,No,42,0,679,0,0,No
OPEN,,No,50,0,724,0,0,No
Bahawalpur,,No,44,0,654,0,0,No
OPEN,,No,45,0,802,0,0,No
Bahawalpur,,No,47,0,607,0,0,No
Bahawalpur,,No,57,0,833,0,0,Yes
Bahawalpur,,No,66,0,922,0,0,Yes
OPEN,,No,49,0,864,0,0,Yes
OPEN,,No,51,0,703,0,0,No
Bahawalpur,,No,45,18,670,0,0,No
OPEN,,No,45,0,693,0,0,No
Bahawalpur,,Yes,48,0,582,0,0,No
OPEN,,No,54,0,712,0,0,No
OPEN,,No,50,0,617,0,0,No
Bahawalpur,,No,47,0,535,0,0,No
Bahawalpur,,No,38,0,710,0,0,No
OPEN,,No,0,0,644,0,0,No
Bahawalpur,,No,57,0,576,0,0,No
Bahawalpur,,No,65,0,745,0,0,No
Bahawalpur,,No,50,0,707,0,0,No
Bahawalpur,,No,50,0,596,0,0,No
Bahawalpur,,No,52,0,586,0,0,No
Bahawalpur,,Yes,63,0,789,0,0,Yes
Bahawalpur,,No,38,0,469,0,0,No
OPEN,,No,52,0,720,0,0,No
Bahawalpur,,No,50,0,778,0,0,No
OPEN,,No,62,0,722,0,0,No
Bahawalpur,,No,56,0,787,0,0,No
OPEN,,No,49,0,594,0,0,No
OPEN,,No,54,0,767,0,0,No
Bahawalpur,,No,50,0,706,0,0,No
OPEN,,No,18,18,713,0,0,No
Bahawalpur,,Yes,45,0,777,0,0,No
OPEN,,No,52,0,778,0,0,No
Bahawalpur,,No,54,0,776,0,0,No
Bahawalpur,,No,53,0,637,0,0,No
Bahawalpur,,No,67,0,611,0,0,No
Bahawalpur,,No,55,0,785,0,0,No
OPEN,,No,57,0,664,0,0,No
Bahawalpur,,No,47,0,868,0,0,Yes
OPEN,,No,43,0,644,0,0,No
OPEN,,No,50,0,833,0,0,No
OPEN,,Yes,0,0,780,0,0,No
OPEN,,No,29,0,805,0,0,No
Bahawalpur,,No,43,0,694,0,0,No
Bahawalpur,,No,50,0,805,0,0,No
Bahawalpur,,No,56,36,704,0,0,No
Bahawalpur,,No,61,0,730,0,0,No
